tx_hash,input_count,total_input_ada,input_source
1daba6274dbbe2f6a9cf3a031ee716597e14e7c43b1beec6ee2650ad6ee76b5a,70,160307857.985805,Ae2tdPwUPEYwFx4dmJheyNPPYXtvHbJLeCaA96o6Y2iiUL18cAt7AizN2zG
531150c6924b6054d9cc3801297477e9b7aeba0f5ee34f17241e8b97d579e3e0,60,101408415.243600,Ae2tdPwUPEYwFx4dmJheyNPPYXtvHbJLeCaA96o6Y2iiUL18cAt7AizN2zG
