rank_registered	drep_id_bech32	voting_power_ada	current_delegator_count	latest_retention_ratio	voting_anchor_url
1	drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt	692941715.496004	25304	0.964146	https://raw.githubusercontent.com/Emurgo/constitution-committee/11af02e3b66daa7106941a1b3000d9721862bc3c/YOROI.jsonld
2	drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m	486215056.24676	1665	0.874475	https://raw.githubusercontent.com/cardanoz/drep/refs/heads/main/YUTA.jsonld
3	drep15mr008j83j7n0aet3rfpw92trx24gc7hjmjdrk50fh9xslp09mx	304603835.406535	98	0.915888	https://gitlab.com/cbolden/cardano-governance/-/raw/main/Blockdaemon.jsonld
4	drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez	298890345.096918	488	0.903704	https://raw.githubusercontent.com/Emurgo/constitution-committee/a0301c0547e8a4eb7566829ae387396761a34b42/EMURGO.jsonld
5	drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd	249865505.201414	10652	0.926503	https://raw.githubusercontent.com/Tastenkunst/eternl-drep/main/240909-edc-drep-mainnet.jsonld
6	drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0	207051783.87094	2842	0.925733	https://most-brass-sun.quicknode-ipfs.com/ipfs/QmZT35nEcX84VFtDGpUnTxhoB5urXLE285S5ChB4wAsiWj
7	drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836	183637491.256425	1469	0.903444	https://raw.githubusercontent.com/SebastienGllmt/drep/main/drep-mainnet.jsonld
8	drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs	148380875.00142	8348	0.994994	https://everstake.one/cardano/everstake_id.json
