consuming_tx_hash,input_tx_out_id,input_created_in_tx,input_out_index,input_lovelace,input_ada,input_address,address_role
024ae3eaedfd98e5fa61b2650eab0ef1f40190da600a5cd8b2184a60856e8737,7111103,34241dc5b1311717be0c4efe900a8be3a7aecea2e52035aac0e9fe725f3cda0d,0,1380648667,1380.648667,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
024ae3eaedfd98e5fa61b2650eab0ef1f40190da600a5cd8b2184a60856e8737,7302656,ff04e59887932d538f5552d58326bb95a8f6b074ba20986b7e0743f29fb1ade7,0,166318807964,166318.807964,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
024ae3eaedfd98e5fa61b2650eab0ef1f40190da600a5cd8b2184a60856e8737,7303235,21829320d434cd9f88cc22f20b996a5f0deef6ddc4a0fcbbe131eb7587ab5816,0,148647119,148.647119,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
024ae3eaedfd98e5fa61b2650eab0ef1f40190da600a5cd8b2184a60856e8737,7425752,42b0a02ec54d06594298f633c4095ee43d9ee3feb885e432423cdb04b9a1ed4d,0,9797119,9.797119,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5074415,c4a2bfe74e19332b9981ce7504149103e87b94d60c37d066d15680650b80e656,0,2498834159,2498.834159,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5075482,ba0f1a8df67d4e3aa417636af7f5199d1a8453c6428552ed03f11c89c05d1c01,0,3655820121,3655.820121,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5078424,d451b4fb6d499572a6cd201ff49cba07a8651ecb897704a5b6975688ebde981a,0,20121445818,20121.445818,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5079602,b81ecc29d8c792e460eefd671b338798e4025ec655e346bb6b2f063aa42f4d27,0,48527137780,48527.137780,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5081580,2c68b485307712ba898024a826f6635dfba3d301f200e82585feff5698262e34,0,18400374229,18400.374229,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5085962,d8fc2dd3b3699aa6fe3510336e0d1a3a2c42ce10f639a48150d0ffa2d726ed8e,0,999834159,999.834159,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5087127,142c966eebd386aff2fdde0e521204e276f9f18b15a6f741e3e1021adefce7e7,0,12196264457,12196.264457,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5097305,a691166073764ac28e2c93144738dafbaf416277867a87226a8c1c70d86c2be8,0,4099834159,4099.834159,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5098470,7b350766e0cd22ac49374d56e2ed968c44c27a4e6badb370a25aef6175b561e8,0,3301234159,3301.234159,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5101009,9c9ea64974df5c00c6ede56d38a73eba687cd2c54fcf8659d400195fac543050,0,4999833984,4999.833984,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5103938,32b2617e9bc215d9ac01c9c08943f7b5cbb3113e0942c24b0604d0aff1f04b27,0,228699481284,228699.481284,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5105761,d02ae18189b2aa4e031a7fcbe7d66fcb2d69ee82979c447a60c628f55915f143,0,13663852625,13663.852625,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5106956,bbe87a00b135bb0d2e44aae914fde4d7d44a56366b0432238e46bc8b288f5e80,0,6949833984,6949.833984,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5110290,0059ef8827133464932479d4e1275aad2fcf7cf1ad56d34fd3e15378d95ae46b,0,5243666517,5243.666517,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5114362,9c84459ca31ad114f0f4584f697081511e4117364c1eb1971c5bb7ecedaabfed,0,89834159,89.834159,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
