consuming_tx_hash,epoch_no,block_time,iog_dest_ids_count,e2_dest_ids_count
e74aea898a08423c56ea18510a0d19c2bdcf640a6ab17153e83926cf211d76e8,259,2021-04-14 05:36:17+00,30,30
efd46f4ef1665fef2a34980767a76c7f25cbea36c4b17c771043207183b83d92,259,2021-04-13 06:10:19+00,10,10
6340e48efbed80b1b046d36aa5e50f1df47d9931fa5375e4df329c040799beab,259,2021-04-13 03:57:01+00,20,20
aadaea896075e4a70e2a9dedce03c97ddd2f6c0eb9a2e3b2a4dccba0a0fc525b,260,2021-04-18 09:59:24+00,14,14
018f7a9b2e50e55d28f357badca5357afe2bce4a92c62adb775b4b18d49787b4,260,2021-04-20 07:23:32+00,24,24
4d03a46428f7880556ef84383755b126800fdbfd0acb9988ef6028d68de35fba,260,2021-04-19 09:30:25+00,20,20
ac7173e2a440260f810b3db1a1d7d5963285c69fa4c89f9608ddb35d5505f5a7,261,2021-04-23 06:58:55+00,18,18
312b9b84c9a22113d6bb4b41f6c7e21d3150dd3a9634658e9efd39dde5f1fedb,263,2021-05-04 13:24:26+00,36,18
ab30657546677fd7fc1f49b104ab9b28eeb013e3b274412c8b26b5497f15b07f,263,2021-05-04 01:12:47+00,48,24
a959a5ac44f843ea99c0205bb4cbc61b5544184c8bb7c517725f7de3fb86fcb5,264,2021-05-05 22:51:17+00,18,18
65dbb5351ff51f86398b785455ed07aed20e3b6099aa16946d1251b5438580a7,264,2021-05-06 09:01:26+00,14,14
a4624a217cac339d2545fd1438cf4418bc4ac0551cf29c1286d355da8c750ef6,264,2021-05-07 10:14:58+00,2,2
a2fb9c4d8eea1d1bd9c20bfac39aa240128ef9756a2af69bf646687a40d8d01b,264,2021-05-09 07:48:41+00,12,12
35d21a270b7fe2e3db430dcfa7577fb82d10ec9d0da550bda47b40e48c11705f,264,2021-05-10 05:28:18+00,10,10
da3321e1c5c2593f87d2753a7e6b5d53226cf4e449029be60283a80c6f781954,264,2021-05-09 06:24:04+00,22,22
4a3d350491c9e31eaecf413ada0cd2c5f9dbf294593f66faec4ea1ffce8623c8,265,2021-05-13 15:08:12+00,30,30
126341826ae98b5258d496a7cf7b8c2c52a85be8da555bf55df7230015c6ec91,265,2021-05-15 18:16:49+00,30,30
d8e5ac2b27a57be0ab40cacb695c8b4b27e597e7b32addb1823c79801c448805,265,2021-05-12 04:08:48+00,36,18
fd52bbbe9b58de4d5752d40003d4c6d970072ee584a63369e0330866376dc906,266,2021-05-20 06:41:32+00,10,10
f32fad1a4475d216f871c7fe9084d537bb494b32a70ba52e9ad5d5ca1ba7a2d4,266,2021-05-17 06:33:04+00,56,28
2ab5130a3dc0dfeccf0e8b4918998209409c472d2a753b3a240e1e689bebf137,267,2021-05-23 13:14:47+00,1,1
4bb340b7cabe47ac97a3c566db60e2112a865bd8b40056f259fefda96e13abbd,269,2021-06-02 06:29:59+00,2,2
