snapshot_utc,trace_schema,stake_address_id,stake_address,latest_drep_id_bech32,latest_drep_hash_id,latest_vote_epoch,behavior_class,behavior_score,behavior_flags,root_count,root_combo,current_utxos,current_lovelace,current_ada,min_depth,max_depth,output_block_count,same_block_event_count,max_same_block_stake_peers,same_epoch_drep_event_count,max_same_epoch_drep_stake_peers,voted_proposal_count
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,750539,stake1uxufz3j929cerrepmky2t4cflvcpe0zl207f6l5vf89psssnl3ehj,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,9,5789346342,5789.346342,12,14,9,2,2,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,398561,stake1uxyehjr3y32zfrcjvm3n7wklxxdexmkuvwny4zks0lj33vsauzthx,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,2,5737405000,5737.405,13,14,2,2,3,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,286154,stake1ux7qt67y9e5e034qrlkva508jwhzym6vyqh83f95c75f0nqlge6d5,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,40,5588739495,5588.739495,10,14,39,8,3,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,321577,stake1uy90mgp6smms23dtefh965edpsp57jfeslmr5x9agjszuzsapsstc,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,5,5579018064,5579.018064,12,14,5,2,4,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,287524,stake1uxx8a324k58a23gvyzz9602ec7n9q9pdrp3szl5k5c9esrgajn89v,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,8,5543886252,5543.886252,12,14,8,2,2,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,892857,stake1u939zx0jksgurfwzdl8mvlm6ck5ncf7rcvqx6qxuacn5crgcazzy6,drep_always_abstain,14,538,coordinated_like,7,same_epoch_drep_cohort;cross_root_current_cluster;current_drep_delegation,2,emurgo+iog,3,5531555201,5531.555201,13,14,3,0,1,4,14,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,160101,stake1uyd935h844nzypqu72umheqa5wrzx0axr9fgmvpzk39y6pgvgrzqz,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,7,5506928377,5506.928377,13,14,6,3,5,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,502284,stake1u8p6dfwvgw23cgkwc9v9s0ttj9xt7f8zaxzdtn96vzyfdzqvjjufu,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,5,5446942600,5446.9426,13,14,5,5,3,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,569365,stake1u9gx5d9qmye70vtxqz73sextwd0l2uqg3mjt7s0xzk2vrxcv93fhs,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,9,5442942600,5442.9426,13,14,9,9,6,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,527798,stake1uxud8gjn5kx78m0rr9fq7ynjly68q8atjtr9dxscck098jgz2h0fp,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,5,5319143585,5319.143585,13,14,5,2,2,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,280700,stake1u8nfmxzkd7lfmcvvfvm3g6ys7vna5ugzcq4qtlxsmjtz26qkzf4j9,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,7,5250469549,5250.469549,12,14,7,2,3,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,494038,stake1u820usz5j4dhsft3audwdhwqkz6030zjraax3sd3ks6f7sgkkvjwp,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,3,5211603743,5211.603743,13,14,3,2,3,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,108920,stake1uyu70k5szuczq0293hk5gf8jejea49ew3kkn9xxds4ec7kq89w8n3,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,6,5200868954,5200.868954,12,14,6,3,3,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,515871,stake1u9mhgvl9wmx6p2eh72pd93rayyqg6c3f5zqwgn77mwwgjgcum9s6c,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,2,5189112600,5189.1126,13,14,2,2,5,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,386514,stake1uyf59247vkfa8lahwze07pkqhsrxa4ly9u94402rg0chnvc92qlqk,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,9,5149871141,5149.871141,11,14,9,3,2,0,0,0
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,538976,stake1u97pfns70r0avcdc4znxf42sh22eae6nuk0znydf6glnpdsl9zxem,,,,coordinated_like,7,same_block_hop;cross_root_current_cluster,2,emurgo+iog,8,5135431453,5135.431453,13,14,8,5,4,0,0,0
