top_n,cumulative_night,cumulative_pct
1,6000000000.873988,25.0
5,12900013137.320972,53.7501
10,15665298340.245272,65.2721
25,18597602877.150364,77.49
50,20022620844.398434,83.4276
100,20649517788.517986,86.0397
250,21315088820.20448,88.8129
500,21828531971.15327,90.9522
1000,22270351661.803432,92.7931
2000,22683343836.96006,94.5139
5000,23184438074.642365,96.6018
10000,23532208636.448086,98.0509
117671,23999999999.999462,100.0
