endpoint,endpoint_kind,target_host,target_port,resolved_ip,handshake_ok,failure,error_detail,rtt_ms,block_no,slots_behind_tip,at_tip,checked_at
ipv4:161.97.94.111,ipv4,161.97.94.111,3002,,f,refused,Connection refused,,,,f,2026-08-28 01:19:07+00
ipv4:161.97.99.71,ipv4,161.97.99.71,6000,,f,refused,Connection refused,,,,f,2026-08-28 01:19:07+00
ipv4:162.120.71.180,ipv4,162.120.71.180,6000,162.120.71.180,t,,,25.41,13865138,-14,t,2026-08-28 00:51:14+00
ipv4:162.156.186.249,ipv4,162.156.186.249,6001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:08+00
ipv4:162.156.186.249,ipv4,162.156.186.249,6002,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:08+00
ipv4:162.156.186.249,ipv4,162.156.186.249,6003,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:08+00
ipv4:162.156.186.249,ipv4,162.156.186.249,6004,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:10+00
ipv4:162.222.182.184,ipv4,162.222.182.184,6001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:14+00
ipv4:162.243.160.184,ipv4,162.243.160.184,6001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:20+00
ipv4:162.243.164.50,ipv4,162.243.164.50,6002,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:32+00
ipv4:162.243.170.209,ipv4,162.243.170.209,6000,,f,refused,Connection refused,,,,f,2026-08-28 01:19:32+00
ipv4:162.43.17.130,ipv4,162.43.17.130,6000,162.43.17.130,t,,,148.19,13865138,-14,t,2026-08-28 00:51:17+00
ipv4:162.43.18.35,ipv4,162.43.18.35,6000,162.43.18.35,t,,,152.91,13695758,3467239,f,2026-08-28 00:51:17+00
ipv4:162.43.21.245,ipv4,162.43.21.245,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:19:32+00
ipv4:162.43.49.127,ipv4,162.43.49.127,6000,162.43.49.127,t,,,150.93,13865138,-14,t,2026-08-28 00:51:18+00
