cluster,txs,window_start_utc,window_end_utc,ada,classification
old_fee_sponsored,240,2026-06-21 20:29:41,2026-06-22 00:35:49,12193786.557442,confirmed external theft
new_william_direct,2853,2026-06-22 17:34:04,2026-06-23 10:29:15,129438872.687227,swept/consolidated; intent UNRESOLVED
