query_timestamp_utc,drep_distribution_epoch,epoch_stake_epoch,rank_overall,profile_class,drep_id_bech32,bucket_order,active_stake_bucket,current_delegator_count,active_stake_lovelace,active_stake_ada
2026-05-21 20:17:07.345255,632,633,5,registered,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,2,10M-50M,4,139107932904894,139107932.904894
2026-05-21 20:17:07.345255,632,633,5,registered,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,3,1M-10M,9,27383933374226,27383933.374226
2026-05-21 20:17:07.345255,632,633,5,registered,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,4,100k-1M,58,17088825969203,17088825.969203
2026-05-21 20:17:07.345255,632,633,5,registered,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,5,10k-100k,120,4325020261939,4325020.261939
2026-05-21 20:17:07.345255,632,633,5,registered,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,6,1k-10k,95,353462286443,353462.286443
2026-05-21 20:17:07.345255,632,633,5,registered,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,7,<1k,133,22692496848,22692.496848
2026-05-21 20:17:07.345255,632,633,5,registered,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,8,0/no active stake,67,0,0.000000
2026-05-21 20:17:07.345255,632,633,6,registered,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,3,1M-10M,38,91902290617334,91902290.617334
2026-05-21 20:17:07.345255,632,633,6,registered,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,4,100k-1M,387,96990785215717,96990785.215717
2026-05-21 20:17:07.345255,632,633,6,registered,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,5,10k-100k,1571,50243122794339,50243122.794339
2026-05-21 20:17:07.345255,632,633,6,registered,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,6,1k-10k,2015,7846408625573,7846408.625573
2026-05-21 20:17:07.345255,632,633,6,registered,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,7,<1k,5035,648154995310,648154.995310
2026-05-21 20:17:07.345255,632,633,6,registered,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,8,0/no active stake,1606,0,0.000000
2026-05-21 20:17:07.345255,632,633,7,registered,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,2,10M-50M,1,20427222950886,20427222.950886
2026-05-21 20:17:07.345255,632,633,7,registered,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,3,1M-10M,31,65083993868775,65083993.868775
2026-05-21 20:17:07.345255,632,633,7,registered,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,4,100k-1M,369,94460091053375,94460091.053375
2026-05-21 20:17:07.345255,632,633,7,registered,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,5,10k-100k,717,26783506692377,26783506.692377
