snapshot_utc,trace_schema,latest_pool_id_bech32,ticker_name,latest_drep_id_bech32,dedup_current_utxos,distinct_stake_addresses,dedup_current_lovelace,dedup_current_ada
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,NOT_DELEGATED_OR_NO_STAKE,,NO_DREP_DELEGATION,31438,21557,322437466704632,322437466.704632
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1vcwsfldh4gkzga4mc6p86y0vytkqfm9e2dy44hs00v34yeqnfaf,,drep_always_abstain,7,2,48330921272734,48330921.272734
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1fqas6yd8n3fdpz8e869qjvyensdmzletqjexcut8mxasu2sk72r,,drep_always_abstain,7,2,48134270019667,48134270.019667
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool17arsgklktp9sayk5kzaakwvl3jwyczp07guux2yd0upgqh04qjl,,drep_always_abstain,6,2,33298974209026,33298974.209026
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1xed948ze4guhrkt9zxjmecjvgkvgf8gd8skkzgtacz6gsyk9m5c,,drep_always_abstain,3,1,16674365422057,16674365.422057
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1njjr0zn7uvydjy8067nprgwlyxqnznp9wgllfnag24nycgkda25,,drep_always_abstain,3,1,16610246008688,16610246.008688
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1j276s043qh2knv3ukmap6sra6sk7p5khuetzwx9h43wqydzsx8c,,drep_always_abstain,2,1,16364446930838,16364446.930838
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool16e43yxx4djcvnsunwgrm8tnph0ljrt3p9tnezu3qvtcwzh4zwwa,,drep_always_abstain,4,2,16355556422115,16355556.422115
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1fl20ddkpvnstlx63fal6e3ku46r76nk2s4mqtk5jnyxn2vt7hg6,,drep_always_abstain,3,1,16342372684488,16342372.684488
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1xucruwwxsym3u9v0m4ex3az5d4vpz9xu877vsl9udpt0q237e9m,,drep_always_abstain,2,1,16342369791604,16342369.791604
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1uthdnav2zc2hxpg2hyeyy545lnxtl8lqdcdqxjm0j8t5srmyvzj,ADAST,drep_always_abstain,5,4,14193167726318,14193167.726318
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1sdare7xfd6tmak8ghek7kwgpgj6xzu0reppmw4t46rmcs0h6vr2,,drep_always_abstain,4,2,12699573947804,12699573.947804
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool18gsrasdghtjsnzlf20pht85l4epwag74w9pfx5qvdvcpxw68sl6,,drep_always_abstain,1,1,5519374850765,5519374.850765
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool153sc4fct34a680nyfj4084w8dpax6c0zt0js8zqvg3sj7wtk486,SASA2,NO_DREP_DELEGATION,9,1,3097426615721,3097426.615721
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1grgycym8cf0xmgjjr7gx7udmkpu93hqaygysy5myx6ghx8dvl5r,THOR,NO_DREP_DELEGATION,274,170,2730831983965,2730831.983965
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool16agnvfan65ypnswgg6rml52lqtcqe5guxltexkn82sqgj2crqtx,SPIRE,NO_DREP_DELEGATION,519,334,1917665498687,1917665.498687
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1fqwnqk3phwa2s5thgym8dw34pv0z67m526uqprnjh93cvzxymef,NUFI9,NO_DREP_DELEGATION,122,85,1780031601667,1780031.601667
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1s6se64qce5rjjjhh6ufcdnc54p8qg78mlhjm38lymx99sqysvzx,PAUL1,NO_DREP_DELEGATION,854,473,1668994937238,1668994.937238
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1lurfk0k0wwx54hlg8a7zp3jtstu57u59aeq7aketl55hknmmtu0,TNTM,NO_DREP_DELEGATION,286,197,1639738866230,1639738.86623
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool10d6mmw3mn9ku3r7uqqye672dz3sv76lh5kvh5rdpr9l5ug5yknr,,drep_always_abstain,3,1,1433961011043,1433961.011043
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1xxhs2zw5xa4g54d5p62j46nlqzwp8jklqvuv2agjlapwjx9qkg9,SWIM,NO_DREP_DELEGATION,143,94,1352907285127,1352907.285127
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1ekcsyzwexl7p2kwxxh34hy28l6772vrmff7jwmuxsa6u6fzty9z,ADALO,NO_DREP_DELEGATION,213,143,1343302553141,1343302.553141
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1chtam5czevzk2ttctvltpsc8twlwf6zzyh7kj3jkz72gks975sn,NUFIC,drep_always_abstain,7,1,1289435606520,1289435.60652
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1wyfau3rlkckr3clr4mkyxn9vdlrkup0fj7uyyflfccmms24gm3a,TERA,drep_always_abstain,5,2,1277476331064,1277476.331064
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool15r7xg0vrrv2yu8wj3866eap8ftkuxvdk5rjz2lh4xajjq5v3p5d,NUFI0,NO_DREP_DELEGATION,75,51,1130910872487,1130910.872487
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool173mzegwuu0pjcrt60ekelzj5haqr8r5e4e0n45qh9jdz7xm5kh8,ROCKY,NO_DREP_DELEGATION,377,249,1119255465875,1119255.465875
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1zdtqtsu3l3ytatzyvrq48d4mpnll9c5evwfq6taxkmn9vvdz839,RANKT,NO_DREP_DELEGATION,10,2,1107070392114,1107070.392114
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1mqy259k253xryf4hvdq0n72n2uvadcgp34r0fxwpqzm0z5n0qp6,SPS4,NO_DREP_DELEGATION,26,13,1091417488251,1091417.488251
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1nwt6mxqus3tpzrshky5h5kykz9rjpxmacrvw0z6yak9uk5p5045,DNEWS,NO_DREP_DELEGATION,211,139,1062055546879,1062055.546879
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1lu2luhmkyayq9njh848kfknn6evwzmn3gzsxar7z3sttg7grxcm,,drep_always_abstain,6,4,1003923217971,1003923.217971
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1qkd5y9azf2xx0gmrj68lrkcn59ldjmnpzd3y2rq3tvjp2vqljan,AMOON,NO_DREP_DELEGATION,12,5,982659393800,982659.3938
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,ADV,NO_DREP_DELEGATION,339,192,977394803218,977394.803218
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool195gdnmj6smzuakm4etxsxw3fgh8asqc4awtcskpyfnkpcvh2v8t,SUNNY,NO_DREP_DELEGATION,227,144,960483073913,960483.073913
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1q0jmr57udknpq8k5qtgt5vgdjq9pzrzevf68966wxn8zgz7qy3w,EPOCH,drep1ju2udpph53uuaut4sy6ss46rs9595yeaqnxjsvsms5htkyup4cn,10,4,958165815359,958165.815359
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,ADV,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,33,6,948056534714,948056.534714
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool12wpfng6cu7dz38yduaul3ngfm44xhv5xmech68m5fwe4wu77udd,APEX,NO_DREP_DELEGATION,2,2,906790022239,906790.022239
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool16kus5xvdysgmtjp0hhlwt72tsm0yn2zcn0a8wg9emc6c75lxvmc,EDEN,NO_DREP_DELEGATION,307,215,838021913597,838021.913597
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool13annzt9hjfc822f0ejvxjf7fsmxd6cc28whpk5kagec6ggfmm7u,STSH3,NO_DREP_DELEGATION,889,716,836903037068,836903.037068
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1zmfpd5r5vfwjmwm4cgy53exe58h7plnecny3t4948yw7zumzp4c,ALPS,NO_DREP_DELEGATION,438,301,831503593380,831503.59338
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool189lsf6c2upyhmrzddyvyfjxxkqnte9pw8aqx7f4cuf85sjxlm02,CRDN2,drep_always_abstain,36,10,818213220443,818213.220443
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1ue4ngerz28nkpstsr5p53qvl5ulq3jtmllj4my0d0n28yyrn4l4,STP,drep1djhscd8wt6zxmfnedk4nm7zu79z4fvzswaffkmznwnac76chsvu,2,1,808956702647,808956.702647
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1sjwdmeme5zs042jzwmdvxshhv27kepxke0mr02f2yzacsyd4wtu,CCV,NO_DREP_DELEGATION,286,175,795985855144,795985.855144
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1qa6lqyu67ghpa0evxfu9nzqkj3h82qpfku82ec79zdwru4pd25m,CNODE,NO_DREP_DELEGATION,268,159,791140400205,791140.400205
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool10quq4wlghwrvmhdzc7geq22pyhzegccwj56ax2g8hx0cjfahufs,SPS2,NO_DREP_DELEGATION,32,21,782724734136,782724.734136
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1wt0pf4u2xktp0f7apveu242w6nkm4ltk3m8g039lvuhwq4zdtf3,ECO,NO_DREP_DELEGATION,115,70,781678747300,781678.7473
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,NORTH,NO_DREP_DELEGATION,226,140,769488622637,769488.622637
