snapshot_utc,trace_schema,root_seed_id,latest_drep_id_bech32,latest_drep_hash_id,drep_distribution_epoch,drep_voting_power_lovelace,drep_voting_power_ada,behavior_class,current_trace_rows,current_utxos,current_stake_credentials,current_lovelace,current_ada,min_depth,max_depth
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep127pc58jyky40fvess0c4tjxkrnkf8ta3sfltvm4ptypqc5fgav3,42,640,62682578605590,62682578.60559,weak_behavior_signal,37,37,21,575648175189,575648.175189,11,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1mkmnzmtlflcadyyy7g6ju3sn9ppcrut5wn73x00mfwmw642g5qy,8,640,71098807286264,71098807.286264,weak_behavior_signal,17,17,10,534851940131,534851.940131,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep14pjm8ytt682wkp4jcegdj2yerkcy9a20xevvp7udlcd0ggjxdud,34,640,44673182905504,44673182.905504,weak_behavior_signal,7,7,5,446208925495,446208.925495,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,11,640,173282170863023,173282170.863023,weak_behavior_signal,49,49,27,368565203560,368565.20356,11,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1qz8frp3eq58v3dcguhv0753yt9gf3g50plrxw8rxu2f2krf2p5d,377,640,89601583317696,89601583.317696,weak_behavior_signal,34,34,22,356541131446,356541.131446,12,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1xfzdeu7mutvla824en2mreg08h97gf0m7q2rcsg7nuspy6k0ysx,1359,640,2344497132108,2344497.132108,weak_behavior_signal,1,1,1,354747049263,354747.049263,14,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1lhkqu7uhq9532xr5558q7gh5rl54m4ezav8p5yfkgz27yrx735a,1937,640,92106939455581,92106939.455581,weak_behavior_signal,9,9,7,338591060803,338591.060803,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep18xca9pu8qgt254tug3l4r8ryvypfucnzcudlazcxc9nnzdtd0kp,245060,640,322369657213,322369.657213,trace_only,1,1,1,321557785527,321557.785527,12,12
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,612,640,222597864038928,222597864.038928,weak_behavior_signal,140,140,80,295242165246,295242.165246,11,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,751,640,242678026974016,242678026.974016,coordinated_like,54,54,16,250742250250,250742.25025,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1npqc9m60dg9a27e852jn8wse9h3l975qsgwgh22mmh2eqzrlsfc,15340,640,89058100980099,89058100.980099,weak_behavior_signal,18,18,8,244146087416,244146.087416,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep158mfwdv7lvqzg0yrdxwhsmkq5406nmvw4yvjyyfcawlwus2eylt,44748,640,12760444186740,12760444.18674,weak_behavior_signal,40,40,1,188145348329,188145.348329,12,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep_always_no_confidence,27,640,176605061827128,176605061.827128,trace_only,79,79,41,184849413734,184849.413734,11,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,612,640,222597864038928,222597864.038928,coordinated_like,105,105,36,168695003991,168695.003991,11,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1xzmkqkcv3k2fm50uhz9n2a6nd0qgjj23ztpwmppktc0gvwgfd8j,233459,640,33262549958132,33262549.958132,probable_retained_like,69,69,1,162825900862,162825.900862,12,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,1948,640,432487134870637,432487134.870637,weak_behavior_signal,28,28,20,159748973035,159748.973035,12,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1ypft5p9fdetpr2zy7zww9j3nku6px06cwkstzqh75sk5vn6t4pa,5166,640,16436554543809,16436554.543809,weak_behavior_signal,10,10,4,159590112215,159590.112215,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,emurgo,drep1xzmkqkcv3k2fm50uhz9n2a6nd0qgjj23ztpwmppktc0gvwgfd8j,233459,640,33262549958132,33262549.958132,probable_retained_like,10,10,1,157166718301,157166.718301,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,emurgo,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,640,595013768459950,595013768.45995,weak_behavior_signal,26,26,7,154615982863,154615.982863,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1qgswagyfc60x0zhyxdz7df8e95avxmy8kp5jjzr9j7y4sn0xmcy,2894,640,2058256636804,2058256.636804,weak_behavior_signal,18,18,2,153639747078,153639.747078,12,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1n6gwr6wsyhawt2lewpssmqqnfu4ss75h0stc25lkpsl2q72gycy,278,,,,weak_behavior_signal,18,18,15,141634366613,141634.366613,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1qz8frp3eq58v3dcguhv0753yt9gf3g50plrxw8rxu2f2krf2p5d,377,640,89601583317696,89601583.317696,probable_retained_like,3,3,1,137618304853,137618.304853,12,13
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,cf,,,,,,no_stake_or_byron,116,116,0,119625598540,119625.59854,4,14
