address,ada,is_spent
addr1q80pqyzh6ldlgr9j5v4s6jqlyk8n629vvqh5yjwtuk9wmmr4sl06n27nx3m4uctzd7y0dj9z3sym9904uplht2zaavjqj665vq,5000.000000,f
addr1q80q8efkhfkpk48uxska49m06m0kddjafeew58fkxhhhtrmvnw082q0m026nt3hlr948qzrq6ua8q6vnt6w7qh4zuhfsr6tnvt,5000.000000,f
addr1q80qrek0qw5eups0uawpmwuxzl2gwezm50qley5h9l07fr90eta5zef83qpp7xw82zjkcttlem37y3djqu49yu4cy96q9wvan3,5000.000000,f
addr1q80qtxa5ym5qht84k5c9k3ds589vc6u55vgx5vhwvgvtda72yp705yn6ktgm9rw287apweh426w3rxwyqfk7e9uuuvasyuff5h,5000.000000,f
addr1q80r2udnthwqw7vrfp3ytagycwshwaupx6w7ylrz96yw93t833xmgp3wnmcsu6w5nsvvaw7h8pat44yy8afwsecxhh8q3wmpqv,5000.000000,f
addr1q80rjdpl5sn0s59njpwg54v25y93qmj0nr307dy90s56tmf68p8239h3tml8m8uc0s4mjf6tsr0485jhu72s9a4645vqgqzdw3,5000.000000,f
addr1q80s7zsyyswt6h7hg07gccs6dj3jqrkxd07a0d2qpgc7mt68zled5raj7t0qgf4lla2ynrwpfn672dgh0uj6h2q5zfmq6k2wtm,5000.000000,f
addr1q80t2s9lax5s8y5t6df0579kt0w3k8zm8cutm4lvfnx5cgj5snf5sdmu4z6z7dumde9rc2rjmad5feku87garq7klwhsudmxp0,5000.000000,f
addr1q80t2ypmqh8zye2llh620ad04ak4ukgvg3ufdnz2vz8lyltr7w259te4wdcsfhvs9algf6fjl77xxv56hy0u38tkwdns3yrk8v,5000.000000,f
addr1q80tq483splg8p05tg7zhqzajy62tr2j6karyv9dmlaflna0t6l3kw3tttjhs5umv3kxk7jeufgnzrz29hfnayq34csq0cw3sn,5000.000000,f
addr1q80tqem6ewfj88w3wjtde7yull9upjrn6hk9tu7dw0t4a9tv60kzjpy48jp03d7au4xyf3ht6y0wqlwtc3q456nl7edqhuae5c,5000.000000,f
addr1q80tt5m9vu2hfk7dgth42uw38anl9qq6482em5na90gf9p7lkch2rpykkqm0kc0vdesnce78yj08l3rqe6sed6kr027srka34f,5000.000000,f
addr1q80vnwpw2jdyxvwegu8c73dr6qqjx79a9m6sm4snfhgtklzr5lun7sv475net2f3gs9ek6wfqlp3qvncjpqddfedclks6q25vu,5000.000000,f
addr1q80w4kk508sa5vsxntv9z004n25q5ylnyx2l8xnk5zkjlnq8fdrez6fzuwjf5yff8508c4a56wpjames7789adyc8zksle3mgc,5000.000000,f
addr1q80w865eas0lu438tcxdm4nhz3932kcqk4qhhw4terpphdwt2ua5rhj4w5pyh4jkk3ushdyfhcpfj74a5xr7l64a3p7suzf5yx,5000.000000,f
addr1q80w8z8cg8nsp2dgneckxjpmlfnmyak7u2686gf53v3hrcfafy5jdj5nzcp9pgq96fn74ehecq2sy5vp6emzdljk9qfqy9mxta,5000.000000,f
addr1q80wy7nqfl49egxsjdzzf5wv78evgme4tf2zfdkc0mxu9q2uwrgahtdyds8z78jryg3z4m9ww8an54t3h5975zqt6uqsgtvzrg,5000.000000,f
addr1q80zlh7adqalz7qzjp4jwg9jqrungj08j4sfj5yh86rju637dcep3am6ua8mr52mczqk8dmqlu76p22nv4xterpj7cjq5fd2wj,5000.000000,f
addr1q80zp46m4t5xv6ym3algt2pvz48sv487akwzp80jrmn0sjsfy4gf3xvyxx3vjd6jurqftecfk9gv4lzqf5dyzece4f5qsw44hv,5000.000000,f
addr1q80zulsqc5u08xa9pyl2vr7cqtv9vuq7ee24rls82a9zukedyyj9gqnnhc0s8h8vpcrpjv6u0lm56nara88hv87pgn9qd549wd,5000.000000,f
addr1q82068j2pjwwdky369cv37tjjtreujvxs82yafve0cdx20vem4584d5nf7ulruk2kc3hqfnra7xce700nr7m0tp3c8eq00w4ud,5000.000000,f
addr1q820rgjpmcw208k8et3ep3m85wujh5n30nuzey83aefh5ztwv8q6ds252mh0q7jrqgmpyrsyuvv35nwd5m8u38m275xsfsv2rf,5000.000000,f
addr1q82293ljjrpsxrjsdqudnahx2ylx5g8uqrp8xlrshdnhd4m6fu5qsrfppmujgsezaltvx684uwm874eyqc357n5crxvsr49tj8,5000.000000,f
addr1q823g03m5yjekurj897rtyv6mp07n2jq8w32w9g8jtyvf5ns3dkh4hhe4vzz4ftm3uw6ntrzq2d2pek8792hvzcjqfjs5xdkhc,5000.000000,f
addr1q823qmnwy647l26tg9zh7e08hn4jddc25rue4fjm7y42xdvfyk9da00h38hqmzkntal5r2fyh4tukjvfe4xx5j3gt4ssmz24d0,5000.000000,f
addr1q8246t74t7rdjl7aqmg0lwunu5easxx8mrphhchn5m9l2c26wrxns82z6gxg82aaft3p6skkk8u0aa35z59shhy3w0kss4ggrw,5000.000000,f
addr1q8259hykaavethcdevvxc6053gthualvjl574yfynfzk46gfm0m476cnsfrhyengp8pck8gtpkml4vrzae7h060v9pts8p2dtc,5000.000000,f
addr1q825falekzfehgj2qhck22f5j7a687udrwmqyf99mkapns7ustdtf5yazm2eg56k90tkuu60az5ya80n28a9fwhceudsxtkjuk,5000.000000,f
addr1q825jqlldqdh0v2w9jd93su4zngf48khd3as4p2muf6ygem2k7sxdzd4rjn3x8fa8hefg2ynkmhk0rkghmvjmcttm05s6v7lc9,5000.000000,f
addr1q8277270zjhykju56vyxjd6wmurfup05atsz5plpvzc34whcpkvte0l5gks45qgtrfxl4cra2g5h908chydmt2kc73uq349nl3,5000.000000,f
addr1q827travltvcfc3znqfu5qja5ywh7dg4ya6xv0pawgsl0r8ehaz66t2kmppg70vgg2smsy6uez0t0xkjuc346qjtkmws7zj474,5000.000000,f
addr1q8289dkx5yjf96q9hyzc0amdkp06d0mdccy9lthcd2c9fqj32qju24rtpfl36xw5hdauh9nw5vt3h9pe8sa73x8z788q3jdhed,5000.000000,f
addr1q828a2a44x22n0k0fh78agr4vy4wga8nnkvdav3duqzclg2jvs5nccq2f8cxl54ewzl9cc9mlaz6gyhhufcql2978cjsxfrs8v,5000.000000,f
addr1q828awkcen827xmjt2363e06u3rq9zcazppxnaauh56wyapuur625mndal8fezmz580gxf448kl26z8d5ychgzqpyd2s4jzmu6,5000.000000,f
addr1q828g7mvstshswjxej4gazsaepk3a4pep0y6pxmglf4cp30vjqkyh4mecaf9yk4qr7ks6w9pyzzaqpf2amd08735nrks42ua8w,5000.000000,f
addr1q828msfr7w7rpyrf8026cttnvrx2j9vcx6mh3r83mkzsa7vh5hcnw9ktrfw3myhjluz6nct855q426k2ycddsk430j7q7x2qmy,5000.000000,f
addr1q828uzcaklu8updl9nwe2dnjgm3jjv9xxyza4dfng2veggmhnrr3yh8gejcqvjxv43gxd7hcr0v0nfze83yhf9xv5q5s89z5nk,5000.000000,f
addr1q82963lf7slnsalscx7ecd8xu0sjmz7egpd0uhkdlz9qyw04lnzmw2zuc76y3prw48gz2u5msructw0h2tl769djkp8qgzas7q,5000.000000,f
addr1q82ad00nfpqhx3jjdfegpv9t40qkgjmjdfzwkc6xzc2h097zmpggzsp30scqd05kfs2m42cwku67nmmxa6ck7gcv07mqxvf97l,5000.000000,f
addr1q82cks0lwlg9gcuz33gp9ju8m963pa52xtdunr6utqjmkzf8yr23sut5pvlg4lpht8u4thdtcphrexmlg2tnpjuagmqs8vvxfl,5000.000000,f
addr1q82dj80wuhl4vgftm3pae3xl03rdkh4cs2ylgagjaja7xwntwmvu99pv8had679vy5pqzaxh2xwc8g9gexmnaufq38nqjue07t,5000.000000,f
addr1q82eajzawxgtygrals65pugm2c8vymmka2n4jl9ler7qftdq5k08mgja2d3dznz2g9ds8vvhs25n5y2guzw8l2le7jnq89pgaw,5000.000000,f
addr1q82eh5qumccypjvjqdxynd2le8fds9nenndacfg9rm7mjz5z7j543k5vdnhqa6txva7w02kmx6h4xu3pcclwm8s036yq9nvfmz,5000.000000,f
addr1q82ewkh9gc23adayp5tekd6zpnrfflry0y76tp2mce3ln30q0zlalwm7lx0dmz5kcrl5gf67v9hetrpz2s49zjm2538q503rjw,5000.000000,f
addr1q82f6mggxt6s03ecsv93p9fn2tty4yjluff6eu97e8qk2hsvm9ngqcm3gvfctrdwkt77xeasum376nnr544vfdke6las0qnl9c,5000.000000,f
addr1q82fghq7rfwu86dt9d6pm8sg3y28r8u4un06hxdk9w79h70hccw94ayg768vuwk8qau3jerw4x9x80uvm5c0xa4kcyps9zukja,5000.000000,f
addr1q82g0747ruclt5l9fy2qvpmwazwt9cwyrd8ljzlam07k44pyl9snukcarfeswhm6qkl5rrtqjef90v7y6cjym74cjnyqng3nlm,5000.000000,f
addr1q82gdvezjqw6vzwrgle7znadzxl5k9yhehg7fc67dqwgmdy3xlu0m78tvl6twfy896q00d8rd3k6yqs840qcjn0888jsydn4t9,5000.000000,f
addr1q82ge07sxvf3wx87xavt4zjr8kkp5xh0lakkfjm726mux8esr4f4pyle5jzyeuc63jm902wgnjn8n8spg4fc7jwsgyxsg3tcmu,5000.000000,f
addr1q82ja06xr58ysxkc9p3r4w98glefxca2yw4mg7el2tmp85v4dhp0f4hk4c0adxhl28f6xd2du2mt3ktxh3nmx03cv8psjluw3m,5000.000000,f
addr1q82js36y2san0jfhstlfuza6mgjqgs36v2744qd8hx46vemtl8kyrutkhsz9wpw69hxm23amf9r7kxkjgsp8c6369jvs7phlnu,5000.000000,f
addr1q82js3wggtf8n7zwkmgl4fnxh8v8jha0dnwt2x7tpekayeyvuxkgc69nurc2s600q4mxq0v6kcz9a5d8v8s3f9f2ka3qnxjrg3,5000.000000,f
addr1q82k0adlmgsla74ktms7x7j544nssd4kdd0anejks029e7zgx3hxde3gyf3sq72afulhj6qdzn82lsv4jsds0n9xgqlq982xkv,5000.000000,f
addr1q82k0d6v0xpd063lc2pdk7yzkmx5w077aafq9ftkluf3z04t06pak30rc2yf358sh8df8gu84jjkj794sq7sm79vy97sp6lhfd,5000.000000,f
addr1q82kfyd0ye7wmsr25yalyvtnwez5ugtctwsxvvu4uu49ckl2e4l4g0wn27jnswva3xcz3ccstwq0q5ptrwpc59k5mppsq0kz9q,5000.000000,f
addr1q82kqfvum6pypsgy2y38uckgwexga3p7wryscrjwyzxzwd0kxkhzf0nq9vgsmvgewvfskz9k743sua5llv23dafz2lwqnfm4sv,5000.000000,f
addr1q82l2p780pkuzrfyav2nhe3hhrrnph4cvpre5qeq74vq99545k0wysqxmkw7kl8t5uz2gstmucdf9skvcgq5n67r7fdqnw8wn2,5000.000000,f
addr1q82ngtnzgntn52hx0sxlq5kqe3xpwrgntuku05s9qrqyfhkzhqzt573d8q6t6lnnxhymg4n7cnl4tj4640twzwfdce4qdshxse,5000.000000,f
addr1q82p3nt8lknejjxljmj033r2n8n986ggehn7d08l5anecydm0n729g0209n4nrk3mj7v8gax3y0ysulnguy4mxuw30sq27us98,5000.000000,f
addr1q82qnzltjxh3kfuqqu6asrp5jg89y8shza7ay92e55kpxte0f5r0qdus5vfkyja9ac0tqjt8ggzqvk5sds5qtfy6d08qnvkmpx,5000.000000,f
addr1q82rky32ahzq4ghk8tkqgtg2echckgd3cmjwywn9jrsee6ayjfnvnleqd6qgayzxuuf4usvmg9r02vxqpaa7l8hekr4ql68zcl,5000.000000,f
addr1q82tgn4qcqhl2rcd9krq257mlvjxth4mf4fa660qxahmm69xz0znlwzfz9l4v9kc7vxatvkf6ypeeqcqwml6cl2a6vdslhyqgq,5000.000000,f
addr1q82tnfasah6w3j6d53a2r4hwcmnr0fm7dwt8hp94nu0lemsf5qxjl8jdjdwz8ewpfatkrhy8rdppljjaernzpecp0a0qzw8d3v,5000.000000,f
addr1q82tq0nx4t7uknexvpk84dc9rkykhcecd2tjthhed6mxl6ct6spjds6825uyld6zn86padclkg7y4cpejhdd7xd96yas4mntmw,5000.000000,f
addr1q82trcqrlu2mrua8wvc75h5a6rdypw8chyd3tzry442asxevuca99m25w8f7rrs4rrxx6jx8uu6nyknkmfhfmzwkznpqu6hf78,5000.000000,f
addr1q82u6s4s5vlg34t428342ukjx2che62uclpxvshq3xjzjxe7ww96g4k7mvftx6vcg3deh96eduzuk4v7p9g38nd2mcyqarpvsj,5000.000000,f
addr1q82ujm5qyd2e998ushwvu7q76kumwc6d8gt7vv5y8wfnkwngmv9x8y8qe6gygsnkgyejxhj866syreyjpwfr6424yduqcaqh5f,5000.000000,f
addr1q82uxuwpqhfdyt8y9d3vz4jn8j67yphsujz5smsp7whnf5x87n6yzumkcr5ptd6nt9kh0qh7flq3a3n3pll9h9kwew3s0a6j5s,5000.000000,f
addr1q82uy0hwlfy4lt0y8tzfte8dd3gdqumj6agvtrkcwmje75k4cn48a0csexhvesqcjdkr659gnqzejctv6u0vnzjwgerqtzrf4y,5000.000000,f
addr1q82v2e9t8kqtl2kt6ge3gah2r2whx0pqlm2selyw3whhnwsguy0u0xs6qvpwqtmhxhfuwqa9zryc449cahcjckva2tdq59y39g,5000.000000,f
addr1q82vgrsan59qm9k6u43zstau0cqppayxejkfancu0w97a3glpp9k8l86vl5j07evr8drc548yyd2rk9gkzdaj9svjt9sk9vd4c,5000.000000,f
addr1q82wln7tte0d8me4q7582cl4h49p5zd56tlf8pq55uhmqnjxflf76zpyflwt8dhsdrcfq3k504vd7tnmwl4wrkx2qz5qg30gkm,5000.000000,f
addr1q82xd97tzs7hfyrd4rjckcsm3cdpucqp2w29h7vwjq3tafnk2q99w7el6atez6t33y6qqr2wda6lcymxczar75psgpxs06c0mv,5000.000000,f
addr1q82xf7dts2q7dwgputw244sm6p9muye6tfyzud3rzyj9lupqghgc8p7yp5kg27gej6nvn9x7800275kgz5kazgxxuwwqwspwmm,5000.000000,f
addr1q82yxv3md7z0ly7p4enn39nsrcv0t6hvufazg0h2zhtuj3eh4jt807tmgt9wlqnyy7npyadquhuaj5g7qn05ldz5djjs3psp2c,5000.000000,f
addr1q82z7tj7dv64rcmtgqh4ywc0pgwj2evk74uch7v5njn0qycpu968scfyt5yr309cqut7ap4z406trrtzfhkkadgzyz8s09nxsr,5000.000000,f
addr1q82zlnxjhe4ltlp8phc84y247kz3rddtpgd2z7g77emm33pzjwj230t99w5vdxeuvc37z48ql0gc4ccrk9m0wjvd9seq79fq25,5000.000000,f
addr1q830uw0lm2vcjzy5jgayp2rqw32a8er5kzry7wpar2337a9xtq3a0cyd4s6d638738d4w8gupz68znlhcq8gjlzh7fgssj357a,5000.000000,f
addr1q8320ayte64g50eng58a28nd98vpc3rcr804ghcln6nnsgvpucgzgwsq6am64jhwh86ms3vrauqaw00x050mu9m5hhzsvswwx2,5000.000000,f
addr1q832sggq209pn94dp48ftcjydyvqqm2q5mknnpc78q3zcme3dxud2t7ey5ryhjg8wjp995nyktc4mvs7jjnh93k6aldqhcntmn,5000.000000,f
addr1q8339pu04e6m2ng0qkmhm9ehze034ju6e0day0ypqpslm9kvjpazq0nj85ufsqhr3ldzn8j6gak5wfwutw42ujauzd5sdnntx6,5000.000000,f
addr1q833gjw70tqnlf33gd3rgej7d3yhqjyfaqga57k632k09xheq0rclqeyzzl25khcnnervv92k9cctpw93wgeg0ydvp5sptju95,5000.000000,f
addr1q833kus69lxah565vgyqsgzha7mc0x4u2zyr9zunktu88uj5qs8dadscpymvs59txlnm2tnna7pumj5wa6r32ex9l36s3fcwd0,5000.000000,f
addr1q834ttggrpc6p3t9426nq890t9c906spntluwv78wla7k7xeut02lcz557rcura6mv4gyyx9ksqgu93p2a25uzj0y4ns2t5nu4,5000.000000,f
addr1q835v3jxuzexzvr24dls6e4cafp9jgdgdvgy8jv0huspq2mnmuxu7kpnasvct9p7slz4zdpl0k58tmfjaem6jnwnyqmqn9s0gx,5000.000000,f
addr1q8367wl5az9lggsd4k7azexpdp0ee58djhx7j7cpqthmnhnp5njhkvllv85f03jvk3rzw0jusz5fx47t40xmjr64nx7syxmg48,5000.000000,f
addr1q836j6a2r4x23vge5j75rmx5s9t05rkl675g7m0y230alr3rvke4njg80a74qmhe65hxwcn7cm7259hhate8wdfgv40sdtm8w8,5000.000000,f
addr1q836swzxtldeh6tpmdpklhhu7749kvax4c3aml8rfwexch47kfl99vzs6hzhmxff2c72jn409scvawqvu2as55h63pvqzwvylq,5000.000000,f
addr1q836vs40pksz4zzjmujak9vlvuyfnepjjsw7zmr0p26dv2ta9mt5hhg5a0rm2xr9t3z0a6dgfyskcm6ragcjr7tmudzsf8wdw7,5000.000000,f
addr1q837g09gvvz3qdk8w4vd3xk9xz4c8ge2p7vw0cc87mqwv4m2z6m4rp5wx4nmx8tq3a9cgkycp52ry2dra293gcv299fspnwxlc,5000.000000,f
addr1q838eats56myh2fwtfw4dpwa997029mfary4h7je3y9rw3aja0eaus39xtu233hkt5ta8llyvarsxsdqsvkmcj3e6cjs3q9j7r,5000.000000,f
addr1q838xhu74hk6k5tvv7vemqhgfs99l8lz73xuvv4xee796ja7vw5wp3e4w248wvjj35x73rg7kx36e4lg6qcuy7hvzn7q3v7k74,5000.000000,f
addr1q839kjadl2qk2tqw27z9zv5lszm2v5l2dp6ugcyqd2e53hec9y4w9sp2aa84v0fxad3eg0mv39p3scmvc2qaeys2dlhsw2uzl5,5000.000000,f
addr1q839xn76vfpc8u5wkgzt8ws4kjhzwt4ydzmn6d76mvndvucl77f46nj0k6peypdjdnpah9qend8rqw2ku7r0ptm03h3sl3wmyv,5000.000000,f
