query_timestamp_utc,drep_distribution_epoch,epoch_stake_epoch,rank_overall,profile_class,drep_id_bech32,age_bucket_order,latest_vote_epoch_bucket,current_delegator_count,active_stake_lovelace,active_stake_ada
2026-05-21 20:17:10.967666,632,633,6,registered,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,2,521-540,3000,82378319350910,82378319.350910
2026-05-21 20:17:10.967666,632,633,6,registered,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,3,541-560,2239,49265738243859,49265738.243859
2026-05-21 20:17:10.967666,632,633,6,registered,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,4,561-580,1805,32516909689714,32516909.689714
2026-05-21 20:17:10.967666,632,633,6,registered,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,5,581-600,1212,13886995268390,13886995.268390
2026-05-21 20:17:10.967666,632,633,6,registered,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,6,601-620,575,13589252729085,13589252.729085
2026-05-21 20:17:10.967666,632,633,6,registered,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,7,621+,341,5797959177350,5797959.177350
2026-05-21 20:17:10.967666,632,633,7,registered,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,1,<=520,259,18654213656649,18654213.656649
2026-05-21 20:17:10.967666,632,633,7,registered,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,2,521-540,1064,84370170519377,84370170.519377
2026-05-21 20:17:10.967666,632,633,7,registered,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,3,541-560,611,49379211337268,49379211.337268
2026-05-21 20:17:10.967666,632,633,7,registered,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,4,561-580,503,25402970822018,25402970.822018
2026-05-21 20:17:10.967666,632,633,7,registered,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,5,581-600,203,14904414079439,14904414.079439
2026-05-21 20:17:10.967666,632,633,7,registered,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,6,601-620,84,9412569919051,9412569.919051
2026-05-21 20:17:10.967666,632,633,7,registered,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,7,621+,118,6779168212076,6779168.212076
