query_timestamp_utc,drep_distribution_epoch,rank_overall,profile_class,drep_id_bech32,root_seed_id,ever_trace_stake_credentials,latest_still_this_drep,latest_moved_away,latest_unknown,latest_still_ratio,current_lovelace_latest_still,current_ada_latest_still,current_lovelace_moved_away,current_ada_moved_away
2026-05-21 20:17:02.929505,632,1,system,drep_always_abstain,cf,239,218,21,0,0.9121338912133891213389121339,20715088865004,20715088.865004,11674066895627,11674066.895627
2026-05-21 20:17:02.929505,632,2,registered,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,cf,31,30,1,0,0.9677419354838709677419354839,1507271441254,1507271.441254,37688604273,37688.604273
2026-05-21 20:17:02.929505,632,3,registered,drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,cf,1,1,0,0,1,9000000,9.000000,0,0.000000
2026-05-21 20:17:02.929505,632,4,registered,drep15mr008j83j7n0aet3rfpw92trx24gc7hjmjdrk50fh9xslp09mx,cf,0,0,0,0,,0,0.000000,0,0.000000
2026-05-21 20:17:02.929505,632,5,registered,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,cf,1,1,0,0,1,999000000,999.000000,0,0.000000
2026-05-21 20:17:02.929505,632,6,registered,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,cf,21,20,1,0,0.9523809523809523809523809524,10133786343411,10133786.343411,108732862545,108732.862545
2026-05-21 20:17:02.929505,632,7,registered,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,cf,13,13,0,0,1,5347262937789,5347262.937789,0,0.000000
2026-05-21 20:17:02.929505,632,8,system,drep_always_no_confidence,cf,17,13,4,0,0.7647058823529411764705882353,583591220958,583591.220958,1549983292237,1549983.292237
2026-05-21 20:17:02.929505,632,9,registered,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,cf,16,12,4,0,0.75,9983673354278,9983673.354278,198379610928,198379.610928
2026-05-21 20:17:02.929505,632,10,registered,drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,cf,2,2,0,0,1,17962175180,17962.175180,0,0.000000
2026-05-21 20:17:02.929505,632,1,system,drep_always_abstain,emurgo,599,563,36,0,0.9398998330550918196994991653,29027454388596,29027454.388596,8030434154309,8030434.154309
2026-05-21 20:17:02.929505,632,2,registered,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,emurgo,85,82,3,0,0.9647058823529411764705882353,3065840190700,3065840.190700,274593117887,274593.117887
2026-05-21 20:17:02.929505,632,3,registered,drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,emurgo,10,7,3,0,0.7,3746842895353,3746842.895353,265013598335,265013.598335
