source_tip_block,source_tip_epoch,source_tip_time_utc,seed_label,seed_tx_hash,depth,hop_tx_hash,hop_time_utc,dominant_input_lovelace,source_type,dominant_source,source_label,method_note
13520244,635,2026-06-07 18:44:37,cluster_dust,bd36b8bf58e7d1d6e3bdbec87ba4cf7ca6ed8ee17e9b53bc5509a653e6947ffb,12,23d6ab0ee85004a7328bdb200ae62c905f55e3c2f21b1d0109e18001f35ff51c,2020-02-20 23:31:31,614658191511179,address,DdzFFzCqrhstPePbe8LC1XLkTGYSpBDJyHAJ5PuRgEcshvmG1CrAizB69mSRXBvK2BtFcCuBqrobzSXqpxzTkRWLFyvZpTJL7YQ8hZ58,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,cluster_dust,bd36b8bf58e7d1d6e3bdbec87ba4cf7ca6ed8ee17e9b53bc5509a653e6947ffb,13,42555801df43afc300b210370967ea40de6826a2f0b1a3dd817f2448c8f7afc5,2020-02-20 23:30:31,1514658191632461,address,DdzFFzCqrht9LStDVFdrn2SiudEDDrXDPprYZz8WfbrTmu3cko745FJSSNxwrDTa8QTWTLdpFaAhweB4Uz13ev22eNhrNDCrVXZVQT6w,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,cluster_dust,bd36b8bf58e7d1d6e3bdbec87ba4cf7ca6ed8ee17e9b53bc5509a653e6947ffb,14,1e2290638406c1713b7bf211d7211407651b2279433a3d85c005624b411429e9,2017-12-08 17:11:51,2414658107730384,address,DdzFFzCqrht2WKNEFqHvMSumSQpcnMxcYLNNBXPYXyHpRk9M7PqVjZ5ysYzutnruNubzXak2NxT8UWTFQNzc77uzjQ1GtehBRBdAv7xb,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,cluster_dust,bd36b8bf58e7d1d6e3bdbec87ba4cf7ca6ed8ee17e9b53bc5509a653e6947ffb,15,a7bc5df50f26fae858d9d8b6fcb5d831c88cae3cc7f10fd78ce31a8505ffaa29,2017-12-01 09:31:11,2436992472571630,address,DdzFFzCqrhsecV6grDueeDk4pM6jxwjq2YtTof7r4TBwNdFmbBd5NJ42XWifSDPhSXdfEomShABDnAjpPnv5Sa9CHbf9U9P5p8x4gzdr,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,cluster_dust,bd36b8bf58e7d1d6e3bdbec87ba4cf7ca6ed8ee17e9b53bc5509a653e6947ffb,16,e1e5d9f75ff4892635d460d5bf1c27cb5f92406cda9d664ce18d23600f33b40e,2017-11-30 16:47:11,2437839830742876,address,DdzFFzCqrht9mrPZi5BXeWcMxypLBm9ADRyh47pvkg8VNCGjr5drXiyJZxonNEhrUbZkfbrD3fivYS4x1kwom6EVy8skDh7GgwDrE9tW,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,cluster_dust,bd36b8bf58e7d1d6e3bdbec87ba4cf7ca6ed8ee17e9b53bc5509a653e6947ffb,17,6fc415ff094ba2b6befdec4ed3f8126f18912d51bae67fd5fe09be73be5013de,2017-11-10 14:09:11,2437839930913946,address,DdzFFzCqrhshT1zPHwWLrBhCgawnPZ7DGKYDKp6pwN4MHqtV4KCCCeWBc44k3Q7jvuzY3UL36Zhp6xUEYxthMPV69Ge3QDDF6Xaf8oxB,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,cluster_dust,bd36b8bf58e7d1d6e3bdbec87ba4cf7ca6ed8ee17e9b53bc5509a653e6947ffb,18,9cc04ce112b0297dfc2f2023f007613f613989ee449d29cdc83f48539e5fcd58,2017-10-19 13:59:51,2438839931085192,address,DdzFFzCqrhsnhac5fv3dE6bT2KcqpdWMjBd57etEzYgVKwwoDGWRrBiqVMcvqMuxLL526N3KEbKAoFXVRJaMpwZCj7DE3nn1SJLYooCF,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,cluster_dust,bd36b8bf58e7d1d6e3bdbec87ba4cf7ca6ed8ee17e9b53bc5509a653e6947ffb,19,67e31d02721d2fb645ebd69f2b6a501b8a233e08d4650d25a6674b2e80e9c936,2017-10-18 13:43:31,2443070700486438,address,DdzFFzCqrhsnRxkcmJ1ukkN26iefboWFwKLx95G2bW92mutMGqibYJNYuNgbGppCC32tfqWMa8XpWev9jVXoNUQEQPmcDeRh28UJBXvC,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,cluster_dust,bd36b8bf58e7d1d6e3bdbec87ba4cf7ca6ed8ee17e9b53bc5509a653e6947ffb,20,6577774b38fec7d3d6e98a7a04ced53cb5c79f64ae7b35a3dda045c812c69d19,2017-10-18 13:35:51,2453070700657684,address,DdzFFzCqrhsrbtzv9G1qXfGq5mKVeF6AWg2TcuS3qjfLyhHgVATsP3PeocKqkraN6VwbZrNvN2iHeCd8iESanCP8FQS6BnyaThGjLNEc,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,cluster_dust,bd36b8bf58e7d1d6e3bdbec87ba4cf7ca6ed8ee17e9b53bc5509a653e6947ffb,21,0d94ce298776bd6bf220084d7af093b2d403668a45f55a9c813b2efd0ffd1e10,2017-09-27 16:29:51,2463070700828930,address,DdzFFzCqrht3wEZNURs9U5Qp7HnLoi9Cpao2YzThm88CqvLuP9uTmGzpwQc2e9VSUNGPhR7pAz3g9TtnBx3YoiiJ712Va3dBZNTXkTYT,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,cluster_dust,bd36b8bf58e7d1d6e3bdbec87ba4cf7ca6ed8ee17e9b53bc5509a653e6947ffb,22,fa2d2a70c0b5fd45cb6c3989f02813061f9d27f15f30ecddd38780c59f413c62,2017-09-27 16:20:51,2463071701000000,address,DdzFFzCqrhsytyf2oUxqFNXDX9MfAFBWk9pTBXViZbSwxEi7PYcq9LSjBDcW6BVcA7KxgeixYWospQKn68P9PaviM2FvhTFvsEezT8qg,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,cluster_dust,bd36b8bf58e7d1d6e3bdbec87ba4cf7ca6ed8ee17e9b53bc5509a653e6947ffb,23,0ae3da29711600e94a33fb7441d2e76876a9a1e98b5ebdefbf2e3bc535617616,2017-09-23 21:44:51,2463071701000000,address,Ae2tdPwUPEZKQuZh2UndEoTKEakMYHGNjJVYmNZgJk2qqgHouxDsA5oT83n,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,0,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,2023-11-22 21:59:02,,address,,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,1,8d9d406cefb7831cc85933b23baf7179b884907d86f480134771d7e737957b4d,2023-11-20 19:17:14,16699407000000,stake_address,stake1u9c07x9z7w35zmm5tumm5lpltdjpma8gx95y9vw7e35j67gz7r8a7,voucher stake,largest-input path; not exclusive provenance
