asn,as_name,country,pools,stake_ada,delegators,pools_single_asn,stake_single_asn,delegators_single_asn
265547,"AS265547 - GigNet, S.A. de C.V., MX",MX,1,507,1,1,507,1
210767,"linkhost - Link Host Ltd., GB",GB,1,374,5,1,374,5
6057,"AS6057 - Administracion Nacional de Telecomunicaciones, UY",UY,1,371,4,1,371,4
29580,"A1BG_RSG - A1 Bulgaria EAD, BG",BG,1,218,3,1,218,3
6597,"COLOBLOX - Coloblox Data Centers Inc, US",US,1,140,1,1,140,1
12083,"WOW-INTERNET - WideOpenWest Finance LLC, US",US,2,26129254,455,0,0,0
12337,"NORIS-NETWORK - noris network AG, DE",DE,3,95585635,7496,0,0,0
12479,"UNI2-AS - Orange Espagne SA, ES",ES,1,382589,31,0,0,0
12578,"APOLLO-AS - SIA Tet, LV",LV,1,40066628,1212,0,0,0
13737,"AS-INCX - Interconnecx, LLC, US",US,1,98342,7,0,0,0
149972,"IDNIC-ZETTALINK-AS-ID - PT Salingka Telekomunikasi Nusantara, ID",ID,1,18219416,1699,0,0,0
152900,"ONIDEL-AS-AP - Onidel Pty Ltd, AU",AU,1,140408,38,0,0,0
15435,"KABELFOON - DELTA Fiber Nederland B.V., NL",NL,1,954997,15,0,0,0
15502,"Vodafone-Ireland-ASN - Vodafone Ireland Limited, IE",IE,1,48372245,1294,0,0,0
16125,"CHERRYSERVERS1-AS - UAB _Cherry Servers_, LT",LT,1,41897722,57,0,0,0
198984,"Bialnet-AS - BIALNET SP. Z O.O., PL",PL,1,499932,55,0,0,0
20011,"Dimension Data - Dimension Data, ZA",ZA,1,1686551,10,0,0,0
20055,"AS-WHOLESAIL - Wholesail networks LLC, US",US,1,3734808,565,0,0,0
20115,"CHARTER-20115 - Charter Communications LLC, US",US,1,377439,14,0,0,0
202422,"GHOST - G-Core Labs S.A., LU",LU,1,4016284,53,0,0,0
203059,"VION-AS - Consorzio Energetico Val Venosta Soc. Coop., IT",IT,1,1225882,147,0,0,0
20539,"TCRS-AS - Technical Centre Radio Systems Ltd., UA",UA,1,1653716,20,0,0,0
206170,"Inleed - Yelles AB, SE",SE,1,54327245,1531,0,0,0
209,"CENTURYLINK-US-LEGACY-QWEST - CenturyLink Communications, LLC, US",US,1,291683,21,0,0,0
21013,"ITANDTEL-AS - eww ag, AT",AT,1,995788,107,0,0,0
2116,"GlobalConnect-AS2116 - GLOBALCONNECT AS, NO",NO,1,55712881,1769,0,0,0
212238,"CDNEXT - Datacamp Limited, GB",US,1,228020,6,0,0,0
212477,"ROYALE-AS - RoyaleHosting BV, NL",NL,1,11048181,1383,0,0,0
213373,"IPCONNECT - IP Connect Inc, SC",SC,1,11048181,1383,0,0,0
214902,"PFWEBSOLUTIONS - Philip Fjaera trading as PFWeb Solutions, DK",DE,1,98342,7,0,0,0
215859,"HETZNER-CLOUD4-AS - Hetzner Online GmbH, DE",DE,1,53898477,6399,0,0,0
21804,"ACCESS-SK - Access Communications Co-operative Limited, CA",CA,1,95403,59,0,0,0
22709,"NSTELCO - North State Telephone, LLC, US",US,1,95403,59,0,0,0
22773,"ASN-CXA-ALL-CCI-22773-RDC - Cox Communications Inc., US",US,1,762856,314,0,0,0
24186,"RAILTEL-AS-IN - RailTel Corporation of India Ltd, IN",IN,1,121708,36,0,0,0
24961,"MYLOC-AS - WIIT AG, DE",DE,1,271092,28,0,0,0
25472,"WIND-AS - Nova Telecommunications & Media Single Member S.A, GR",GR,1,24357995,936,0,0,0
26832,"RICAWEBSERVICES - Rica Web Services, CA",US,1,51853777,10021,0,0,0
