seed_id,label,depth,tx_hash,tx_id,tx_out_index,value_lovelace,address,stake_address,epoch_no,block_no,block_time_utc,path
cf,Cardano Foundation,0,208c7d54c1c24059c9314ddbe866edc80adcb8894539b27b6a1430d5c078b998,14526,0,648176763000000,DdzFFzCqrht1RAzCsYyTHZJymt4qj65bV41TyufbmpTr9nGh2VS3zY25tJHu718QACd7xpKENCGfK8wnQhZXNJmnmCvxPHJfuwk3BzrP,,0,19406,2017-09-28 09:33:11,208c7d54c1c24059c9314ddbe866edc80adcb8894539b27b6a1430d5c078b998#0
cf,Cardano Foundation,1,49bef29428b70222f26f33c282209bf17b9e76a6ffa46a21e3925d325381caa7,14530,0,648176761828930,DdzFFzCqrhstSui4YeNkXPMTYkmocxZgJJikaSXE4rMPxGKUxqbCwpSBizgDuzNdQ3ggLmQRmZ6aChX6Zi3YqjqmsDFUfsZThmQBwNvR,,0,19615,2017-09-28 10:42:51,208c7d54c1c24059c9314ddbe866edc80adcb8894539b27b6a1430d5c078b998#0 > 49bef29428b70222f26f33c282209bf17b9e76a6ffa46a21e3925d325381caa7#0
cf,Cardano Foundation,1,49bef29428b70222f26f33c282209bf17b9e76a6ffa46a21e3925d325381caa7,14530,1,1000000,DdzFFzCqrhsrLwwP94HsJenSAauqK8VXE2HDGTZPBHwHVFrqmiPAQjjFjxDyNibJvbqH7vFndYKwZFQdAzdcS9DHH3CGaZsjm8f9SxSV,,0,19615,2017-09-28 10:42:51,208c7d54c1c24059c9314ddbe866edc80adcb8894539b27b6a1430d5c078b998#0 > 49bef29428b70222f26f33c282209bf17b9e76a6ffa46a21e3925d325381caa7#1
cf,Cardano Foundation,2,4ad890224814665aa7a33a58c82664b75c06b632aeda26279981fd29ada9f34c,14531,0,648000000000000,DdzFFzCqrhtCkKWaMk5RU8NvVZGKMCgkhutiLjwFCpwwjqWUK8D3fzuCrXnb24gusP5rM3whez2KRnCUzPZXSS7MFzpUYrenXXbstVHS,,0,19715,2017-09-28 11:16:11,208c7d54c1c24059c9314ddbe866edc80adcb8894539b27b6a1430d5c078b998#0 > 49bef29428b70222f26f33c282209bf17b9e76a6ffa46a21e3925d325381caa7#0 > 4ad890224814665aa7a33a58c82664b75c06b632aeda26279981fd29ada9f34c#0
cf,Cardano Foundation,2,4ad890224814665aa7a33a58c82664b75c06b632aeda26279981fd29ada9f34c,14531,1,176761657684,DdzFFzCqrhsrLwwP94HsJenSAauqK8VXE2HDGTZPBHwHVFrqmiPAQjjFjxDyNibJvbqH7vFndYKwZFQdAzdcS9DHH3CGaZsjm8f9SxSV,,0,19715,2017-09-28 11:16:11,208c7d54c1c24059c9314ddbe866edc80adcb8894539b27b6a1430d5c078b998#0 > 49bef29428b70222f26f33c282209bf17b9e76a6ffa46a21e3925d325381caa7#0 > 4ad890224814665aa7a33a58c82664b75c06b632aeda26279981fd29ada9f34c#1
cf,Cardano Foundation,2,951b7fbb4fd12e05c8fa6e563c7bd950b5861fef762a4c713ae4851b2bb5c29b,653289,0,648176262120871,DdzFFzCqrhsyFc9kK3y633ew5zhTq9mmGEi3HFCXupc454GxQBN3wPRFLYH2fhm4c1ZQ7hZUep6JFUhPnPyRRWYT2qKByoh7qQrwX19u,,55,1195112,2018-06-27 14:15:11,208c7d54c1c24059c9314ddbe866edc80adcb8894539b27b6a1430d5c078b998#0 > 49bef29428b70222f26f33c282209bf17b9e76a6ffa46a21e3925d325381caa7#1 > 951b7fbb4fd12e05c8fa6e563c7bd950b5861fef762a4c713ae4851b2bb5c29b#0
cf,Cardano Foundation,2,951b7fbb4fd12e05c8fa6e563c7bd950b5861fef762a4c713ae4851b2bb5c29b,653289,1,500000000,DdzFFzCqrhsgwQmeWNBTsG8VjYunBLK9GNR93GSLTGj1FeMm8kFoby2cTHxEHBEraHQXmgTtFGz7fThjDRNNvwzcaw6fQdkYySBneRas,,55,1195112,2018-06-27 14:15:11,208c7d54c1c24059c9314ddbe866edc80adcb8894539b27b6a1430d5c078b998#0 > 49bef29428b70222f26f33c282209bf17b9e76a6ffa46a21e3925d325381caa7#1 > 951b7fbb4fd12e05c8fa6e563c7bd950b5861fef762a4c713ae4851b2bb5c29b#1
cf,Cardano Foundation,3,12ae813429484e44740e8050a6f7722454e98b5f1d257af4d8df51cbb1943198,1675162,0,648176761354444,Ae2tdPwUPEZMdkHovbMn67P7sfbUEis1cQMod5976TPifYm7aVDZmvJG1mA,,161,3495104,2019-12-12 10:25:11,208c7d54c1c24059c9314ddbe866edc80adcb8894539b27b6a1430d5c078b998#0 > 49bef29428b70222f26f33c282209bf17b9e76a6ffa46a21e3925d325381caa7#1 > 951b7fbb4fd12e05c8fa6e563c7bd950b5861fef762a4c713ae4851b2bb5c29b#1 > 12ae813429484e44740e8050a6f7722454e98b5f1d257af4d8df51cbb1943198#0
cf,Cardano Foundation,3,951b7fbb4fd12e05c8fa6e563c7bd950b5861fef762a4c713ae4851b2bb5c29b,653289,0,648176262120871,DdzFFzCqrhsyFc9kK3y633ew5zhTq9mmGEi3HFCXupc454GxQBN3wPRFLYH2fhm4c1ZQ7hZUep6JFUhPnPyRRWYT2qKByoh7qQrwX19u,,55,1195112,2018-06-27 14:15:11,208c7d54c1c24059c9314ddbe866edc80adcb8894539b27b6a1430d5c078b998#0 > 49bef29428b70222f26f33c282209bf17b9e76a6ffa46a21e3925d325381caa7#0 > 4ad890224814665aa7a33a58c82664b75c06b632aeda26279981fd29ada9f34c#1 > 951b7fbb4fd12e05c8fa6e563c7bd950b5861fef762a4c713ae4851b2bb5c29b#0
cf,Cardano Foundation,3,951b7fbb4fd12e05c8fa6e563c7bd950b5861fef762a4c713ae4851b2bb5c29b,653289,1,500000000,DdzFFzCqrhsgwQmeWNBTsG8VjYunBLK9GNR93GSLTGj1FeMm8kFoby2cTHxEHBEraHQXmgTtFGz7fThjDRNNvwzcaw6fQdkYySBneRas,,55,1195112,2018-06-27 14:15:11,208c7d54c1c24059c9314ddbe866edc80adcb8894539b27b6a1430d5c078b998#0 > 49bef29428b70222f26f33c282209bf17b9e76a6ffa46a21e3925d325381caa7#0 > 4ad890224814665aa7a33a58c82664b75c06b632aeda26279981fd29ada9f34c#1 > 951b7fbb4fd12e05c8fa6e563c7bd950b5861fef762a4c713ae4851b2bb5c29b#1
