stake_address,total_output_rows,current_utxos,current_ada,first_received_time,last_received_time,last_outgoing_time,stake_key_registered,pool_delegation_certs,current_pool_bech32,latest_pool_cert_time,latest_pool_active_epoch,drep_delegation_certs,current_drep,latest_drep_cert_time,rewards_earned_ada,last_reward_spendable_epoch,withdrawal_count,rewards_withdrawn_ada,last_withdrawal_time,rewards_unclaimed_ada
stake1u970ch6knl4j2wl4whfkrfdv5uj9u2uwemtnzdfhhzvv7ag7tcnr4,21,15,35000000.000000,2022-01-28 17:07:45,2025-11-20 12:00:37,2025-11-19 20:01:09,t,1,pool17arsgklktp9sayk5kzaakwvl3jwyczp07guux2yd0upgqh04qjl,2022-03-21 18:14:02,329,1,drep_always_abstain,2025-02-09 20:21:40,4067886.144911,641,308,4055628.775492,2026-06-29 00:25:03,12257.369419
stake1u97sjjensye59uvlcgxnacm974kgeenpldlpuayvlp7peeswf2pw8,9,2,35000000.000000,2023-06-20 19:43:26,2023-09-28 02:40:31,2023-09-26 13:20:06,t,1,pool1s8347yjgmfguf0ynj69euw7r75w7usdrfheckpcrjrk2yfvnpwq,2022-11-01 18:25:35,374,1,drep_always_abstain,2025-02-09 22:22:21,2605964.583064,641,215,2594994.709038,2026-06-29 00:45:53,10969.874026
stake1u99h97gvv3mar3cwh3nzxttnqh959fwcms3z9wpslygv70gn5p6xg,18,5,35000000.000000,2022-01-31 11:39:05,2023-09-28 02:36:16,2023-06-22 14:10:38,t,1,pool1fl20ddkpvnstlx63fal6e3ku46r76nk2s4mqtk5jnyxn2vt7hg6,2022-03-21 19:22:14,329,1,drep_always_abstain,2025-02-09 20:59:49,3836131.358352,641,308,3826088.684213,2026-06-29 00:56:31,10042.674139
stake1u99yurkzdur22pazfpfthe2gu3rausz6cfll0fnc9w46flcnllj43,692,51,35000000.000000,2022-01-31 11:38:37,2026-06-02 20:00:56,2026-06-01 20:01:52,t,1,pool1qc05c76autq4235sq20zu4vjwtl5m0xn4mxq9kg6e66uwz95kd4,2022-03-21 19:50:53,329,1,drep_always_abstain,2025-02-11 19:50:39,2988605.772081,641,270,2979632.661107,2026-06-29 00:10:10,8973.110974
stake1u9cun6zrn0rllpdtvj0par7m57752tp583vvsf3rhgnahtqxyd2qc,569,32,35000000.000000,2022-01-26 01:27:52,2026-02-06 12:00:22,2026-02-04 12:01:02,t,1,pool1kcvaxe4q4npwt28qlr3h84htjf4qrqglqk3cr2484ptycr0ldut,2022-03-21 15:36:19,329,4,drep_always_abstain,2025-02-11 03:12:01,1890748.293061,641,244,1882292.386555,2026-06-29 00:28:13,8455.906506
stake1u9j7tecyajslj3lk9pmnrd9456fpfdsnqufpd6vmnwqzg2qkzjl27,39,19,35000000.000000,2022-01-28 17:23:12,2023-11-06 20:01:20,2023-09-18 16:50:28,t,1,pool17arsgklktp9sayk5kzaakwvl3jwyczp07guux2yd0upgqh04qjl,2022-03-21 18:06:42,329,1,drep_always_abstain,2025-02-09 21:59:32,3920226.699745,641,308,3907969.330326,2026-06-29 00:22:35,12257.369419
stake1u9ku4ja8eeens3hxmq26f53v6ujlymz6apyyfhm9g5rpvvqtur40t,18,14,35000000.000000,2022-01-31 11:32:55,2023-10-02 12:01:05,2023-01-24 21:50:39,t,1,pool1fl20ddkpvnstlx63fal6e3ku46r76nk2s4mqtk5jnyxn2vt7hg6,2022-03-21 19:35:47,329,1,drep_always_abstain,2025-02-09 21:23:05,4116793.910721,641,307,4106751.236582,2026-06-29 00:13:14,10042.674139
stake1u9mnjnz0vw2c7dm9g5nqgthse4us3ae6t8wdrfanp8gm6hqhw5ydx,2,2,35000000.000000,2023-06-21 14:31:33,2023-09-28 08:44:33,,t,1,pool1w7dk7rn0cflzzfr4fqvjpapn0rkz5ksmerx5tgwpm2gtj2gly97,2022-11-01 18:29:37,374,1,drep_always_abstain,2025-02-09 21:47:57,2413002.215532,641,215,2404741.127233,2026-06-29 01:20:09,8261.088299
stake1u9p6rw23vxyt8vj85zctk59e3l5m93hszhmrhlyveu4r8jgcnecxg,10,2,35000000.000000,2023-06-20 19:43:07,2023-09-28 08:44:19,2023-09-25 13:00:46,t,1,pool1w7dk7rn0cflzzfr4fqvjpapn0rkz5ksmerx5tgwpm2gtj2gly97,2022-11-01 18:31:32,374,1,drep_always_abstain,2025-02-09 20:30:18,2590949.401270,641,215,2582688.312971,2026-06-29 01:16:10,8261.088299
stake1u9q6nedpj7kt7pm9sxgtu4sq37jgxk0lyfvs4wvdvz0tm2czk759g,33,26,35000000.000000,2022-01-27 15:40:31,2025-02-16 12:10:11,2025-02-15 12:10:10,t,1,pool1vcwsfldh4gkzga4mc6p86y0vytkqfm9e2dy44hs00v34yeqnfaf,2022-03-21 17:07:35,329,1,drep_always_abstain,2025-02-09 19:20:34,4119518.018733,641,307,4109408.876707,2026-06-29 00:26:06,10109.142026
stake1u9qsg4p603amlkmrvnhzfme87gf82fj6f3asvxzhx6yk7ms6xjjfa,57,31,35000000.000000,2022-08-18 00:00:55,2023-11-27 12:00:55,2023-11-24 12:10:44,t,1,pool143d6z506u6yfufgzrtx8ywcwx3j4s29lxv5tdugcpcwk2l83gck,2022-07-26 23:23:41,355,1,drep_always_abstain,2025-02-09 21:14:44,3396735.182063,641,277,3385761.712073,2026-06-29 00:34:43,10973.469990
stake1u9xs3xep7gyjxpxrfv0el7xm2gctntk88ax789zcrlwue3c2xzevu,82,57,35000000.000000,2022-01-27 15:40:59,2023-10-16 12:01:02,2023-06-13 00:40:53,t,1,pool1sdare7xfd6tmak8ghek7kwgpgj6xzu0reppmw4t46rmcs0h6vr2,2022-03-21 17:43:08,329,1,drep_always_abstain,2025-02-09 20:52:12,3955199.599560,641,307,3946086.701120,2026-06-29 00:29:06,9112.898440
stake1ux24wray2ta04tp2n2lpwpy5psesalc0qv2lvyze3rqw9mqjp2ylt,93,63,35000000.000000,2022-01-27 15:40:59,2025-12-28 12:00:45,2025-12-27 12:01:40,t,1,pool1hyqdlnuff3rnvg9lx70ccca2xqxcezzz4998tp6chhxnx2st257,2022-03-21 17:44:46,329,1,drep_always_abstain,2025-02-09 22:01:21,3863671.437193,641,308,3852859.962396,2026-06-29 00:15:21,10811.474797
