endpoint,endpoint_kind,pools,stake_ada,delegators,tickers,pool_bech32s
dns:relay1.flairstaking.com,dns,2,560382,43,FLAIR FLR2,pool1lyvg6ukqpumsr6wz0jvh7xutcgdtcyyde4wkvptzyl8rql4n3c6 pool1w2s88xpylulw3l8naaql9wzxqwra06n8c2lwklmph25zjkvwuvj
dns:relaynode2.volcyada.com,dns,2,484836,94,VOLCY SILEM,pool1u0u2s080a5plun4acn6s70xa3q98ct7skt88l7w6nnwwyl9ecym pool1yze2j2m286u2evnsphkaz3uyx805wxrg9qqn9ftns43kypl45kq
dns:relaynode1.coffr.info,dns,2,429005,23,COFFR WOOK,pool1v5g4rmkk0394q6swgfusgzjjzrv9ajy8qntgpuumegka5xhpgam pool1dnszy9spu7m4u9s8jqh95myuqapujwcju593eqczgl56khllyuc
ipv4:185.243.112.79,ipv4,2,381103,1774,ISPO2,pool1cj8dxjjlyn9xmjavr98ytmvlpd4vwgqp36kq8rl6jjyt6k2adfh pool1fwh9zp2hw7ppkna86n7m7ycgz66dnkdhhyqqahhv362agxj2u7g
ipv4:185.243.113.18,ipv4,2,381103,1774,ISPO2,pool1cj8dxjjlyn9xmjavr98ytmvlpd4vwgqp36kq8rl6jjyt6k2adfh pool1fwh9zp2hw7ppkna86n7m7ycgz66dnkdhhyqqahhv362agxj2u7g
ipv4:136.243.102.243,ipv4,2,303103,7,LBP NOUSE,pool1hlu9mdmcf0m9mqkq7apxsyalhd2nr07rqyhh8mgra3wzkva2d3p pool1j0ys5378p896epefs0q2ehx3h9rrd4gupd33adkza7g3q02f6np
ipv4:3.216.77.109,ipv4,2,235182,17,BNP BNP,pool134d4ndkh0q43mykqh922k0khrrkm7rlpkj834ju6kwja6dmu2f6 pool1e96dkrs5msjuycwz4mf0kq6fytlz0x48mnrur5ggufqkzs2a4kp
dns:cardanorelay01.aensmart.com,dns,2,197903,15,,pool1u53apdhreh9fjmxtrctx3kezhjduc4m2f7cfd09yd7p6jkc6k2z pool16x6ckf653xdu6rdhmxvu3e50gldhzk6rrd9ds86ksu97jexw7m8
dns:cardanorelay02.aensmart.com,dns,2,197903,15,,pool1u53apdhreh9fjmxtrctx3kezhjduc4m2f7cfd09yd7p6jkc6k2z pool16x6ckf653xdu6rdhmxvu3e50gldhzk6rrd9ds86ksu97jexw7m8
dns:ding1.cr0ss0ver.com,dns,2,144827,131,one DUST,pool18qzks8vdf0yu0u5ccf8aaj35q6zfutdcfgrssuvdjmgtyykr922 pool1n8nq690antqxcekkekzk07yp7y7psmm3v6ad6tmkm4v3ulyhz0w
ipv4:3.228.183.84,ipv4,2,140102,19,BNP BNP,pool1lpw2wnj2vrc75fv7f4jnfzgkqvlrxlampz5nmduwve47xgnckns pool10x7rsal3ldumkycuc7f7rslx3vc5axhz5jzwngfcg7hd6t2p7sc
dns:relay-1.ada.nodeasy.com,dns,2,125515,33,NDE NDE,pool12g6gfm5c4q7rzwwxdmh0xdxk07tyvujp6d9tke2m46k7q7cz7p0 pool1kkwd6say8twq3z9e36v57adw02j2x52ascd6eumxy5zd66qm4fa
dns:relay.stake.army,dns,2,120536,72,AKLEI,pool1r7tn56lj5j7te7zyj3wvqn0wyw8tr3g96chw6lwnqxjmgggrfd8 pool1pzkgztz8y8tgd9tpfu7umep97x7m0c5ck0dpn2vqtf202fyhfv5
ipv4:3.231.62.160,ipv4,2,120413,26,BNP BNP,pool1lm89trd8cl36k8njlhgsemavry2jymnhddpvtk7fk7r7g4e3fep pool12xxugucen5pql0ay70uakgqjaxpwfj6c9py8euyu4q3p23s0fyg
ipv4:3.225.242.57,ipv4,2,85832,20,BNP BNP,pool1rpfj2y4vddj8azwu9977a63s2cjl374pep98l6dhuqh5u9jctj0 pool1t6tyc9menh5uax38j89jgdyj0maz6e4mgx90n7xkcl7mu8fzqxu
ipv4:70.35.207.62,ipv4,2,44145,35,PLUTS ORACL,pool1cyha5jsy6g06w699tw4awy2jw7gxj0azm38yzetr7zls7rkl0t0 pool1t74ckqauwmn9ef5ye0h7c5wsgfd36zx24ue9wvj4vj95cl54aff
ipv4:3.224.5.251,ipv4,2,31182,5,BIZ 4BIZ,pool128sj7hpet8874ycvxml85wlv9eyd8pehjhnj3clcvhrr5g5s9qj pool12rv575nj9cfvy0r4th7jtz5x3nt6waht0qe5fdr58ucx77tk7pu
ipv4:34.195.87.155,ipv4,2,20777,10,BNP BNP,pool1aq6sd3kr3cnjk995tfthhyf0suth3rm547kp6pv35z7wgqu6twn pool19mc6suzenqdvmq3ssf3nfzv4xva3wgl83z6syumccdppyar0vga
dns:44.194.169.48,dns,2,17116,9,eth2s,pool1g7757qwvwzpqn35xfxqmhmw3nz8xe8rcptuqqwkv3cfzk38gedd pool16l00309tdqza9606rltqtrqejx7tcr2swa86jrmz459txfnkgq7
dns:relay1.cardanokitty.com,dns,2,11862,11,キティ KITTY,pool1kzf7zw2y05e7lyd7ht0nluh39fzmurm2wuvshvut6l6twu0el44 pool15amxxauxh409wcuc87e0tusfzuka0wfvxhxmpt6vugqgsw6j4d6
ipv4:47.129.40.85,ipv4,2,9722,8,MOGA SORA,pool1ks49mpnl7mhh4eqa7ff3krhqa8nnx7gx04cawe46qnjeufawr5z pool1yrprrg6segrjprav2xjnvtgl57w6er3ttjskg70fjtwc524u0k4
dns:relay1.fujistakepool.com,dns,2,6137,8,富士山 FUJI,pool1jk9na2mu29wwap6pprs0c98j3rvh4jva95f5m3hxnwq86tk9c0l pool1hg8vu74hyaj5qm66ys83c0gmr44j66g2k8s9sns4htw27whsqwf
dns:node1.unitegrity.com,dns,2,1630,8,UNIT UNIF1,pool1qngadlcclnkqgdwd4l3vp5gmgdc7cpkfek76q7rzscqqk5ak9y8 pool16ga833sw8tzuvv83gq2gp6zyuwhj3lka4nevnauj5grpuq8y2al
dns:node2.unitegrity.com,dns,2,1630,8,UNIT UNIF1,pool1qngadlcclnkqgdwd4l3vp5gmgdc7cpkfek76q7rzscqqk5ak9y8 pool16ga833sw8tzuvv83gq2gp6zyuwhj3lka4nevnauj5grpuq8y2al
dns:node3.unitegrity.com,dns,2,1630,8,UNIT UNIF1,pool1qngadlcclnkqgdwd4l3vp5gmgdc7cpkfek76q7rzscqqk5ak9y8 pool16ga833sw8tzuvv83gq2gp6zyuwhj3lka4nevnauj5grpuq8y2al
ipv4:34.71.167.21,ipv4,2,954,2,,pool1pujegnn8qf7xux6tkx2mj2qdn9jf0y4z0t6nma97wdgqudlc9ww pool14gzj8a99u43j2gu3z0wcyedvdca27m2lx7msqxywl3lrcyrvmys
ipv4:173.249.16.18,ipv4,2,943,2,,pool15730lwmu7vrffkl40wtjrnctsfd840fl5jmuw230r0d65a74k5e pool1mtmjss36km0v4qzn4eqvv440ed9flwqtkp4g8lp0ueu8zy6hvpl
dns:relay.tigrpool.com,dns,2,636,5,,pool1jeu6mkn43sc8y0yf5jwtfy6g5yc7lmyt3psm2tlue7pfg8deygg pool1gpz97nhqges80ggnefeshg3n4grprrltdvzqr8sz5fvxg3lekqh
ipv4:23.251.157.123,ipv4,2,589,9,1PFP LGND,pool1efzvmtxl4n9z8ylegk9jhctclu44z7k0qg82mp2kp2ytqa9xgf0 pool138e249zh9l93azsf2pf7wyhxyayzcxdhsrg3vqpfx665c8xa348
ipv4:51.178.25.82,ipv4,2,498,2,,pool18e48wynvkevefs0c5yuh705u6tpy0m4xflg506kp0r6vga9gkmr pool1ajrl335z92udy65gxlgsrvthf9esfksp6m2yf3y7qcn7jqp0zsc
ipv4:34.66.92.8,ipv4,2,335,2,,pool1xcy8wtzrmzdhr2sqjjm8qe0hrxr4dc23zsv9mdfegahv5t0jud9 pool1jnesrcc408t0zd3zadkx2fs65ugppkvftcleld0tc0j2v7zsvej
ipv4:82.17.111.21,ipv4,2,301,1,,pool1zx293a3jpjh9sln53uhlc34ccnppl6sze22rrcmt04enzapl935 pool17yyawjkmefppu64v0xxqxecaa77ddgsdgxgmm06jdyxeslruzyc
dns:111.111.111.11,dns,2,203,1,GOOD SDG1,pool1h5xdez7j0ncewgxs4m8fykjt9jzuy86t8e0m7m7m2l79w4jzzk2 pool1t69ww3neaf5z5jy3a3fjuw2drz50sw593u6gp00kq5fqz3n58h4
dns:relay1.sudoinvestments.com,dns,2,202,4,TLB,pool1yw05sn4p9972p6lsdw9g4twvwxdf72rqtfuvwn0wp736vh4azfn pool10fsg5ykzcjuzq5fzm9vj6d3yd0jjqgg6qnza6u8wtq0677vam2t
dns:relay1.tlaib.com,dns,2,202,4,TLB,pool1yw05sn4p9972p6lsdw9g4twvwxdf72rqtfuvwn0wp736vh4azfn pool10fsg5ykzcjuzq5fzm9vj6d3yd0jjqgg6qnza6u8wtq0677vam2t
ipv4:35.221.177.159,ipv4,2,195,2,,pool1svzk9ckds6r83nvg2k7w9hszza2haqd9zu7fuyg37e8gg3dylrf pool1k0d5szkmzsw6035ytsm8dv75d4ewu5gkm7c7dhsjug9uvkaunz3
ipv4:35.197.80.103,ipv4,2,192,6,,pool1xt0z35f0ms6xt5r8swhtd2xcymqxvk42m8fk5q8fnw8hjhr6yax pool18nx24xhkcewezxvrjgdpt9pgt69pefr85m8qa8fdjd4m6p7egw9
ipv4:65.102.12.17,ipv4,2,62,4,,pool1u7s8etmnm0y0ktls7kkvx2apnep5ercy7wwyljgw407yjzjastq pool1p6hcxptwdpepslluq44shkzgk72k5gsszhhllykdcvts6xnrwvg
ipv4:65.102.12.18,ipv4,2,62,4,,pool1u7s8etmnm0y0ktls7kkvx2apnep5ercy7wwyljgw407yjzjastq pool1p6hcxptwdpepslluq44shkzgk72k5gsszhhllykdcvts6xnrwvg
ipv4:65.102.12.19,ipv4,2,62,4,,pool1u7s8etmnm0y0ktls7kkvx2apnep5ercy7wwyljgw407yjzjastq pool1p6hcxptwdpepslluq44shkzgk72k5gsszhhllykdcvts6xnrwvg
ipv4:18.222.182.192,ipv4,2,37,13,,pool1nnfwte5lhr8rxjye4a8m8krt5fsu6fs2g39g6ccq09nqqf8sekw pool1xm4nalvh3yd7pzczlr84w4jlzymwqrnshlpv80u8s6zex997kc6
dns:node.rhoenpool.org,dns,2,19,3,,pool1l54esv8h5xjry9ms3jq4mnf49vwt3yuxl5fdudp7jpdx2swuaah pool1dqq4ugkrkpwhray2z8jvk8nvnpnq3gm3g2stz4wmusap6tkuclw
ipv4:46.101.30.172,ipv4,2,5,2,,pool1pvxsyzqze90jyyqqewg5spkh6tst0cwyvtvh6qfsn6xx75p2vk9 pool1kcwfpv65agclgu9p6eetn6x4q0zexzgr5v2cl9255qlwjjqr56v
ipv4:64.225.6.128,ipv4,2,5,2,,pool1pvxsyzqze90jyyqqewg5spkh6tst0cwyvtvh6qfsn6xx75p2vk9 pool1kcwfpv65agclgu9p6eetn6x4q0zexzgr5v2cl9255qlwjjqr56v
dns:rn1.aussie-stakehouse.io,dns,2,4,1,,pool17dx6ld5544pngfc4w6ere708zmjga7wmykeelqhqt4tpkjcpup2 pool1gp4kj3w0txgxjme254pgyj5ysw7muxsumuefzc7uep9673nsrvc
dns:rn2.aussie-stakehouse.io,dns,2,4,1,,pool17dx6ld5544pngfc4w6ere708zmjga7wmykeelqhqt4tpkjcpup2 pool1gp4kj3w0txgxjme254pgyj5ysw7muxsumuefzc7uep9673nsrvc
ipv4:198.244.252.85,ipv4,2,0,0,,pool1pntqwmkc3yhpgw8q5280chej2dfwevasc88ql08qfvg6cny8s6l pool1q426xdlg94lcpgrnmfs8dkp9hu08my5rvw574mum96jhg8yhd5v
ipv4:51.81.245.32,ipv4,2,0,2,HOC,pool1adllnm43t3nuspvnr5r08jh6gpyvedu76hrhc6xymjzavd5d8f6 pool1x909haq22shn2479qtzkkr9ww2s9nr7v9xzyhxefg50yyt3lzfy
ipv4:54.221.108.140,ipv4,2,0,2,HOC,pool1adllnm43t3nuspvnr5r08jh6gpyvedu76hrhc6xymjzavd5d8f6 pool1x909haq22shn2479qtzkkr9ww2s9nr7v9xzyhxefg50yyt3lzfy
