endpoint,endpoint_kind,pools,stake_ada,delegators,tickers,pool_bech32s
dns:us-relay.hermes-stakepool.com,dns,2,30220642,7587,HRMS,pool16fyda57p3c8gp5r6gmcq5tvqsp6mnzwvkxswgznkuh8wztrp6vv pool1hcg8sa642l0xeygkzvpgn3sfj5s2yeuzpws7a0gypyy7grrjcje
ipv4:185.207.104.130,ipv4,2,29152209,69,BASHO RKD,pool1asfgkqtmjuusclgx72xpzvpw336gkulchtstsx9lsj9uqzjckv0 pool1rxgxstg6t7azlsrk4vuuwp0jgl9e776dg86zqzaa0qt6vz43n9r
ipv4:139.180.198.13,ipv4,2,28582877,459,NKR WWW,pool10ya6hxrssmyhl560gqyalhqxudkgfjdlc0e4krww6wweyaeajs8 pool1zc5l0d0j9d0969z7ssphjdq7rfexhnhrfdp2e88sv05ujlaxfk3
ipv4:207.148.77.122,ipv4,2,28582877,459,NKR WWW,pool10ya6hxrssmyhl560gqyalhqxudkgfjdlc0e4krww6wweyaeajs8 pool1zc5l0d0j9d0969z7ssphjdq7rfexhnhrfdp2e88sv05ujlaxfk3
dns:a-r1.elitestakepool.com,dns,2,27731579,2670,ELITE ELITE,pool1qwa8x4u4a2pff0xdv0haxpgk3tyrvl5adl2lpf3ztcftqruhea0 pool1k6altfangsst2mmxg8a9wvg3dppyszu8ckfzd3uv6azgw3z2txy
dns:a-r2.elitestakepool.com,dns,2,27731579,2670,ELITE ELITE,pool1qwa8x4u4a2pff0xdv0haxpgk3tyrvl5adl2lpf3ztcftqruhea0 pool1k6altfangsst2mmxg8a9wvg3dppyszu8ckfzd3uv6azgw3z2txy
dns:b-r3.elitestakepool.com,dns,2,27731579,2670,ELITE ELITE,pool1qwa8x4u4a2pff0xdv0haxpgk3tyrvl5adl2lpf3ztcftqruhea0 pool1k6altfangsst2mmxg8a9wvg3dppyszu8ckfzd3uv6azgw3z2txy
dns:b-r4.elitestakepool.com,dns,2,27731579,2670,ELITE ELITE,pool1qwa8x4u4a2pff0xdv0haxpgk3tyrvl5adl2lpf3ztcftqruhea0 pool1k6altfangsst2mmxg8a9wvg3dppyszu8ckfzd3uv6azgw3z2txy
dns:relay1.angelstakepool.net,dns,2,26533548,4215,ANGEL SION,pool1qqqyv9pn9typyqwcxqk5ewpxy5p27g5j2ms58hpp2c2kuzs5z77 pool1qqq9tqyj69j9kygpxza3h82ynh8d0xlueucnu2yqum8nse8hj7y
dns:relay2.angelstakepool.net,dns,2,26533548,4215,ANGEL SION,pool1qqqyv9pn9typyqwcxqk5ewpxy5p27g5j2ms58hpp2c2kuzs5z77 pool1qqq9tqyj69j9kygpxza3h82ynh8d0xlueucnu2yqum8nse8hj7y
dns:kyu-relay2.irota.xyz,dns,2,24030942,34,RANMA PONTA,pool1qvkdjemewy8phhrkdhscjcnh3947f5ae42rdfjkv6gkgkjtlfsg pool1hkr5zcthjvcn3ffncc4jqk5ctxxfrk37h7uddqnvxd4cu872nrt
dns:relay01.nekota.work,dns,2,23814065,255,NAP NAP2,pool126mkma8nv5axltmz7mmg8qz9e70nmhnf58hwx5772fhwgkhk6ag pool1y49e700dnx8lpvznmysgzw203mjq6l7um85ka4ys6x0zcwgs77w
dns:relay02.nekota.work,dns,2,23814065,255,NAP NAP2,pool126mkma8nv5axltmz7mmg8qz9e70nmhnf58hwx5772fhwgkhk6ag pool1y49e700dnx8lpvznmysgzw203mjq6l7um85ka4ys6x0zcwgs77w
dns:relay03.nekota.work,dns,2,23814065,255,NAP NAP2,pool126mkma8nv5axltmz7mmg8qz9e70nmhnf58hwx5772fhwgkhk6ag pool1y49e700dnx8lpvznmysgzw203mjq6l7um85ka4ys6x0zcwgs77w
