flow_level,leaf_utxos,qty_night,pct_of_supply
1327,1,69635.0,0.0003
1328,2,393553.319952,0.0016
1329,2,132489.3699,0.0006
1343,1,40.0,0.0
1348,1,109885.0,0.0005
1363,2,62119.9948,0.0003
1365,1,345.39,0.0
1366,1,47000.0,0.0002
1373,2,700.92324,0.0
1374,1,286.1064,0.0
1376,1,180.0,0.0
1393,1,40.0,0.0
1397,1,14321.971655,0.0001
1399,1,100.0,0.0
1413,1,1101.0,0.0
1416,1,39631.212,0.0002
1427,1,40.0,0.0
1444,1,40.0,0.0
1446,1,119.0608,0.0
1447,1,39.999997,0.0
1455,1,4617.0,0.0
1458,2,10869.229928,0.0
1459,1,412.7,0.0
1465,1,20000.0,0.0001
1466,2,1233.51,0.0
1469,1,195900.0,0.0008
1483,1,6973.4788,0.0
1490,1,3340.0,0.0
1492,2,100351.506346,0.0004
1499,1,250000.0,0.001
1503,1,76.5034,0.0
1505,1,40.0,0.0
1509,1,100.0,0.0
1522,1,20000.0,0.0001
1539,1,3015.47,0.0
1549,1,699959.77,0.0029
1555,1,20014.2457,0.0001
1561,1,318.760352,0.0
1565,1,499.86256,0.0
1566,1,40.0,0.0
1567,1,150000.0,0.0006
1568,1,444324.5804,0.0019
1575,1,5478.3961,0.0
1585,1,92611.0,0.0004
1588,1,564.609592,0.0
1595,1,9564.4779,0.0
1597,1,5487.573827,0.0
1600,1,10000.0,0.0
1602,1,48.0219,0.0
1604,1,84290.1876,0.0004
1605,1,802312.67888,0.0033
1615,2,186768.5462,0.0008
1623,1,514.118466,0.0
1626,1,40.0,0.0
1630,1,5600.431196,0.0
1637,1,1047.87436,0.0
1639,1,5909.8726,0.0
1640,2,557.27,0.0
1641,1,33087.9988,0.0001
1646,2,7013.74607,0.0
1650,1,304417.857922,0.0013
1661,1,1639.036,0.0
1666,1,20.0,0.0
1669,2,1073.403165,0.0
1675,1,2041.9764,0.0
1693,1,15.839692,0.0
1704,1,10525.7236,0.0
1714,1,54180.6451,0.0002
1718,1,40.0,0.0
1719,1,5716.274576,0.0
1724,1,53883.9,0.0002
1727,1,49980.0,0.0002
1731,1,4634.49,0.0
1762,1,23733.342147,0.0001
1767,1,50000.0,0.0002
1788,1,61635.0,0.0003
1789,1,56735.0,0.0002
1790,1,51035.0,0.0002
1792,1,3489.487,0.0
1793,1,419.48944,0.0
1796,1,6985.01,0.0
1798,2,1109.9551,0.0
1799,1,178.43,0.0
1800,1,0.481197,0.0
1807,1,2774.26126,0.0
1811,2,25537.2572,0.0001
1816,1,393.7539,0.0
1821,2,20754.18,0.0001
