artifact,bucket,rows
cross_entity_merges,cf+emurgo,88
cross_entity_merges,cf+emurgo+iog,105
cross_entity_merges,cf+iog,412
cross_entity_merges,emurgo+iog,22229
trace_utxos,0,3
trace_utxos,1,6
trace_utxos,2,12
trace_utxos,3,19
trace_utxos,4,28
trace_utxos,5,47
trace_utxos,6,91
trace_utxos,7,212
trace_utxos,8,547
trace_utxos,9,2066
trace_utxos,10,10646
trace_utxos,11,57890
trace_utxos,12,240284
trace_utxos,13,845120
trace_utxos,14,1680085
