fourth_first_spend_tx_hash,input_source_tx_hash,input_source_tx_out_index,input_value_lovelace,descendant_of_seed_id,emurgo_trace_depth,emurgo_path
c8596b9cd81f734f8129604ff86f23bd4a910465acb84ad9e9d1ac223ccb4a76,743fd0510c4527b4031504b9f3c1703606bfd5e63bed4d1bf857ceeefc4bac1b,0,1074165542657684,emurgo,2,242608fc18552a4ac83adabcef7155f3b909e83d469ce89735db8f11d3637e38 > 7eb47f8f9ffaaf98f30d8028c7e1d13a8efeebffb65d1f2d4be37ee523ceb9bf > 743fd0510c4527b4031504b9f3c1703606bfd5e63bed4d1bf857ceeefc4bac1b
c8596b9cd81f734f8129604ff86f23bd4a910465acb84ad9e9d1ac223ccb4a76,5ec95a53fa3bb7dc56864bb6e75f369f00aa20e8d8cdc3b66b2fb88ec1b225ef,0,781381495000000,,,
