snapshot_utc,trace_schema,cert_type,root_combo,epoch_no,cert_count,distinct_stake_addresses,distinct_targets
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+emurgo+iog,531,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+emurgo+iog,533,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+emurgo+iog,536,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+emurgo+iog,544,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+emurgo+iog,634,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+emurgo+iog,635,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,507,2,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,508,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,509,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,511,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,512,2,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,516,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,517,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,518,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,520,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,521,3,3,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,523,3,2,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,524,2,2,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,525,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,526,4,4,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,527,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,528,2,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,529,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,530,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,531,2,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,532,3,3,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,534,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,536,2,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,539,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,540,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,542,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,543,2,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,547,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,549,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,552,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,554,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,556,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,560,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,561,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,563,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,564,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,565,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,572,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,574,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,578,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,582,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,587,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,596,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,597,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,616,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,cf+iog,627,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,507,4,4,4
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,508,2,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,509,4,4,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,510,7,6,6
