tx_hash,block_time_utc,net_collateral_night
2e9981e2458ad2435e50a5c8d3fa75b8babe91ddacf6c9e07406bdc58643b530,2026-07-20 14:50:00,6763248.653052
367fb0ed2d181e0cd2ee4b1991473f31ea58eeb1762f37ffb4b7017f9cf84b5a,2026-07-20 14:52:04,17063248.653052
332b666f7bd8dfd5deb55dbf1fd710c4309c1bd418f47a868d3afd37a93a82bc,2026-07-20 14:53:50,17063248.653052
cf6dcbd2aa6f4a5b772687f87293c9af50196249e8d529072d4c5afdca9692b5,2026-07-20 16:13:57,17063248.653052
ed7b52ea5dd08880b31566bc4fdac9a30725ebf8b85f0ef5b71f35e778e390cf,2026-07-20 16:19:15,10320145.856857
