domain,pools,stake_ada,delegators,tickers
hermes-stakepool.com,2,29643787,7545,HRMS
nekota.work,2,28610814,277,NAP NAP2
gleeze.com,2,27289891,455,HODLR
angelstakepool.net,2,24821229,4163,ANGEL SION
irota.xyz,2,23908300,34,PONTA RANMA
planetstake.com,2,23522700,1374,STAKE
cardanoscan.io,2,17609173,911,CSN1 CSN2
iog.io,2,10960974,1154,IOG1 NIGHT
a421.de,2,10780295,844,LUKE WMOPS
stakewithnerd.com,2,10521708,2919,NERD NERD2
stakecardano.io,2,9287087,738,SCAR SCAR2
ddns.me,2,7798392,1116,LEAD ZENA
masterstake.com,2,6896168,1648,MASTR
kysenpool.io,2,5602361,2059,KYSN KYSN2
235.176,2,4634387,754,CHEAP GURU
smilespool.com,2,3512704,1218,AFCH1 SMILE
topopool.com,2,3497328,1023,TOPO⚡ WHITE
cardano.amsterdam,2,3454762,87,AMSNL MGATE
no-tax.biz,2,3317562,22,LILIE TAX
huskypool.com,2,2532641,1036,HUSKY
discovery-pool.com,2,2427097,548,DIVY GXY
crabdance.com,2,1957891,142,RADAR
twilightparadox.com,2,1794287,66,MANGO _Q_
arcadia-relays.com,2,1712395,182,ADAMS TESLA
poapool.com,2,1288165,688,AFCH2 POA
junostakepool.com,2,1089150,193,JUNO POEM
flairstaking.com,2,560382,43,FLAIR FLR2
indiastakepool.com,2,558432,7,INDIA
volcyada.com,2,485045,95,SILEM VOLCY
coffr.info,2,429298,23,COFFR WOOK
ngrok.io,2,311814,140,46S UPSTR
aensmart.com,2,197903,15,
cr0ss0ver.com,2,134130,130,DUST one
nodeasy.com,2,125515,33,NDE
stake.army,2,120536,72,AKLEI
215.60,2,94933,29,BLOKY REIT
eth7.net,2,20319,31,AMB
169.48,2,17116,9,eth2s
cardanokitty.com,2,11843,10,KITTY キティ
fujistakepool.com,2,6137,8,FUJI 富士山
dynamic-dns.net,2,1652,6,MSP
unitegrity.com,2,1630,8,UNIF1 UNIT
trex.cc,2,1216,4,
111.11,2,1151,2,GOOD SDG1
spaas.info,2,1062,64,
l3labs.org,2,735,23,
tigrpool.com,2,636,5,
sudoinvestments.com,2,202,4,TLB
tlaib.com,2,202,4,TLB
iuxta-casus.com,2,20,2,
rhoenpool.org,2,19,3,
aussie-stakehouse.io,2,4,1,
