address,has_script,qty_night,utxos,pct_of_supply
addr1qyygqeeund4he53cqhysdltuc0j6xgxlfu3hj98z4704jsakjp4htgx7ydh0h4ulzfdq6krx7vzm27av7z56fg3rv55qg5jcmq,false,257678870.4222,18,1.0737
addr1qxvfz5lm0ksz3q9a6uytz787zlr9zx8d0fwlhsgr2zrmx5x4qne3dqwqmnejaa55wzwvkamlux2w23xcumda5ne5t2fsy6dz9w,false,200102280.35,1,0.8338
addr1qxteuflv54vm08zfvl8679slst93mzh8h9sgrd3fzuxhh9q62pf32rz3qc6c2skpzcpwef6e7vhjjkft8xr9f40j3jcsz279v7,false,200000010.0,2,0.8333
addr1q8vu2rl9rcqpqmysujex3esjpsmu75hlj4939xuuxufkdrgglq62duenc0khqwkr4lhk6r0f8h4md652w8lcgktjztssnu35us,false,192600598.491058,1,0.8025
addr1qxlwvdzytxnt03n3l7v6a62wmckqjqauc8kh5ccammnjp5aw4ldu0gn4myyq45nt9uuxxyvxvm86y3gku8yjw44zjdyqq2da6e,false,182000000.0,1,0.7583
addr1q9lxym523pnns50dyymdv3n8vktyc0nkedr54c8d2prgxsumfyd8qtrg9yr4lqadjtczu6y94rtevjua36rv75v0qsnstezggc,false,163604110.221246,1,0.6817
addr1qxdfqunt6cjd03485aqpma6e065kvf2vuxznfu6ex0kjnclrzr27g03klu862usxqsru794d03gzkk8n86ta34n85z0s704vzm,false,160929859.84650403,8,0.6705
addr1q9pwdp20svjrexvvr9536yu978ucz97x5lqa4fyhrn6vqs54u7h70d5ljzmg6qjsa0q9xx2c7yuxmhkh587gkf53davqd2jqzy,false,158055187.54,1,0.6586
addr1z84q0denmyep98ph3tmzwsmw0j7zau9ljmsqx6a4rvaau66j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq777e2a,true,148548627.41793102,77,0.619
addr1qxl3mw38e2myu6wnt4xsqf6upazjcjhjx8dpudua3gktnec7hsmwxxz59tmk9hzle5qzg308xnuwryh34rfezc6x29xsu9h3ra,false,136683555.8162,64,0.5695
addr1q9uf4a8ly2p9xn4md4k9xmjg48zpzsy949kqxfemhp6xvxncnt607g5z2d8tkmtv2dhy32wyz9qgt2tvqvnnhwr5vcdq3fcp6a,false,135091835.0,4,0.5629
addr1vy26yjamt2hnamy7xqwwvepafhn62pmktyw30gal670slsc7rmelv,false,134565288.79995495,1859,0.5607
addr1q84lpwxcx0vv6fry642refasgtmd4mj8hqhf366ueyytcre3jl00xutghe28wd2cj7uvgvnm6vjdymp29xtn2yjxkm5qfgclle,false,124794411.0,1,0.52
addr1q8fg0jzp8ypn7l8fmunhu04pqag65847pqy6u8pnyq6f0xxjslyyzwgr8a7wnhe80cl2zp634g0tuzqf4cwrxgp5j7vqvl3c3y,false,100000100.0,2,0.4167
