source_tip_block,source_tip_epoch,source_tip_time_utc,funder_stake_address,source_type,source,transaction_count,associated_lovelace,first_event_utc,last_event_utc,attribution_note
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1uymtqhnfxsa4ln56a2q6260esylf6jpg0xtjkpl03l4gnxsdyhrju,1,170376728811,2023-08-04 13:07:32,2023-08-04 13:07:32,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u84q6zq7juc74swm8e9f4py5qdsnrwujrpqa4hyq4vmhxkcegaq5t,1,165210470034,2023-08-03 21:29:40,2023-08-03 21:29:40,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1uxcp6md6n00qzce8str43rh6ckft9pudmk6hgu76y0dgzyqurl9vq,1,163586631193,2023-08-04 13:30:12,2023-08-04 13:30:12,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u8m5ganwyq8fjedsq279h957qph898lf07vjnqvjp9qs9squjer5r,1,161234745921,2023-08-03 23:08:34,2023-08-03 23:08:34,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1ux6ws32rfgd3xtcx84vyqcjumstc83xnwqh2l9vnwawmg8sq7t6lf,1,160760668815,2023-08-03 23:22:41,2023-08-03 23:22:41,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1ux98hm2qee3sz40qv0tpma7kdmuvmn5tklufrzqe8rlzrwq8y8t45,4,160283296558,2023-12-15 21:21:30,2024-01-06 01:41:47,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u9sglh8ge6dlcwngnv3gxy62yue7g4x0h5au5l0m4k6f4qsm5v0r4,1,159343332278,2023-08-03 22:50:06,2023-08-03 22:50:06,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1uyqcjqx930epzye95xv565qrtzuejrv6tz7egah0wuf3hmstj8psx,1,155629787672,2023-08-03 21:04:22,2023-08-03 21:04:22,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u9544fx0hgkg982zz98t4849rhm35v3g22j5dsl4agxt9xganchyy,1,152355949550,2023-08-03 23:51:34,2023-08-03 23:51:34,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u9w8rehajc59c8pnasp0nyduvgludlhnray8v40rc0m3gesz3jmcg,1,146771324101,2023-08-04 13:23:44,2023-08-04 13:23:44,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u9wz870uaqlf3x9w0pv988y8fq5sweg0splr6c74rcgkk2sup7st8,1,141149428747,2023-08-03 23:36:10,2023-08-03 23:36:10,full target deposit associated with each distinct input identifier
