fe_control_consistency,custody_pattern,stake_addresses,current_ada
MEDIUM,CERT_ACTIVE_PRINCIPAL_STATIC,20,700000009.585440
MEDIUM,MIXED,9,315000004.792720
MEDIUM,ACTIVE_MANAGED,10,293922191.510480
MEDIUM,NEVER_SPENT_COLD,3,105000000.000000
INDETERMINATE,MIXED,9,121.047680
INDETERMINATE,CERT_ACTIVE_PRINCIPAL_STATIC,28,84.237625
INDETERMINATE,ACTIVE_MANAGED,1,14.814174
INDETERMINATE,DORMANT_2Y_PLUS,1,3.012722
