tx_hash,block_time_utc,net_bridge_night,provider_net_sent_night
d9097c601f465afc1e381118013e729e71eca6f912747d32d0bc307c68886869,2025-12-06 16:59:20,120000000.000000,-120000000.000000
fcfc8f4483f4026c88321911d948afe1d3fef24573394407ea3644430baaabb7,2025-12-07 20:59:11,240000000.000000,-240000000.000000
6e37f0e85998b03a243634d2eb53253abb2c2bf258ac15073f9b6bbd40268b2d,2025-12-08 21:34:40,10000000.000000,-10000000.000000
fd4ef2fc7f05298055578ef958eede752c4983fa57808ff115f668c75aed0082,2025-12-18 13:35:39,5010021.000000,-5010021.000000
646f60c9eb68fd3561b3fb55a3664fd815c4f05476b03770dae4fcc0bf6cba01,2026-02-04 16:01:03,3301546.791672,0.000000
d8453c3cfaf3fa42be744926d02769fd9804ae394f2e8781549d35de06cafae6,2026-03-04 15:19:28,120251297.300000,-120251297.300000
ac0fb2241dfc7ad1e745f846bf0ebd56ce56f292d0ae871eefcf4b242b52329a,2026-03-12 13:58:46,62500000.000000,-62500000.000000
3242868cdc9ccd9475dc15ebe0de32ef6bb324c14c1d3ef9eef704e304563cf5,2026-03-19 10:09:45,130200000.000000,-130200000.000000
