stake_address,first_round,withdrawal_txs
stake1uxvv6chm2fh5vg9jygkvq2la6zkgamp29c5dqvg2e37dg8cpyjlvf,1,10
stake1uxw8tfdg5r5d88y2ljcfdm4spfqw94qg3qfs4ha3rm9uynqplzn6s,1,302
stake1uxwu054js5dmp3kma74kxmzejmy7mfg3wvtx8jpuh299ufg34uk4s,1,308
stake1uxxxfrc883r6yw8va9gsc0607lggzu4skaynq2jl4nlsgccmj22tv,1,293
stake1uxxyytc3fcuevdm7ewx7eql2qf0mcrddfut5y8h05lzmwvs3x5apg,1,307
stake1uxzrxhldtl5ad5g5au27mze4e3mjud9s2g9cc8dlqyjyh8qmsxr5p,1,307
stake1uy0hctwkd0kqxry2xk95gvkednek4n0zvfy4cpxwhh875xqkdsp36,1,291
stake1uy0zkxq405sfdd63ruvcmfrm7gn0fht9my5muwyn7dselcgvsqynq,1,221
stake1uy3t60lcq7sqq3mnahr4kxcf75j2770uv22kj6xr8pslatgfg5rk5,1,299
stake1uy4x68z8qlstyy92rdruvwyhhfayk3h7tc08cvmkj58xhjcpkhu9z,1,18
stake1uy4y62nqezk7ckmslyuw532nmm60tz68jq7qnj2f2hqfyzq0n39cn,1,265
stake1uy6ntuel4dghfatzg6f4tnyspe9tyk9swunrl4jnze2r9rg73pvlj,1,292
stake1uycpuensksew5q847a3yng79tkjlx0ql5s37s4jt0ny7k7cfeywsz,1,75
stake1uyct93wdmd8c074tnuqkafm5060m57pw0t6ywpyr6cc0raqddd5ql,1,215
stake1uyd3ccjka7d7ykkyglmqr4j7zjudz08f7vun6pegp33ffxgvg2jyu,1,265
stake1uyfxqvu90hd9nlmsc709aklwfequf96juhqljukxr7jzpaqwsh4lp,1,10
stake1uyghq5fwp0l2rkpcxkwmgyt5776sv5hvs25wt4jm7hrr2jg9t0kfp,1,111
stake1uyh9hw3lll8gr6k9um9a24a8pcyz6yj4aq9ld9u5l43q96sdg2ay9,1,111
stake1uyhv70lq3rrmt4xxn3z9z05ddjhnfz2mk2ekr89paeqxxecylupfp,1,16
stake1uyk4dvkyx9avg2wrtqk9qylyuwkfe34tqxzawc54cn66j5qeejr6r,1,260
stake1uym6v8wuws4g8sk336k5h7dwujl9llsfpfgt6hp42sj332safd758,1,309
stake1uynsac74dcvw940vk86wgkzxu80emld2tmwlwut470h5t5q026fhw,1,11
stake1uypu4ykcpjpgtnewvyvzl9sfg47zqc7cywkrq8aqeuxnaec8y9qar,1,113
stake1uystea99325jdg0qmzdgwhn5s54rv2ugtdf5lq362mwq9tqu7ncdm,1,225
stake1uyuznshe6qagevyg85sm2yjelad4wdhjagxap5rvalynyzgmjmhud,1,16
stake1uyv7u4rpvcv5vpv03ugf6rr8ydt3qyjy682xfkzs4snyqss7zayjf,1,307
stake1uyyl9720cgufzexqxr4qlcwe9ymd7gu2ls3c9dxryrlp7ugajlkc7,1,19
stake1uyz07qlqhrj56new4k89cvwfz8t4g2g07t7wky20rafn56sjt693u,1,250
stake1uyzawt8zx5wzt6el0v2pjy5ftlrdfze0vw5tn4g5a9zg3ssd3acff,1,139
stake1u8frdfav0ynjfn5c2q4wk54awjx8wk0kc4tf4hzkk2mvcpstqeh6g,2,12
stake1u8qg0xv5mgwfgqwjs3ks3r8gmj2rzjurq0ydwu3g2tw380g3j6rsl,2,19
stake1u8t84tvkjz9cq53c5p3lthamzwac9vkc7u0g7vjml20gd9cdg2ekl,2,16
stake1u8w45rk62ctwng3sk7566za5csw904t2fayjld4xpt0h7kceqcyzr,2,12
stake1u8wstmnw7dyrynp5yw9pxzjtnmr8uq57rk5d6uua5d2l0scjyd5x7,2,13
stake1u8wzsfttqkylfm6xkhnxnlpcvesx2kg65v56dhkmdm90t9gfmkr8c,2,18
stake1u8y5wvzl70uhf4saelfd2e2qr4t5flg9z9feu4l8ujrmy0qhcdr2l,2,11
stake1u94xkexfh54yvzk26r3fxy5xv5ltq9fsavgvmjx54jzddush3v83v,2,16
stake1u98tlzzv8tmurf5xypzpj0a50mchwjjxs4ptr5pwnqjhzzgw8faqn,2,13
stake1u9afphw0vh5htqhx9ch76v2nfvk25ux5cz7cpl3evcte9ugugwlww,2,12
stake1u9egh4w3lup0cjgmujussljs35x9a2recqfgvevzs6rezpcndwdsu,2,15
stake1u9f3d7ksntme28nle2c2p2zpq9334vtnyv8wld4vmtn0kaspdmx74,2,19
stake1u9f7jzpwqrgwxxc9ma8amjzvu26n6c8xcxcxyn9h3jqy2vgpq8zqs,2,17
stake1u9m9gm5lc4259n9sruc8d3cgam9k0f0krdylqs0p0dntzzss7e5gv,2,19
stake1u9q3sfzwq4x542spmf3r2kswhrzdryfjy3htkjevnq9tgqsh6gc6r,2,15
stake1u9rh6ucawdqddla96snwjt4nc6r8l7m4g6f4a0s2g6rqqqq6208ql,2,17
stake1u9rt2uymmhgf80w4zwgcla5e69rpz6xq4j4nrrw5gx4yn4c88ycez,2,14
stake1ux2jhmwtf0uw7nrwc0t3e2en88whjtjcn525ffzqknevskcye2v5p,2,19
stake1ux96wfszeylp92v8gvc9n94htwnm3y3yxrgys7v54e0paxc952eum,2,13
stake1uxsylehgc33v3rpd2xajkmnsqa0cragt25c4x62qkmucjpqyak2jp,2,11
stake1uxyu2ypd7rptwlneec2dv686szan2zlptsmq63a5safq6ssptphea,2,12
stake1uy2g37qx3haqw9lj9a7z6wds5ff6n3qfen6d0tghy0fwyrszng987,2,13
stake1uy2umq66zp8cqdlluc6fzd5uc6ly7vaqyq887s99q07aarq9yyu83,2,18
stake1uy4kksweys6elwzl40r2m2ceqxu36n786myn4rc9evd4f3qm6nfzx,2,15
stake1uyjl0zthm0vpy3ga89ugdfjhq77fe0yw8pqhwztvtrg709cwea58h,2,12
stake1uym3nh503jku544302937xnnw50744aj63r6vm0rdq2gaycttg7uf,2,19
