create_tx,create_time_utc,index,ada,night,funded_by_provider,spend_tx,spend_time_utc,spent_into_binance_custody
2681126f8f868070a3beae3b5d911b54352cd1293aaf4dc779452424005ccb8f,2026-03-11 12:41:25,0,1.038710,95.000000,t,3797d956cda2125af2b0f00bb4befff479d7639bac9ae7b680c868d875ad2f9b,2026-03-11 14:00:37,t
474ab42c50b7417a2ff01c8533128884723f47646273e518ce9f597fda8c73d2,2026-03-11 13:07:40,0,1.055950,239999905.000000,t,39ce497b76422e358b3cc32858916df18c0ef8ee0e388f6c2c70caefc4deb48d,2026-03-11 14:30:22,t
