label,role,cip129_id,epoch_no,epoch_start_utc,voting_lovelace,voting_ada
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,541,2025-02-18 21:44:55+00,23188106230966,23188106.230966
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,542,2025-02-23 21:45:05+00,23204686648150,23204686.648150
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,543,2025-02-28 21:45:04+00,23223385051210,23223385.051210
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,544,2025-03-05 21:45:25+00,23228192070921,23228192.070921
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,545,2025-03-10 21:45:09+00,23191042196409,23191042.196409
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,546,2025-03-15 21:44:57+00,23256197492524,23256197.492524
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,547,2025-03-20 21:44:57+00,23267811659491,23267811.659491
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,548,2025-03-25 21:44:58+00,23300114325120,23300114.325120
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,549,2025-03-30 21:44:59+00,23427708377696,23427708.377696
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,550,2025-04-04 21:44:51+00,23401001857158,23401001.857158
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,551,2025-04-09 21:45:18+00,23444087914848,23444087.914848
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,552,2025-04-14 21:45:00+00,23471155860364,23471155.860364
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,553,2025-04-19 21:45:24+00,23493972882326,23493972.882326
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,554,2025-04-24 21:45:15+00,23909097642079,23909097.642079
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,555,2025-04-29 21:45:29+00,24095484869789,24095484.869789
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,556,2025-05-04 21:45:10+00,24101783562066,24101783.562066
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,557,2025-05-09 21:44:57+00,24123920119687,24123920.119687
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,558,2025-05-14 21:45:10+00,24083677090032,24083677.090032
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,559,2025-05-19 21:45:07+00,24118700390755,24118700.390755
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,560,2025-05-24 21:45:03+00,24176643229728,24176643.229728
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,561,2025-05-29 21:45:01+00,24090276930754,24090276.930754
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,562,2025-06-03 21:44:52+00,29097535995868,29097535.995868
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,563,2025-06-08 21:45:28+00,29135613446785,29135613.446785
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,564,2025-06-13 21:45:32+00,29152684757383,29152684.757383
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,565,2025-06-18 21:45:01+00,29162993538385,29162993.538385
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,566,2025-06-23 21:45:23+00,29174124048017,29174124.048017
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,567,2025-06-28 21:45:04+00,29155312532840,29155312.532840
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,568,2025-07-03 21:45:09+00,29295626097448,29295626.097448
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,569,2025-07-08 21:45:05+00,29304681884671,29304681.884671
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,570,2025-07-13 21:45:10+00,29305071307822,29305071.307822
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,571,2025-07-18 21:45:23+00,29314567315320,29314567.315320
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,572,2025-07-23 21:45:06+00,29380627540317,29380627.540317
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,573,2025-07-28 21:45:06+00,29290919244615,29290919.244615
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,574,2025-08-02 21:46:03+00,29301493275066,29301493.275066
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,575,2025-08-07 21:44:51+00,29332140288662,29332140.288662
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,576,2025-08-12 21:45:04+00,29422938961913,29422938.961913
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,577,2025-08-17 21:45:08+00,29260199290629,29260199.290629
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,578,2025-08-22 21:45:01+00,24205026424995,24205026.424995
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,579,2025-08-27 21:44:51+00,24216340281542,24216340.281542
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,580,2025-09-01 21:44:58+00,24221305881880,24221305.881880
