snapshot_utc,trace_schema,root_combo,latest_pool_id_bech32,ticker_name,pool_name,dedup_current_utxos,distinct_stake_addresses,dedup_current_lovelace,dedup_current_ada,min_trace_depth,latest_pool_active_epoch
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1zdtqtsu3l3ytatzyvrq48d4mpnll9c5evwfq6taxkmn9vvdz839,RANKT,RANKT,10,2,1107070392114,1107070.392114,13,335
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool16agnvfan65ypnswgg6rml52lqtcqe5guxltexkn82sqgj2crqtx,SPIRE,Spire Staking | 💎 Delegate to SPIR2,526,345,1103077212400,1103077.2124,11,622
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool189lsf6c2upyhmrzddyvyfjxxkqnte9pw8aqx7f4cuf85sjxlm02,CRDN2,"CARDANIANS.io #3",222,106,1102987004516,1102987.004516,11,577
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool173mzegwuu0pjcrt60ekelzj5haqr8r5e4e0n45qh9jdz7xm5kh8,ROCKY,Rocky Mountain Pool,419,280,1074245317875,1074245.317875,10,624
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1pp7tn2w6ken4rpfcjwcdup3g4m5gcdhc9lgvrm3mnxz5stmrhq2,CROW,Crowdano Stakepool,134,64,1066000272049,1066000.272049,9,621
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1sjwdmeme5zs042jzwmdvxshhv27kepxke0mr02f2yzacsyd4wtu,CCV,(Crypto Capital Venture),312,195,1050160142695,1050160.142695,10,590
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1lu2luhmkyayq9njh848kfknn6evwzmn3gzsxar7z3sttg7grxcm,,,6,4,1003923217971,1003923.217971,13,619
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1vev8z03vh7jwx3mfrgzrt9fltt97nupaxv8ffj4r5r8mgwts5ze,ADAOZ,ADA Australia,122,70,997902108537,997902.108537,11,628
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1q0jmr57udknpq8k5qtgt5vgdjq9pzrzevf68966wxn8zgz7qy3w,EPOCH,EPOCH Stake Pool,28,18,979959925570,979959.92557,11,599
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool17ahr5ygy48vpdfnatqn2z4wfu2te4quapk2yx3k50ce6kd7feg0,ST3AK,Steak.and.ADA,240,133,955893456533,955893.456533,10,626
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool195gdnmj6smzuakm4etxsxw3fgh8asqc4awtcskpyfnkpcvh2v8t,SUNNY,Sunshine Stake Pool,232,149,917071953504,917071.953504,11,541
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,emurgo+iog,pool16agnvfan65ypnswgg6rml52lqtcqe5guxltexkn82sqgj2crqtx,SPIRE,Spire Staking | 💎 Delegate to SPIR2,33,27,910637533611,910637.533611,11,487
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool12wpfng6cu7dz38yduaul3ngfm44xhv5xmech68m5fwe4wu77udd,APEX,Apex Stake Pool,3,3,906840022239,906840.022239,13,587
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool13annzt9hjfc822f0ejvxjf7fsmxd6cc28whpk5kagec6ggfmm7u,STSH3,"Stake Shark #3",877,723,904521472089,904521.472089,11,500
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool16kus5xvdysgmtjp0hhlwt72tsm0yn2zcn0a8wg9emc6c75lxvmc,EDEN,Garden Pool,352,241,898488868521,898488.868521,7,564
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,NORTH,"#1 Nordic Pool",259,159,893520137937,893520.137937,10,606
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1nwt6mxqus3tpzrshky5h5kykz9rjpxmacrvw0z6yak9uk5p5045,DNEWS,DigitalAssetNews Two,220,154,887699226045,887699.226045,11,630
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1qa6lqyu67ghpa0evxfu9nzqkj3h82qpfku82ec79zdwru4pd25m,CNODE,Cardanode: 0.00% Fee & 100% Rewards Guaranteed,276,173,875249769398,875249.769398,10,568
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1lfvzgsrghmugvpym868mh29288ez0nncz680mamzjygu2jpuwcd,NORTH,"#3 Nordic Pool",127,55,829821678193,829821.678193,11,602
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1zmfpd5r5vfwjmwm4cgy53exe58h7plnecny3t4948yw7zumzp4c,ALPS,ALPS - The Alpine Stake Pool,488,320,825470740291,825470.740291,11,626
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1ue4ngerz28nkpstsr5p53qvl5ulq3jtmllj4my0d0n28yyrn4l4,STP,StakePools Cardano Pool,2,1,808956702647,808956.702647,14,250
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1wt0pf4u2xktp0f7apveu242w6nkm4ltk3m8g039lvuhwq4zdtf3,ECO,ECO Pool,132,83,796137818332,796137.818332,11,589
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1qqqqqdk4zhsjuxxd8jyvwncf5eucfskz0xjjj64fdmlgj735lr9,ATADA,ATADA Stakepool in Austria,145,92,795569803215,795569.803215,11,629
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool18vej0s9gska8c847aj95g9v24duuxg2g63d5cuqngnxew643jw9,ADV2,ADAvault Stake Pool 2,213,143,781884917721,781884.917721,11,630
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool16ajaae2n5lsyr4f9k9uz5y8tpf0996tw640dzu7chwp2wdrnz6a,BLADE,BLADE Pool,139,68,777900877368,777900.877368,12,621
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool10quq4wlghwrvmhdzc7geq22pyhzegccwj56ax2g8hx0cjfahufs,SPS2,StakePool Service No.2,34,22,768591604072,768591.604072,12,389
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1qqqqpanw9zc0rzh0yp247nzf2s35uvnsm7aaesfl2nnejaev0uc,TITAN,TITANstaking,180,90,764795289768,764795.289768,11,606
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,cf,pool1qkd5y9azf2xx0gmrj68lrkcn59ldjmnpzd3y2rq3tvjp2vqljan,AMOON,ADA Moon Stake Pool,4,1,753023980979,753023.980979,14,334
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1uhy50u9y76nd6z2xmzt3mta0yc7g3gdssef8lheyyg7zzymgzm8,NUFIA,Nu.Fi & AdaLite A,224,140,748701102880,748701.10288,10,547
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1nudasuv0lljpe0tswcverqvlh0v4226vgnpsuxn0e9nkvnvcvne,STI,stakit.io Pool by TOBG,369,208,715021624164,715021.624164,11,618
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1v5u6wzakuc25q3zpx04t8gjz3rgu60wuxkv2mh5nga23xjkc86s,MOKSH,Moksh Stake Pool,33,22,704014681694,704014.681694,12,596
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1ra2su7cvnmr83pu9nvvz4a9carsgc9egc3e5fuk7h9pycyp5ela,LBF4,Ledger by Figment 4,25,16,697163936123,697163.936123,13,630
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1fm57fshvdlrgs5pnpk78tnxha0me28equyy96vj0xm85gy5chv0,BANDA,banderini,100,66,695928115756,695928.115756,11,535
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1m4enp55hp80tf6xl7k6f6593wnyu3pr83xfvef9x3ktdw9m0em5,AZUR2,AzureADA2,177,106,689711582421,689711.582421,11,462
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,CH1,Cardano Suisse,114,64,683946683021,683946.683021,11,620
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool14fjmlppz76667ws3jl5luejf2wgztuhpsftulvh3ucc65anqgve,XSP2,X-StakePool2,14,8,673070233203,673070.233203,10,339
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1vquhv3kh6xkklckaenl8alyuhfsld57ef5573aqauueyqacx4ak,KIWI,KIWI by 🥝Kiwipool Staking,354,193,662596045177,662596.045177,10,542
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool16f95up5u5lyqne5mnxmlhe0rgdgmya27mph288r6gw0ukegjffa,MARAC,Maracuja-Pool,19,11,655800902713,655800.902713,13,584
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1lhz4gsk5ezdl5s4mv2kxgrkhzzhad6me2v0xmwuyt845vensdlc,SECUR,TWO SecureStaking.io,110,76,650572908527,650572.908527,11,622
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1w7c2j0px43jmudhf48ezp7dy8j7904c9l3wc7809lhh2z026hch,STAT,AdaStat Pool,192,108,649345986108,649345.986108,12,630
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1ekcsyzwexl7p2kwxxh34hy28l6772vrmff7jwmuxsa6u6fzty9z,ADALO,ADALovelacePool,256,164,646847733746,646847.733746,10,633
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool14zdcvdec8qmqzsat5wg3a2h9f0u5yzrgjew534z8u3gs5durnjz,PAUL,Cardano With Paul 2 ☘️,430,224,645609412425,645609.412425,9,578
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool15zrkyr0f80hxlt4scv72tej8l8zwrcphmrega9wutqchjekceal,ZETE,Zetetic,170,107,637189492841,637189.492841,10,621
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,emurgo,pool1ekcsyzwexl7p2kwxxh34hy28l6772vrmff7jwmuxsa6u6fzty9z,ADALO,ADALovelacePool,19,6,630564945637,630564.945637,12,584
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1p8fhygz7ga9hghhwmkr64p3ftn77lxu9nyddvsqszattcdyajc0,SUNNY,"Sunshine Stake Pool #2",102,62,629546880376,629546.880376,12,421
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1hntu7agmt8u5j9c20ejen7dvq0jfkvkpnul3mrdd8tppqvwfvt2,BLOOM,Bloom Two,134,85,622832010871,622832.010871,11,634
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1u7mqtde27swkarngjsn5mmw3sy20zavlafgqkmg8qv2n2nwga0l,CFLOW,CashFlow,85,46,617124710959,617124.710959,11,627
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1uk2f28awascuhrhuwrp7x6y87x8ch33vwx8jtmrysp7l5ngq78j,POWER,POWER Stake Pool 1,198,133,614202519146,614202.519146,10,536
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,emurgo,pool1lhz4gsk5ezdl5s4mv2kxgrkhzzhad6me2v0xmwuyt845vensdlc,SECUR,TWO SecureStaking.io,6,2,609004794723,609004.794723,13,524
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1lskcfz80qg2kr2p6776kl9emjn8ulkqsqse7um7skz4y2lwa0cu,CERO,Cero Stake Pool,95,68,601411297831,601411.297831,11,590
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool17rjst78s67lvellg8s586rf076jxa3wnsdz730f4xk2zwuhrtej,NORTH,"#2 Nordic Pool",234,127,593298215883,593298.215883,11,625
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,Garden Pool Two,208,122,585749046576,585749.046576,10,536
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1ctzja2cdwyeqnvehmrlclc5wrn9w9acwklk3acn73jrx56d66vs,OCEA2,ADA Ocean Two,69,40,578484229926,578484.229926,12,527
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1rct5guwnp6nk9f4ldn5tr3s42j0nm5rxeayv56lxua5ck47ex39,FIMI,Tai Chinh - Tam An,72,37,570388313735,570388.313735,11,623
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1jeu74g86ys4fekhykqcww99kdsq3nlym8a6kfw8s8ff3vskad70,KAIZN,Kaizen Crypto Stake Pool,229,127,566499667639,566499.667639,10,609
