root_seed_id,pool_id_bech32,latest_distinct_stake_addresses_with_current_value,current_lovelace,current_ada
cf,pool189lsf6c2upyhmrzddyvyfjxxkqnte9pw8aqx7f4cuf85sjxlm02,4,1578017607165,1578017.607165
cf,pool18wvrpuz4uftxs83gf39ynh7cy3nds8q0hs7u7yuelu4e78w237s,1,1522798410138,1522798.410138
cf,pool1qzlw7z5mutmd39ldyjnp8n650weqe55z5p8dl3fagac3ge0nx8l,7,1487759208540,1487759.208540
cf,pool1evg78egp8gfqae273kvmmdee2dnt6vty60dpwdespg4hujznh3a,3,1484596991549,1484596.991549
cf,pool19lz8nyz0jjpdrdtnjaar4untk4th23gpg5s7aegn7480zff4vgq,2,1394684532862,1394684.532862
cf,pool1jeu74g86ys4fekhykqcww99kdsq3nlym8a6kfw8s8ff3vskad70,13,1394238488555,1394238.488555
cf,pool1chtam5czevzk2ttctvltpsc8twlwf6zzyh7kj3jkz72gks975sn,3,1358469570050,1358469.570050
cf,pool1k633phcvz2hjhj45evwwau4w576jpq83acg5h84w23jauqu56cw,4,1357863843398,1357863.843398
cf,pool16ajaae2n5lsyr4f9k9uz5y8tpf0996tw640dzu7chwp2wdrnz6a,4,1329501161590,1329501.161590
cf,pool13rx88l4d5gpw69e586tfcdeuzmx6f2ys95pqjnlnmlzrs739h0y,3,1226320807829,1226320.807829
cf,pool1lvsa8e0dw6z8g2fkw7prnfa7627wuy5jjexaadck6w5sxw5xkvm,9,1198446985310,1198446.985310
cf,pool1jufp9k6gmyusvch65ra8yk2s7wu6cx5fsgnltl83p93ejg6h3xg,1,1148794458081,1148794.458081
cf,pool1pmeetaqhlsdc5yj8snp8j46hprs9mzghxcl63vch95trz3xwpln,2,1088218525388,1088218.525388
cf,pool1ynxx88cq0y8vg8yrq3jrw6epm7rq9a8859v34sq9lzjy7ztg90u,19,1061629707561,1061629.707561
cf,pool1t9m69j5thv2ke9jt9hhsgxlag44z7erp2s2ukcpruwhwqarc9np,2,1048901750575,1048901.750575
cf,pool1q8a7ym63gurl72wr32je0tv0lp4p2uh8vzzc6rn6un7ryslvqmu,1,1048579831007,1048579.831007
cf,pool1t94qdjkuu5qmtpxuljrnsvjdctgf0sr6vfu34eqseztajsxhsw8,1,1043079878864,1043079.878864
cf,pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,8,1034081354995,1034081.354995
cf,pool1a3kdettzvvlqvkl9m9hwe63ggeq5fgvz0twqew5c62dzx99vsed,3,1022452490968,1022452.490968
cf,pool1k6altfangsst2mmxg8a9wvg3dppyszu8ckfzd3uv6azgw3z2txy,1,1009235497887,1009235.497887
cf,pool1jhzf2mm6zdlhl6w89uhgx8nq8p6ykcc86qq58vjy0ejyxrrksfj,5,1004654360549,1004654.360549
cf,pool1nhlv5z2lsptzgcp9ype0mppc7zyndm66ypm4sw5hy27ewdchqx0,5,1001108507766,1001108.507766
cf,pool1xxvcz8dem4xufzn74v2y7fs709mfw3tpq963thzg5en5jrkv67a,2,1000004750496,1000004.750496
cf,pool155p7g23vdme50kp5lfqylfx5h7ndldyz2mletvr8fqucqzyrk44,1,1000000000000,1000000.000000
