min_depth,current_utxos,current_ada
4,1,1.00000000000000000000
6,1,1.00000000000000000000
7,11,175909.214675000000
8,4,706.8653640000000000
9,26,172769.722835000000
10,249,906827.293472000000
11,1279,6411313.337788000000
12,5710,48693887.039050000000
13,21450,58987420.192384000000
14,46472,378716729.41602800
