merge_tx_hash,epoch_no,block_no,block_time_utc,root_combo,root_count,traced_input_rows,traced_input_lovelace,min_input_depth,max_input_depth
fa7367ce11142577f4691174b428c7152200e7de6260b4d99f60d704b3104d0e,25,560430,2018-01-31 15:39:11,emurgo+fourth_entry_781m,2,2,1997599050650,7,7
37f24c58eeb47a32a3c837102420648bc19084b9b3d113befdade45a0f26dd34,25,561184,2018-01-31 19:50:31,emurgo+fourth_entry_781m,2,2,1995599108510,8,8
8a84998ce4f838b5bdd0678bb453391cd2e363708809778289a25b385458ac85,26,565779,2018-02-01 21:22:11,emurgo+fourth_entry_781m,2,2,1987366866372,9,9
e439e0c93a1de134eb36ed83fc27d11c4c5f3b759eb0e3bfddd9e3c995e5276e,27,584882,2018-02-06 07:30:11,emurgo+fourth_entry_781m,2,2,8231899998,9,9
99b67516ac08fafb16f08cfcf5d79d07ef044a37213ae64b396b132be13e58a4,27,587217,2018-02-06 20:28:31,emurgo+fourth_entry_781m,2,2,109367518393874,7,7
853b34fcf5641dd423fc1efe12d58891be07f69ed9ee6336433fcd1811cdda6f,27,587225,2018-02-06 20:31:11,emurgo+fourth_entry_781m,2,2,109347518051382,8,8
6d84a502f8b388c705c04897ea1416bf80a26db796374065620b0c4f5bc140ee,27,587241,2018-02-06 20:36:31,emurgo+fourth_entry_781m,2,2,108547517708890,9,9
58b70d4b7a89bf11c38b8d32b420711ab3379ce1694ced77eb0fc218e2872d5a,27,597285,2018-02-09 04:24:31,emurgo+fourth_entry_781m,2,2,7589331657508,6,6
0f8800cf2a081be90c920536dab892d3e2eff1a9337c1e00c6529add69543e0a,28,607443,2018-02-11 12:50:51,emurgo+fourth_entry_781m,2,2,16666664000000,4,4
126ec471a5eac59b0ba344b6a56088fc2404adc6c2e90a0130310bd722de624f,28,614925,2018-02-13 06:24:51,emurgo+fourth_entry_781m,2,2,3003103945400,9,9
e095650a64acd3a11c0fab74b4c249ee5fd48b83be1e544e3c6008eca7cf9b36,28,616433,2018-02-13 14:47:31,emurgo+fourth_entry_781m,2,4,1200000000000,5,7
4d67df9c2c036d763df240ea2f9b53f3c2d0f39e5227ac1867386f2eaeaa91f7,28,616497,2018-02-13 15:08:51,emurgo+fourth_entry_781m,2,2,1374999625692,6,6
1cdd893112f5f57d6a78b92abd6256be839bd6014a6d28bed395fc25b7daa74d,28,617981,2018-02-13 23:23:31,emurgo+fourth_entry_781m,2,2,1164399283200,7,7
703100738a622f9b62ba978389c014caa306ad3d6b3f706f197eace7916feed6,28,619940,2018-02-14 10:16:31,emurgo+fourth_entry_781m,2,2,964398940708,8,8
31e28d72827ec3d6806eaa1871f9ae464d5c7c3ea1aaffce5b1ac325dcc4e905,29,638018,2018-02-18 14:42:31,emurgo+fourth_entry_781m,2,2,8555932000000,3,3
c1e69ec8a63bc0ace41da86d90e17c45554f1c78032082d27b2795dfbc69d1e3,29,638027,2018-02-18 14:45:31,emurgo+fourth_entry_781m,2,2,1136600,4,4
3c98acfbfc617ebf59e3f1d8f1b90b4ca0be11b50c2aacd53dfc4972d13546eb,31,689404,2018-03-02 12:11:51,emurgo+fourth_entry_781m,2,4,160000014979998,4,5
0e11c048a3e910c697e92e1f33b1c211e369e24acf1cfc3faab0ee21c7174464,31,689409,2018-03-02 12:13:31,emurgo+fourth_entry_781m,2,2,12000000000000,5,5
0b319f30d8c41e9fd34a8998f32cd257c1f856f127406b7c91899d78e72070b6,31,689422,2018-03-02 12:17:51,emurgo+fourth_entry_781m,2,2,11999330860126,6,6
359608f67f399b8484a0732e3dd141b4a68065b417465a123126061926d2c8ef,31,689441,2018-03-02 12:24:11,emurgo+fourth_entry_781m,2,2,11998853056432,7,7
a8ea263ce6a24f75b870dcc9e35ebb1950d596b1120fb021cdda027a671ddb47,31,689449,2018-03-02 12:26:51,emurgo+fourth_entry_781m,2,2,11998562714292,8,8
c50a6b48591c5e7b0fcc6a42f69ffaf6843d2259f57deb13d9c8ba50612fb1d6,31,689456,2018-03-02 12:29:11,emurgo+fourth_entry_781m,2,2,11998262372152,9,9
9ebb99554275980299b03da7d18b02c737a89a4204db47bffdfae7b5791ec2c5,31,689460,2018-03-02 12:30:31,emurgo+fourth_entry_781m,2,4,777461554,7,9
a69ba97935b805a2e4d6aec383d5d65c90282754f3251f136c90960f456741fb,31,689496,2018-03-02 12:42:31,emurgo+fourth_entry_781m,2,2,290000000,8,8
