cluster,recipient_role,ada,time_utc,tx,source_omnibus
old_fee_sponsored,operational treasury (first funding),129.20,2025-07-30 15:53:29,24a1930c6f99a8a7dd08e94ad546d0828ac79ab220e8f8f0f9758427eed7241e,addr1vx7j284mqe59w2mka36gf5xq0hvu8ms2989553fk5qh3prcapfpj3
new_william_direct,william-qa (first-ever inflow),3.50,2026-06-22 17:34:04,5f1c9e58b25ebf88798c7c8b7a0bbf3eb3c02140f150d0301b3f503c1ed7a62e,addr1vx7j284mqe59w2mka36gf5xq0hvu8ms2989553fk5qh3prcapfpj3
