hop,destination,enterprise_only,txs,total_ada
1,addr1vy6jx9pplune3c0te4tva9sdl6tpae5dy492y0apw0x66gsn740gf,t,2,1170775.212763
1,DdzFFzCqrhsnfp4ikZndgVnS46P7oin2vY5vM7uwqNMY3G5kSC3NEjmSTVaau4HipTc2frntqUZqTjouNRFfr8j38rqWxirKnTtBqzbh,t,8,1152251.100000
1,addr1v9lendytst27cpcrht4w57fvytx4eq5tfua8aps05vz7tyg3r3ev3,t,1,1105301.268642
1,addr1v9xhzs3wfglha049pammce977z6kvvya5qnwcx0husuk6xshu826k,t,1,1090843.415496
1,stake1u82k3t706l77fncvq2fn49specvp2q74dvlf7jkdur8wkwqf9u75v,f,2,1046759.376339
1,addr1vxjsphers4fpq2vh0udrzlx0smt8yrzpt6n6897kdl0q0ycnryxtf,t,1,1016008.262486
1,stake1u9m8u3ffrgf95u3g2ts3p7z6cmu53j96qeygea2d7uvz6yg7ldm8p,f,1,999969.819979
1,addr1v96uruh83prh8p97mu6sgr2hqvspsjncl3z4pzhslm84wscec07xt,t,1,931417.043482
1,addr1vxy9ag8nc823k0l760ku8vsks835mg67ggwhfsdp60mcc6qpjh6nh,t,1,931068.585553
1,addr1vxs7vl5jtpgapdhqlkwvp94yythf2vahdc3wpm0ayc3fcega0a4x7,t,1,931068.585553
1,addr1v8wj5p3h0ykjdnljcykxyg43r0wxz4ud0pf8a7g6qv0gmgs0xdxm6,t,1,914170.715123
1,addr1v829lmpl02phgmkt8p20neply4t0nwp0v8gxu5wpnzzvssqanr8hm,t,3,896504.459937
1,addr1vx3ysxp5pcljxq0jzcyf5ey2tqm92tlqrkppy978hd3e67smlye8l,t,1,830507.462275
1,DdzFFzCqrht3Gmi2RUHN8f728jPQCmpRnMibYjnQc6yp1gcbvENcEdG4kYqSbS9sQs5k9A2wmueUFm75eqhuN9DH88X4WFPZ6iGuR9Rj,t,6,828724.719874
1,stake1uy0zkxq405sfdd63ruvcmfrm7gn0fht9my5muwyn7dselcgvsqynq,f,1,782725.777018
1,addr1v99sgxhuz3m788cnq8ctcw409alrvw0dqqugy6jzwuda8ycp0hs4u,t,1,660223.856353
1,addr1v8lm07yhemdx6e8wp04g48gvuekv4a79x7p8yetkst088lcahsjxh,t,1,651915.147460
1,addr1v9vllawe5j85r9a6mx2vm79at8zrl8c6dqs7qs9fvgkwufc8z5h0d,t,1,651624.222888
1,addr1v90d2qf0v874vdh5mn6gcls450e9l0a0lnem4w4fm8cgcsgt6ygv9,t,1,618004.561117
1,DdzFFzCqrhsqKhoiZ3Xz2LoKpj8idvnxp4yn5kGheJKnNV3vRyuTasNubsR23oCcV5ZGQRU58FYqpPVSEvj2ierUBYNUifG8WLfebgnA,t,2,613282.639958
1,DdzFFzCqrht4AGyMQYosUtQzNNGdEqmN1vaV8Jm2jFEkbBrPZVw7PikpGpdQJNcBHj2NtFc1rgZ4x25fPEVxUbkyTxncVC4P4vYQFQtV,t,1,598951.819979
1,stake1ux24wray2ta04tp2n2lpwpy5psesalc0qv2lvyze3rqw9mqjp2ylt,f,2,595810.898377
1,addr1vxtmfg4x5jp3pe6dnys29l2phxr6qhvl3ryzmra0r8x92tcuak87f,t,1,594243.291186
1,stake1uycma904el6899l0jeqasttsxdqf0zxptl3tkyshfpylxhqk0mf36,f,1,590001.976058
1,stake1uyg58xvhn7pmal7k0ml8d45jnvc30dla44r5lpsfv2z5r0gr93jsa,f,1,564308.819979
1,addr1vxpkhjptu6zk3phtqgc6skwzyg80w2nyt9hryc6d87t0yngex02cc,t,1,554937.503917
1,addr1v9rnwlx7q4y0r8ef7h6ek8qp4keuuqh8drhttfkptr4vtssfgam3l,t,1,545217.713621
1,stake1uyr5350dfv7vmt7zaszcjw94smurkgy38llumya0wufgudslnha9t,f,1,539999.819979
1,stake1u8l5a3p8lku6s39eqzwtavasj9lhmjp6wspdesqud44ttaqr4jdkq,f,1,501782.000000
1,stake1uxfx3dfqhs5u6x67ykenp2k2radu3tp37j9y7s8p95pf6rslpacpn,f,1,499999.819979
1,stake1u9w0syrmgll8gwg86wchp7vvdfem45w8hx6c5lalkjjgv0qc5e9ju,f,1,499999.819979
1,DdzFFzCqrhstvpmi9sY98KekyFgJBFA1ddRRMmVxpLSyArxMmFrPmLgtr2JbcLRNHMVPJcn6gSJCFwHBBxVwezV8t82uCmP1Dna1sfwo,t,5,493459.099895
1,addr1vyvumhr57gvmkk5st7p3ujlazacmxt8hv78j0pj8lh6gq5qfeexjh,t,1,490417.532012
1,DdzFFzCqrhsyRqsGUzp5uEANkjN294rfCkuLSmBAABX8uVf6jjMPRPEgnA7wTw9PUzCuvokHma9hqrRTjsoX7P9Bf7bxKmaYrWopw9Ey,t,2,466345.639958
1,addr1vxny5zhaerwzjumh4a094lxrn7h276d9vj8l0d0gzxscm2qytefk5,t,1,449383.857733
1,addr1vx9pxvq7q7gjlputskayvpa0r6ye3vcq0hpam35fc3v9dvs966w5e,t,3,440848.100000
1,addr1v8m6py73y76n9tyactudu8w7pjh2flpjwlcjecje6mazh0cqxus4n,t,4,408886.279916
1,DdzFFzCqrht5J3LVR1WYDsUvxVqa8dvkKLnUwLejYEZLDrGS1boxzXDarWssRmS6771KaatiUJrYD7AMEbcqxPgD2spwPnPCinhNWjj2,t,1,404123.097332
1,stake1uxny3gcykgt5qxsyuwvw48exx56wf8rnhhdk7tjqplqkwfqvng56a,f,1,400000.000000
1,addr1vyjm7x8eh6apn50pqz7lsvdq289m427vk0g5mgnj8aar9lc430ch2,t,5,388013.099895
1,addr1v87s0zpd6f3wvlkg5uwc8tyt0xa25kzw5wy08403t4552cgsdwt4s,t,1,385357.960998
1,stake1uy6ntuel4dghfatzg6f4tnyspe9tyk9swunrl4jnze2r9rg73pvlj,f,1,383797.870169
1,addr1v80xf7597uqf0s5r74vvvlt5uspus2gzsddah5tmn4yj55gnkyzv9,t,1,358876.400000
1,stake1u8fjlrychu852t3cy90h6wyt6wlsld46nr0k4eavjezz8mgxyxwdd,f,1,356799.819979
1,addr1v93sezjgfs0kds2up27elfs084hksf3fdev4l54k2y2g6xgp8xh4t,t,1,350757.402880
1,addr1v85cz5m6n8la3wp7xl9hhjpy64nzuy0h423v7spmccs2ygceawd5n,t,4,349999.279916
1,stake1uxw8tfdg5r5d88y2ljcfdm4spfqw94qg3qfs4ha3rm9uynqplzn6s,f,1,349448.658327
