root_seed_id,drep_id_bech32,latest_distinct_stake_addresses_with_current_value,current_lovelace,current_ada
cf,drep14pjm8ytt682wkp4jcegdj2yerkcy9a20xevvp7udlcd0ggjxdud,2,1998000000,1998.000000
cf,drep1e7uj4v5klc5vgllc637a92v4wupq6h5qc55zelk2zmjcuhqgfn4,1,1965169283,1965.169283
cf,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,1,999000000,999.000000
cf,drep1lx4gzl5xvmdrthnkrtc4zxdadhwsyz6rz6r80me047t0seant4v,1,860237900,860.237900
cf,drep1smycdt70dg58adcxm7t9gyhznay3hkc48hznr5sss6dr72duwlz,1,846106125,846.106125
cf,drep1cm6mupj0lszffgnfe3t0we7r7c9kwc6lxd4ad7dstf6gggtdqc3,1,805971547,805.971547
cf,drep1m6h3hjxvheyxwfwfu0zwlaxew6h0cgr2g2vz7vdeway0s40hn29,1,499000000,499.000000
cf,drep1ypft5p9fdetpr2zy7zww9j3nku6px06cwkstzqh75sk5vn6t4pa,1,386000000,386.000000
cf,drep109rd2sz08kvw089d4hw7zy2ygjs575rwh429ntn37fx5v3pwhtl,1,158754857,158.754857
cf,drep1m7rzzk4ftvd02w872genpy6kzeyplhdyjeaw9kq3yhmzxtwnfu0,1,24400000,24.400000
cf,drep1nz5796lkhg02luejzc3aec3pdv0tz0s0tg94npxxck7qwayutfs,1,9653598,9.653598
cf,drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,1,9000000,9.000000
emurgo,drep_always_abstain,560,29027454388596,29027454.388596
emurgo,drep1sy4x93yl9c6q59ewmhxpkumkjnlz8th4wfetddj8lzryvsu7hqk,4,14071104729986,14071104.729986
emurgo,drep1hvlx2cdu7ql8238dwhrjrncm43q3sl5hlmcmp24p0rcnzcwzcyd,1,6743389271705,6743389.271705
emurgo,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,5,5070582088107,5070582.088107
emurgo,drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,7,3746842895353,3746842.895353
emurgo,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,82,3065840190700,3065840.190700
emurgo,drep1nsrvsnf88cchsc4dzh7kvyn2xqvxn5f7hhenlt8d88gexd2e44q,1,2379472698487,2379472.698487
emurgo,drep1c59ehxlwkrsulmzhxpx86gr5d4vl9vl8rwa6s3l53du7yeus3y6,2,2072097040085,2072097.040085
emurgo,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,13,1910074454064,1910074.454064
emurgo,drep1npqc9m60dg9a27e852jn8wse9h3l975qsgwgh22mmh2eqzrlsfc,3,1810478769248,1810478.769248
emurgo,drep120m237kstm7pzywv5nwtjm8gj8dl55j9nupwlkapz77mgv7zu7l,4,1805279537871,1805279.537871
emurgo,drep1qz8frp3eq58v3dcguhv0753yt9gf3g50plrxw8rxu2f2krf2p5d,8,1752629673089,1752629.673089
emurgo,drep1zekyxrq5auz5c8gf0p6zehtmfnl7s9q4uqq8m4wkvm4e764u3yw,3,1458383500400,1458383.500400
emurgo,drep1mkmnzmtlflcadyyy7g6ju3sn9ppcrut5wn73x00mfwmw642g5qy,5,1372561523365,1372561.523365
emurgo,drep1at8ej9hllmfjms7c5j3xm579qrn7xcn95avesf4s2za22ukhurv,1,1370342472562,1370342.472562
