bridge_tx_out_id,created_in_tx,created_value_lovelace,spent_in_tx,spent_time_utc
5497972,a9af4adba1feb3cf84d41c0ed6d8084ae57d0991e14ffcddbd1fa49f6249de7b,10000000000000,963c761a2e798bfe2e35bf7d3bb888c1c178fb8407b9e431b93bcddbd7fe83d0,2020-07-31 00:29:11+00
5550334,37600a6ffb718e609db73d508c048027ce9f1e0549c65450ab35588da46e6be9,10000000000000,024ae3eaedfd98e5fa61b2650eab0ef1f40190da600a5cd8b2184a60856e8737,2020-12-11 03:41:45+00
5678309,8d782da14a4b797a753bf276ae0f8f2616f27bb3faed72c741e34c81c13fc7c0,10000000000000,26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,2020-10-03 11:10:43+00
7061516,a20ca4ba7bd46739e8f8ff8c1e94b583cf4751a311fcf9f157318933c522ba3d,20000000000000,988b65ca092d5d4254ce4313d593aafdd0bab57a59ac9059332e74087ea08858,2020-12-21 07:24:26+00
