tx_hash,epoch_no,slot_no,block_time_utc,fee,tx_size_bytes,input_count,output_count,total_input_lovelace,total_output_lovelace
197f9d27e49345cc085c9a2951d96c77f57f1cd82a71c095b7b7a3b36e74855d,196,4244441,2020-06-02 09:58:31,286077,771,15,2,10158134166,10157848089
34147ef46fd105ed39e3be63ac194e79622fb1bf9ea6e50313a0c3e0e6fd20c3,239,17929987,2021-01-01 10:17:58,258957,2350,58,2,58356376784163,58356376525206
571f776c0698c576ddecae145f97e7f284b82ebea70fbc924fa4e2a4a6258020,250,22691617,2021-02-25 12:58:28,3128548,14291,384,3,50244639391729,50244636263181
