entity,ticker_name,pool_name,pool_id_hex,total_delegators
IOG,IOGP,Input Output Global (IOHK) - Private,214c95e2b803e0cc31e89357c84d9ff8d14650737b55541c75df9738,1
IOG,IOGP,Input Output Global (IOHK) - Private,223bb62965fb9f1b5f060e7d41c9b509ff39c757e1a2dce511b8f119,1
IOG,IOGP,Input Output Global (IOHK) - Private,28eb94ea6f359d10b04be39b5a936310ec4f907dfcd341f1b3c7af36,1
IOG,IOGP,Input Output Global (IOHK) - Private,35119f1ed0d4b0f91e704b88005ecae58dfb305e11bfb2f168b6aafa,5
IOG,IOGP,Input Output Global (IOHK) - Private,3baad1072772ec6516184faa0dc2e34d0e647b4fde0dca07d07f446e,1
IOG,IOGP,Input Output Global (IOHK) - Private,3ebd062968c015896c970220966736dc09415a1f6e8a2ba07fb7f9cb,2
IOG,IOGP,Input Output Global (IOHK) - Private,4045672633587d62688c258870681cab49c0d09a6542614e9a271678,139
IOG,IOGP,Input Output Global (IOHK) - Private,46179fe1365f666b813271cec904ac7f49cdb75f1c47989c32746cc6,1
IOG,IOGP,Input Output Global (IOHK) - Private,465facf0ff6365a976c671c5c74a2432c3bce6c791c6870130bcbcc4,1
IOG,IOGP,Input Output Global (IOHK) - Private,503fa739c7ef4fc84ca7e8bf617b4d55d665ecb0777ec2770af0fe0d,2
IOG,IOGP,Input Output Global (IOHK) - Private,548091bafc62a537f09b76f8d537514068d1c9e74c93d1acad3203c5,1
IOG,IOGP,Input Output Global (IOHK) - Private,5cba23f74af5636a2c4d69fe46be084abf862ecf2ca022e56cec0ea1,1
IOG,IOGP,Input Output Global (IOHK) - Private,5d048776c64ec06473dfd5136ad3918a47f00d8883053f373b691f99,1
IOG,IOGP,Input Output Global (IOHK) - Private,61500eea75ceebdf93d97296365d03eaef5d8e012ac98515ffd44f36,2
IOG,IOGP,Input Output Global (IOHK) - Private,61fe899e9b4b24fbde1f4c84ae3e7c5d63dbdafc15d38dd3b934ad97,2
IOG,IOGP,Input Output Global (IOHK) - Private,73eced00bb1f21584f54ba04db293bb4a3e05f18d71080a9e7d8f5f5,1
IOG,IOGP,Input Output Global (IOHK) - Private,786cbd8d5a485835fbd2f6e9bc5c1f5bf72ded2c5f87c6372eb603d8,1
IOG,IOGP,Input Output Global (IOHK) - Private,80903e036a6fef6bd017f0d2b51cc22a2c6968624cf10e03898b371f,2
IOG,IOGP,Input Output Global (IOHK) - Private,80cea8788c73a04d01e8cb33d70d1f59e10896578245e6bc35ed09ab,1
IOG,IOGP,Input Output Global (IOHK) - Private,93e512ad4d4eec9fa66c1e60d81d9f4ddc8f500ee27a5a72949ba3ed,2
IOG,IOGP,Input Output Global (IOHK) - Private,9e734b6c2263c0917bfc550e9c949f41afa3fe000377243bd29df399,132
IOG,IOGP,Input Output Global (IOHK) - Private,a532904ca60e13e88437b58e7c6ff66b8d5e7ec8d3f4b9e4be7820ec,136
IOG,IOGP,Input Output Global (IOHK) - Private,a9fb2641de1177743ab158188da46c52ba266f513da76022e0654be3,2
IOG,IOGP,Input Output Global (IOHK) - Private,b05eeffac69bc4ba197bfb7ca814e366b320f12cfc4a0b2b57296608,1
IOG,IOGP,Input Output Global (IOHK) - Private,b61cab024af033e9ae022a6ec2308c0a7c11e3eec5240ae1cf011b7f,1
IOG,IOGP,Input Output Global (IOHK) - Private,ba4d2838d574c29db7add69f7608d5b4e574c55c7211a72213004a73,1
IOG,IOGP,Input Output Global (IOHK) - Private,bd384c4b9e9d03c34d58b26c11769478d3a95aab70f594bef0d992bf,2
IOG,IOGP,Input Output Global (IOHK) - Private,bf7cf0300e9ee6e0f7d9a7a842ad04357dd728a36585e8ee69aa8547,1
IOG,IOGP,Input Output Global (IOHK) - Private,c18f395d8e8d5d9012dfed12289e685c5a3ab5ff5b1f018240e9f881,7
IOG,IOGP,Input Output Global (IOHK) - Private,c9d5e490f94b7d328bb86da7758d53a0c1b1929c0be9b0201095b7b1,1
IOG,IOGP,Input Output Global (IOHK) - Private,d574cff47d83db9fc97702d3f2b42d728d09f7c52fdf6e909c2b2b5c,2
IOG,IOGP,Input Output Global (IOHK) - Private,f2930e8988d0861b4bd83badf807df1ce84349971f2b99b5ac626643,4
IOG,IOHK,International Organization of Hare Krishnas,2b830258888a09e846b63474c642ad4e18aecd08dafb1f2a4d653e80,208
IOG,IOHK,IOHK - Insect Of Heaven King,891ff3dedf783219ab9d0ded166fdc7c597e18501c7d9e5f68482340,8
