feeder_address,untagged_creator_count,total_feeder_ada,first_creator_epoch,last_creator_epoch,exchange_entities,exchange_likelihoods,exchange_categories
Ae2tdPwUPEZDjV7k4J66j1AcQEEZ3omsHkBZ2VQcKCZjj2qPsmosa6VwwFp,2,7000.000000,245,246,,,
Ae2tdPwUPEZHW6yjcdt5vUpyaGbDrQGaRbrT5iEooKW5kdxi6iAAQ9FeBqG,2,7000.000000,225,244,,,
Ae2tdPwUPEZFfwwpDy1bz6equSG3jR26EBkBWtZeuHQn8jsiGdLL94tmmUK,2,6987.149747,242,244,,,
Ae2tdPwUPEZ5gdsU1uqCBA58NLhriqrk2LRtDXPLtiJ57rhRbogeqX7KVmR,2,6489.835027,244,246,,,
Ae2tdPwUPEZKfHTLcxxHQ8aE3SVVamMsSWiu8A4RmTRXYP7SPzh3cjsN4ub,2,6304.600000,237,242,,,
Ae2tdPwUPEZ8FefsBh1Vb4yExUDCnKWycmDjyFY5LCqq9jKpuVhxBHEaHJW,2,5036.153227,233,245,,,
Ae2tdPwUPEZJSXBg3eVwXt1jZB1ZQwWBo1S2kwGo94NSRDNZaKhK9EwAALz,2,2749.633122,242,244,IOG,NOT_EXCHANGE,BYRON_DORMANT
Ae2tdPwUPEZ9xDJdjSMU9pZHVYBgqpGCrKnEBGLZvsAr8UD8KhXhN7eYsHY,2,2407.217704,238,242,,,
Ae2tdPwUPEZL7GoLu9ymycpV4GxzpiVWTiJZndgfy3QFFLvaG225iou8xJg,2,2379.507700,244,244,,,
Ae2tdPwUPEZMeLjGTgXfPms2MT79B5JaAj84FuGPLf5TUEPcutQJntq4fcH,2,2166.248907,237,246,,,
Ae2tdPwUPEZ6ComzbXvAdRh7VJSK9EZS3dwvbvgfWVgjVq7HXoJPBQmw2dY,2,2073.400000,244,248,,,
Ae2tdPwUPEZEPD69kzYXm7Hz9k3N6m5rr626i3gsqTZc4B8pMTyzofgxp2c,2,1800.000000,240,242,,,
Ae2tdPwUPEYypmqQPDfKzJNmiB6cG582QdY4Lwk5Yp8vF3ZfGishxqPbq8v,2,1657.737133,238,245,,,
Ae2tdPwUPEZ7XQHqbQFq6zwnjZc2JhJn9Wzp9XN6R3gwtMi9FuvkscWUofR,2,1459.292586,242,245,,,
Ae2tdPwUPEZ16zs2qY1rwwkZNygTCg4sbKyRaZx98RqQqYx7VCaABA3JbjK,2,1385.334803,244,248,,,
Ae2tdPwUPEZFTEZiHftR94BDfW8tqmvA6GbuScVm7KyxWRLcaw12rip7nWW,2,1187.200000,244,248,,,
Ae2tdPwUPEZL7uFBx2Rgj5SGUtUdCFjK2iF1DnhfNg3EUdRUvkHsJPMSVj2,2,1132.000000,242,246,,,
Ae2tdPwUPEZ52JmMhE9Fwn1w4PxqqhykTqSM1RrMUifnRe1Snq7agcj9px1,2,1017.257271,244,244,,,
Ae2tdPwUPEZ2de5TL9zM1ogh3YjyQ7zEoGx8ktWDdPDncaNwVs96terJPfK,2,828.942600,244,247,,,
Ae2tdPwUPEYwwnWxYsxiSLXwEXhrf6DDeU7ss9pMZ3tqWZScVULT3fMdESN,2,790.701593,245,246,,,
Ae2tdPwUPEZMK5PB55ExwQTzmkTzocmfhidYUGdCg6RDpgrvbZFqCvHaBut,2,731.591747,248,249,,,
Ae2tdPwUPEZ41mEi21N6b1eVmV3KqEyqipPAHRms22NY7LnPT8G7v4geSgj,2,676.143000,243,244,,,
Ae2tdPwUPEZLuZeXPkrhE4sjtazzHqNYSpDgkRUp9YCcJFVm7fYUGTUkyoh,2,630.000000,242,244,,,
Ae2tdPwUPEZGe1ovpQkMqMxpBSvGFF125YfAUWfEqWhjYncYqy5sCRhcDJo,2,584.505699,243,244,,,
Ae2tdPwUPEYzCkEyDSHet35jsfDHmgmp5DAekoeAx65DF7RJZ6jZr6nCBov,2,516.766258,244,247,,,
Ae2tdPwUPEZAQXr9oBMhBrff8nLnsP5hui2fAXoQmnGsTzdbaWEhjBBwrc8,2,460.500801,248,248,,,
Ae2tdPwUPEZ7YkdCAuvwLD3zrTPPHfgzdeJAgqLvcf3r3WMFh72jSa88tYL,2,433.952353,233,244,,,
Ae2tdPwUPEZ8bHzt6PVftfdyzgsaTRvESfcx2qvi9tUGAZvkCiybtkTspqN,2,402.000000,247,249,,,
Ae2tdPwUPEZL8pdPcJuNczxW9SwG74Cv8QCFwMQGNHJno2fWCmDpQ9Hg31f,2,390.000000,234,242,,,
Ae2tdPwUPEYw9TR6damVbriMCvYZuh854U5xcFzuPHfHnr4X9WuaumBCmH6,2,337.240490,247,248,,,
Ae2tdPwUPEZ9JC2tcDbbUSwtWXFYXVgjdNRj37CuVVeGgFLWNB9oWjpSg3Y,2,309.753000,226,245,,,
Ae2tdPwUPEYxfjwuriLUTuDpu1Bswe8jMRGgZSCEnUNqnHfmhB32h4JDzK2,2,301.799200,243,245,,,
