frontier_kind\tfrontier\tfrontier_ada\tspend_tx_hash\tepoch_no\tblock_time\tfrontier_input_count\tfrontier_input_lovelace\tdest_index\tdest_type\tdest_address\tdest_stake_address\tdest_lovelace\tcurrent_pool\tcurrent_drep
stake\tstake1u80fnwl4jf822fvqn9p3cum5ncl6lxph0wtdrgc08mw078ct3ysht\t15361881.0\t059f96e9a44f84e5a84b60646b987ea920d917dd84bcbbfe858073374d5bf438\t587\t2025-10-11 03:09:58\t1\t7382079\t0\texternal_stake\taddr1qy368s4j70l8swse5gcekntmr8y8hcvewrtcnahed9yytp04f698znlccggmgzpmw64x34e72uc4zjef5rmelnvgh83qdku6ul\tstake1u865azn3fluvyyd5pqahd2ng6ul9wv23fv56paulekytncspcfdwe\t1000000000000\tpool1qqqqdktl6pq46td0mwut0qn30g7nlue0sete9wxl0hwsq37wrw8\tdrep1lhkqu7uhq9532xr5558q7gh5rl54m4ezav8p5yfkgz27yrx735a
stake\tstake1u80fnwl4jf822fvqn9p3cum5ncl6lxph0wtdrgc08mw078ct3ysht\t15361881.0\t99b9c6b3c9d38daa0c154ac0e3aec5d88d69e89e32d75845a75670992958fb5c\t578\t2025-08-23 09:45:30\t1\t17053475614\t0\tenterprise\tAe2tdPwUPEYzzaNfgNEGjLxutkoCdnhmPi7pxBTwFAcPNcQGczyFzyuDXBS\t\t319998000000\t\t
stake\tstake1u80fnwl4jf822fvqn9p3cum5ncl6lxph0wtdrgc08mw078ct3ysht\t15361881.0\taaa10627dd2db1fcfb524e3637e7d0b87d0433ab24b2b08c5b761f647b0bd906\t454\t2023-12-14 01:34:45\t1\t65987832123\t0\tenterprise\tAe2tdPwUPEZKnvqdtYNRKBeNYGjp8GtkYDiUT32h6UgFzyjf2TRK8g3SHwY\t\t59990000000\t\t
(6 rows)
stake\tstake1uy4paxdaxtnnnv48fzc4r8zvwqq25x7mnl9xf7pxhar4ehqnaycxa\t5234245.61977\te5893530512665f770e7306981cd5b71041df7e52b8ea44c45515b6031cec34c\t414\t2023-05-26 15:18:22\t1\t100000000\t0\texternal_stake\taddr1qy86sf5xrzcpg2ncddkzz6z2ca2m59qsnu4qxar08g9rvkg04qngvx9szs48s6mvy95y4364hg2pp8e2qd6x7ws2xevsjx8w05\tstake1uy86sf5xrzcpg2ncddkzz6z2ca2m59qsnu4qxar08g9rvkgwkpjjv\t2506736544689\tpool1840k62s50neuj7hdp4l2julx49dtm72z25p9hh68pjvqjhhw602\t
stake\tstake1uy4paxdaxtnnnv48fzc4r8zvwqq25x7mnl9xf7pxhar4ehqnaycxa\t5234245.61977\tb02dd2cca8cecddd992bbf9b744789709050f639870f9e73fdf056931d6ad3db\t421\t2023-06-30 18:31:38\t1\t599497000000\t0\texternal_stake\taddr1qy86sf5xrzcpg2ncddkzz6z2ca2m59qsnu4qxar08g9rvkg04qngvx9szs48s6mvy95y4364hg2pp8e2qd6x7ws2xevsjx8w05\tstake1uy86sf5xrzcpg2ncddkzz6z2ca2m59qsnu4qxar08g9rvkgwkpjjv\t2309486092579\tpool1840k62s50neuj7hdp4l2julx49dtm72z25p9hh68pjvqjhhw602\t
stake\tstake1uy4paxdaxtnnnv48fzc4r8zvwqq25x7mnl9xf7pxhar4ehqnaycxa\t5234245.61977\tdadaf04703289295b9c7844251255902432f3a2daa6185cae15e8e917137defb\t396\t2023-02-28 00:07:14\t1\t1033091000000\t0\texternal_stake\taddr1q8kgcfdpefrnf5570v47manyyg85jshlrg4p2hrsx3wdsplv3sj6rjj8xnffu7etahmxggs0f9p07x32z4w8qdzumqrsquz66j\tstake1u8kgcfdpefrnf5570v47manyyg85jshlrg4p2hrsx3wdspccdda8v\t2089491661686\tpool1af03lvsktpekmnnw333629hfuhtytcgyh8hmlweet4lxs6p56fq\t
stake\tstake1uy4paxdaxtnnnv48fzc4r8zvwqq25x7mnl9xf7pxhar4ehqnaycxa\t5234245.61977\t5636f4614dae88776a5d6a3da255a7063f563031f802aa95aeaa224c162bfe0f\t366\t2022-09-29 17:24:59\t1\t1236101770000\t0\texternal_stake\taddr1qy807crqvtpr0qq0ccvptgsvfvpaul2x3ae4vxlgcegrwgswlasxqckzx7qql3sczk3qcjcrme75drmn2cd733jsxu3qa04mne\tstake1uy807crqvtpr0qq0ccvptgsvfvpaul2x3ae4vxlgcegrwgs4mltrr\t959588895663\t\t
stake\tstake1uy4paxdaxtnnnv48fzc4r8zvwqq25x7mnl9xf7pxhar4ehqnaycxa\t5234245.61977\t5636f4614dae88776a5d6a3da255a7063f563031f802aa95aeaa224c162bfe0f\t366\t2022-09-29 17:24:59\t1\t1236101770000\t1\texternal_stake\taddr1qxt2ggq005kfm3uwe89emy3ka2zgdtrpxfarvz6033l3fqvk5ssq7lfvnhrcajwtnkfrd65ys6kxzvn6xc95lrrlzjqsjttk32\tstake1uxt2ggq005kfm3uwe89emy3ka2zgdtrpxfarvz6033l3fqgve6ku2\t705989241373\t\t
stake\tstake1uy4paxdaxtnnnv48fzc4r8zvwqq25x7mnl9xf7pxhar4ehqnaycxa\t5234245.61977\t50fe601ccf8eb569b89ab65cc0611ce20840c0f2a6fb6437469d16082e519541\t427\t2023-07-31 14:53:15\t1\t487029000000\t0\texternal_stake\taddr1qy86sf5xrzcpg2ncddkzz6z2ca2m59qsnu4qxar08g9rvkg04qngvx9szs48s6mvy95y4364hg2pp8e2qd6x7ws2xevsjx8w05\tstake1uy86sf5xrzcpg2ncddkzz6z2ca2m59qsnu4qxar08g9rvkgwkpjjv\t535803042602\tpool1840k62s50neuj7hdp4l2julx49dtm72z25p9hh68pjvqjhhw602\t
