dest_address,ada,rows,frontier_count,label,label_category,label_confidence,classification
DdzFFzCqrhswtRYg8QFYrPbEDVDp7QajsVYVMKuRfyzTG6aVRoafTfghSjfAfaygwxhGddsMUzrxj2DTJ8h5V5GN9fZMfowKDDva2sqz,3000000.0,1,1,,,,enterprise relay (Byron-era)
addr1v8dgrxnxj6prdc5l0sn4up8ch040043dzjavsky8mmlalwcp66tdd,3000000.0,1,1,,,,enterprise relay
addr1v9tr4k88fmpj9fk5tsxsudmu4nvvlt8s5hf56fy25eexqzq4c7c9j,3000000.0,1,1,,,,enterprise relay
addr1vy2p8hcqchdg72e3kdm9tj4m8hxcl5z3gdhd79jm544agccaggg8c,3000000.0,1,1,,,,enterprise relay
addr1v92v2z746rjamyeqrdjh6f3wf0ynqa47ca8ka9zgtp8g0lcr4apkh,2999999.792963,1,1,,,,enterprise relay
addr1v95sf69jcfhnmknvffwmfvlvnccatqwfjcyh0nlfc6gh5scta2yzg,2958895.350498,4,1,,,,enterprise relay
addr1v8s0w9hlmxp5zq7cxwea7pcxt7xnefvek8mc64sf4mst4hqn3aqyz,2500000.0,1,1,,,,enterprise relay
addr1vyf9afq09fzscj8q4ve0dewz47d3ulk0wuhf4g0gvuc634skt6naq,2500000.0,1,1,,,,enterprise relay
DdzFFzCqrhsxmGipjYE1G4EFuLtxQGGXU52HVbnWDySFa1PvSDd9QvJt71Vjao4WBNEpd1mVAcerYHFnJUZpvzNJXcmbRTxUS89VNm5H,2229260.643539,1,1,,,,enterprise relay (Byron-era)
DdzFFzCqrhsu1vJns2dVwzPZAsarDWD8S8Z5iBTwqpE9Dej1bN5gcZYwu95V1TVBXoRkomXDcz27mTGpAPREYYyQWcVvgr9HWywcEP73,2190523.319273,1,1,,,,enterprise relay (Byron-era)
addr1vx5qxm7rl34vefwmvckcd4slkpmqp9vkj4p6xnewh5e8p6gtnme0q,2000000.0,1,1,,,,enterprise relay
DdzFFzCqrhsohVWnx5rwVk5xroYQapba2KJM4JqZ5888CegJ33SR7BYUmEMssYtZ3tDjQgMgxV1c51P8MeCBgKf41q9aNThY9EQktHz6,1900337.943297,1,1,,,,enterprise relay (Byron-era)
addr1vywa05a5th9n5u26nyrkwmaptz7mm38anxkecc7z8hpwe6ssemeym,1750000.0,1,1,,,,enterprise relay
DdzFFzCqrhswmhfs6ySEPNrtBPRYzAarDo2YnNbL36A18rmQQ1FCS1AXZ42P82xMEJnWiFkPxcAS65A6biQLfr7vTayYGkxfisRNsg51,1500000.0,1,1,,,,enterprise relay (Byron-era)
addr1v8pqzu2fs537xan5lpvun58mk3w4da826vmnwp4ufeljcxqyg2tq2,1500000.0,1,1,,,,enterprise relay
addr1vyag2phnnmksrp9mg65l629xup4klslwzqwh0twnnkcu62quae9u6,1350000.0,1,1,,,,enterprise relay
addr1vxpzqpz8mzat8qr9ukcvcgtp5x27zk5wgcqf9yh9d3fq25gtsnye2,1034567.364306,1,1,,,,enterprise relay
addr1vxw8e26rma7nk8hkhyyaa93u4c5jueq9yfd0mxeye4k7kucqskzdn,1000000.0,1,1,,,,enterprise relay
addr1vy6d9wy99hmxavnwx2zmy3fmvag93hk3tvc43upc9mgwpnqd79g35,1000000.0,1,1,,,,enterprise relay
addr1vxa70xv29kgye5eavwlrl32eq2jrf96ugp0gn7gw9e54megjaxt4j,907920.537127,1,1,,,,enterprise relay
addr1v943wszat8cexytamjd65d4hncj7s9t39s76k84gsv7fqlcfehn82,750000.0,1,1,,,,enterprise relay
DdzFFzCqrhsx21RX2mPNpMU6q2hBEd45rxnweTdjipLdMd7kv7U5WRBED1cy1JLrMMtdAiG6WVzZ53XxXWGPYbnSCQSTwxP6pvGeYWXc,702954.918031,1,1,,,,enterprise relay (Byron-era)
addr1vxlcefcgf5kt28r8pnhdp685vf4xszn29g5zqkk2vg44uesjn4t79,671011.75505,1,1,,,,enterprise relay
addr1w93j7t23z99448k7xspzrppjtgun0janh0rcq6k8wt2e8vc2fraw4,654301.255771,1,1,,,,enterprise relay
addr1vygdmsrfqm9y87ld37qp57pjv4jpjpfm8qatp67e6zq7vlc6hfks7,500000.0,1,1,,,,enterprise relay
addr1v9fyntr0dnckv3a2pd86ul8sc2z5al8lfz5lmwt4vjw3dnqxvqc60,479015.299163,1,1,,,,enterprise relay
addr1vxg7p69s4fkjd5lpwvhy6y40799gqx27vddasx9nwmd2saqjdhg5q,404999.792963,1,1,,,,enterprise relay
Ae2tdPwUPEYzzaNfgNEGjLxutkoCdnhmPi7pxBTwFAcPNcQGczyFzyuDXBS,319998.0,1,1,,,,enterprise relay (Byron-era)
addr1vy8gqrv6tgyj238ejsf9fppy4ma0r5uhkuac52fzm54s9sqv798cv,300000.0,1,1,,,,enterprise relay
Ae2tdPwUPEZ1inMRwhYeYXqsKimwLyxq4WwY3ZHLXWiCsNingA5Wgc1QBWr,254849.937896,1,1,,,,enterprise relay (Byron-era)
