entity,tx_hash,epoch_no,block_time_utc,fee,input_count,output_count,total_output_lovelace,total_output_ada
EMURGO_2,5ec95a53fa3bb7dc56864bb6e75f369f00aa20e8d8cdc3b66b2fb88ec1b225ef,0,2017-09-28 10:09:11,0,1,1,781381495000000,781381495.000000
EMURGO,242608fc18552a4ac83adabcef7155f3b909e83d469ce89735db8f11d3637e38,0,2017-09-28 10:04:11,0,1,1,2074165643000000,2074165643.000000
