address,ada,genesis_date
Ae2tdPwUPEZMtUyR9DVPWKyj4WZCXTSFofnXy5WveG4cz5j1j5w4zFog2tR,1366800.000000,2017-09-23
Ae2tdPwUPEZN2LtmM9dYNwy2Y1W97fUgY12VsfmhBHJxtkf2G26T23of7zo,1360527.000000,2017-09-23
Ae2tdPwUPEYxfYWKwtPYUujocchBCkmPQ6qzwQZnKBAKsVyHrrbbHXDZhci,1354022.000000,2017-09-23
Ae2tdPwUPEZ2QqkwYPASo9HSTM7fT52TnCgQToFjrMNDyoUT9uGk6edkBBf,1349235.000000,2017-09-23
Ae2tdPwUPEZCCBboR8L4MAgjEpooQU3wSgev2rxvjw7Ff8QqHEF91pzEr2t,1329548.000000,2017-09-23
Ae2tdPwUPEZ6N6DzHoEPFAM8R9Arkif7oz4ApRTMEbnkRSAJadPhpvmkpDE,1270391.000000,2017-09-23
Ae2tdPwUPEZBGQmbsc3fVekwzYpUqA58nqsNdrr15xrSMTCtG4z6Um2DDpJ,1262181.000000,2017-09-23
Ae2tdPwUPEZKdVBBn1K9DcyJeXPUnqzqgMsfqVY25SvkFsAFyuS9occQU8Y,1256564.000000,2017-09-23
Ae2tdPwUPEZEx82yjDCqFXd7c3aQfP93xsL7c4LZm2fC8CwsZ7WamTukCvx,1237916.000000,2017-09-23
Ae2tdPwUPEZLBFRm9H3rQAyKmnTVHp1c4965deK55XGsnfRfMCLWSW32SLp,1233257.000000,2017-09-23
Ae2tdPwUPEZD96LWZ1bfk2Mo2yV3X5mJ41icYFUCrdn1mueyY9ZdL17Mdsu,1228050.000000,2017-09-23
Ae2tdPwUPEZEnwmkpXZf2ctFJF26o17Qtex99ofNEXvCkXdZz2vFjTVfRsa,1223425.000000,2017-09-23
VhLXUZmS1gXvBnrhjGRDp76Tovjrk7fM8bjZ6xb8WTe5JHCRNmZM8HNU,1174139.000000,2017-09-23
Ae2tdPwUPEZ5U4ypTsVg1e1UHVdkSARcnUmeESS6YHpgFcQZnYAtg5fwsgm,1160206.000000,2017-09-23
Ae2tdPwUPEZMAzEEC2ajMH6GH6ogisE7FFrk2AMQyqC6BhKknGZWGxs4aeT,1156817.000000,2017-09-23
Ae2tdPwUPEZEwfu7cyJozd2kp9VjFs6M4NyT4CvtT4LydJ4rbp56khmWopx,1156518.000000,2017-09-23
Ae2tdPwUPEYyiQUjDggmgsGxZ7fD2qHRwF5FWJ2SWtTa57N1pihbNFWyH8A,1154944.000000,2017-09-23
Ae2tdPwUPEZ98gXTJJzTAqnjPdqpLDL2CZdK7zt3YdZqeMKX1tVA8vDSR34,1153846.000000,2017-09-23
Ae2tdPwUPEZMeZxW6MJENdtuZPo4ZdhnVTasp6GApPjvEC3qF8eP4oLD72s,1153710.000000,2017-09-23
Ae2tdPwUPEZFYcPWBXN91n44crwua5YVL7QK6dkvn3XN917yrTGZsQoega3,1153182.000000,2017-09-23
Ae2tdPwUPEZEKdAYsZjMcoPP6rP3ARph67caqTR4Jp3s4eo8i3VXBQPVgRQ,1145412.000000,2017-09-23
Ae2tdPwUPEZ8WKoZ7G64WGb9m9RBZf6sknxboX8z3jLhVY8AN6Kwn7YNCYx,1145409.000000,2017-09-23
Ae2tdPwUPEZE2yZZn9VjBN6H8vYVbueBMpYKBfzxd8TMxrcmdAd3Hx9u5JG,1110651.000000,2017-09-23
Ae2tdPwUPEZ2ZKvNL66kY9ePdiVQdUw6vcjSi1HxGaQJxs8jwSH5zr3iKjx,1010897.000000,2017-09-23
Ae2tdPwUPEZH1KjumyUGLHgHMWJe8yQ18TRMPtbWDGis8oeSiuoeWa6cSGw,1005398.000000,2017-09-23
Ae2tdPwUPEZKYLVGCfayFJ7HShboKXg5riCVCFBQgjuy4tjMw3AkLjizDFi,1001241.000000,2017-09-23
Ae2tdPwUPEYzvpZVAkiUfVSF2Bu5KCcdirTsBSMGatUc2igaGm1NxvNVkpV,966884.000000,2017-09-23
Ae2tdPwUPEZC4kpU3siuVVFC9g9SiTgDV3UJSRZS9p6u4CADyR5gGyjx5J3,964248.000000,2017-09-23
Ae2tdPwUPEZKXFKoCQfcTpC8SRHarp7JH16615wVqLxU1JmLgeT7rzRES6i,939592.000000,2017-09-23
Ae2tdPwUPEZ1wG3x9eDJcx1ppbQJPr2LeYFkz36GjrEeG9sLUTAsFF8PDWm,925700.000000,2017-09-23
Ae2tdPwUPEYzz8dpkukhQmMmpgsXx8N4rzvutPyxTKodwXkVA4x7SLsCnTy,919641.000000,2017-09-23
Ae2tdPwUPEYzAHVqmLkzsNzFkFqUwsRM8T93gaVmeznL46HjGzWCKc6fy96,916791.000000,2017-09-23
Ae2tdPwUPEYyu7JS5wJVGbWavSVGmQKgvm9MGSGnfc3KFN3RgCHoVBXuDWX,914107.000000,2017-09-23
Ae2tdPwUPEYyeRv2sqzHZT8u2cAbCBv2TgMyaFQ89StYBd9jSeqhS4VTB9N,912797.000000,2017-09-23
Ae2tdPwUPEYw9NL1TcDkWAFJAA2uVVKxjHEQ6vcjAu7i6WJWDYWfS4TjJmM,912391.000000,2017-09-23
Ae2tdPwUPEZ1sDsTWRxuvPQVmRdYx626NBWKRMpsKGwsA4a1Yu1GKUaD6Nj,909346.000000,2017-09-23
Ae2tdPwUPEYw3aBHpFmLtjDP3FtGW9Ujg347vGbiYcY61qNbzen1wsEECb2,905885.000000,2017-09-23
Ae2tdPwUPEZ1boVNeiaTRKmTeSBfeUfGHgyVyLXtQFMqZJwYJYQJ2auV64A,902748.000000,2017-09-23
Ae2tdPwUPEZ32SUxGEdkWuqpV1DZoS7i2PbMnenWqxtep13pZJNQs8Z6P4U,902469.000000,2017-09-23
Ae2tdPwUPEZKvaPxV5YbeKmZnRVnAE82rNQYkhThY4ZLcU5xd839bdd4PBn,902075.000000,2017-09-23
Ae2tdPwUPEZ8QdWQtKCwCA9cZkoAftA574PM89qTcUfq4wbK1xTKantpyMm,899685.000000,2017-09-23
Ae2tdPwUPEZ2pbpbvRyaypFvLwB3htqYpFG4L59msXekLZXCrVEZBdsWNaa,887108.000000,2017-09-23
Ae2tdPwUPEYy7cMeEzsn88LR3tTQbvgRtt2qcE8ni2fYY2gCPCcJBeT6hh1,846005.000000,2017-09-23
Ae2tdPwUPEZGiC21wNdTEFsUPr1cxbYYAMsKUPEez5VJkWxeQXhcnmkaCQn,838516.000000,2017-09-23
Ae2tdPwUPEZLwgbtNYa2iah4Ltt9dvuvAM4SMDXrJxHJ53nBXapDam3Vb3n,837433.000000,2017-09-23
Ae2tdPwUPEZEnZJDJkZqDAQk59DW4jjDGEgYjTKEwYQEM69onqukK45uhkf,836365.000000,2017-09-23
Ae2tdPwUPEZ1MZkgTwrAoWr7JUZBQPR1X95ysxPmrKgLBhxMj3YaoSR9Yqx,831835.000000,2017-09-23
Ae2tdPwUPEZHwJc1faDAWKXw2NTvUkNtSyjfjjc7x6cgGdc6crSZstyuv9C,829683.000000,2017-09-23
Ae2tdPwUPEZDhGYPR4JGiF46eUU7si5QyYtBgdPfXWyZzNUr1w5ADX1uWmv,821056.000000,2017-09-23
Ae2tdPwUPEZFqSgtRuKpkpkTu5JQFgZmTauVdRVrNMH14pR2VQPBQYaCL6k,815308.000000,2017-09-23
Ae2tdPwUPEZ3uqbinagj6uQPFvpXNgY8sjy1D1U9DbWXEsY68hAJao4rvpj,812900.000000,2017-09-23
Ae2tdPwUPEZ11A3CVL7sVpgSmrS1xSwu1vwGK9shHoqJouPAZEWSG6icCan,804067.000000,2017-09-23
Ae2tdPwUPEZ4S453wPsUgpxDyRBM42xdN35978dXyqrYK9JUmTt1kN5i1N5,774652.000000,2017-09-23
Ae2tdPwUPEZERUJz5GEE5UgaimKGRsJjG77nF4Y2dVuewbPARRDrecxst2R,769358.000000,2017-09-23
Ae2tdPwUPEYzww7XJb6ekgYurphy7KkpNheBoaNhkJnAGQn9k79TdH3hatm,766243.000000,2017-09-23
Ae2tdPwUPEYztMYrNneygFFG1G4W37w9j5X8UfE3JBmc9TJsNRDQEH1GTFD,759269.000000,2017-09-23
Ae2tdPwUPEZEZcibEF8ZmJmJMndFoHJbNb6zoQAnXC78A4bDFGxBDfoyGJT,757421.000000,2017-09-23
Ae2tdPwUPEZM35fuzAV2ArvvDrqdovHMa5Mr6XbLZfpCtEJkjYG23AnkCwz,754619.000000,2017-09-23
Ae2tdPwUPEYwj7FR1ufptA6VQyjawhdJRhY5zk8tT68pdmwxuFM3Q4zR631,754435.000000,2017-09-23
Ae2tdPwUPEZDALGgH8hbVA9eUmk3uwfFjE3nPB7M3qLMEZrZHYarT55fpQe,753919.000000,2017-09-23
Ae2tdPwUPEZ98o4UMFA4maD2ALxdrnMJD57vZWU5EfcZwrrGJc4LbzaMLT1,753418.000000,2017-09-23
Ae2tdPwUPEZ8hYnxPA4EgjyBc2hMGUoQY3TAXSLfzGz1KEypYJx2UoBcEvC,740539.000000,2017-09-23
Ae2tdPwUPEZ1pRs1gSidtoRGMpJR54UyNrdVDMFxXu2pBkhxitAWhqrGqd9,715399.000000,2017-09-23
Ae2tdPwUPEZB66VYaNzreVt3FAwr7toGCTcL62F1hEdxN9s8mXBdihqJPnA,699519.000000,2017-09-23
Ae2tdPwUPEZ4RKY88weW5vfnEYVQBZqN2Vi78nbV4DW6BxTG9ahGZDqexMR,695642.000000,2017-09-23
Ae2tdPwUPEZK7zMcVGP4zyeBvTRxq9CAVNVdHD7jwsso7yDzDVP3nwXLnLy,684554.000000,2017-09-23
Ae2tdPwUPEYxxxaC8KZ1jhAxBAeFbihA3hRfEH31t2dj4o9thhEHd6bQm7E,656788.000000,2017-09-23
Ae2tdPwUPEZKLdjusTFK8Jp6E9xAjUfj1844pq9HfVNTtpgX9BqHLKeJdv3,642698.000000,2017-09-23
Ae2tdPwUPEYxBxzku8R3mJzFvJeYUjDFbXAdcewfoeMPdPAoiCANN84uUiY,642211.000000,2017-09-23
Ae2tdPwUPEYxoYTRoPVHjvPZ3Y2Cn86Z4etBbWt2ht1G2abq7XNRVkdzD8u,635659.000000,2017-09-23
Ae2tdPwUPEZ4raVyP5vBEg7yzFi7Uk2yZkwjDjGqozn4dLXUzyEUct2L7wm,623247.000000,2017-09-23
Ae2tdPwUPEZDEkZPXMbPAgQTDMyR1qoVp2tEJqC99Mc3DtaBfCovr3q2sX5,601993.000000,2017-09-23
Ae2tdPwUPEZAaYnyWq5YUf5XVAE1M83pxr1WLS12D621FNmqLCFUMVLtjsz,601290.000000,2017-09-23
Ae2tdPwUPEYzaddAGc3K5k8b8WM9wb2x6qysvswpB8u3YMwBoYKLCUBJXTo,576969.000000,2017-09-23
Ae2tdPwUPEYzirRaqvFj866pPRVBsAX87UErFgkwf9dHFGwbfEnwPc6BzXA,563879.000000,2017-09-23
