stake_address,overlap_type,emurgo_outputs,emurgo2_outputs,emurgo_ada,emurgo2_ada
stake1uy5uu7vm6al4dz22x966ravv7kndjkalneftjjh6q27gwzspwrta2,BOTH_EMURGO_SEEDS,1,1,2000713.453439000000,2000713.453439000000
stake1uxk6zr394jwstey5te7c0xz6rxj639pv8y6z49d92etrtuq4cjq4v,BOTH_EMURGO_SEEDS,1,1,2000000.000000000000,2000000.000000000000
stake1uxma2w849f9hdngcxnlfxcy2wmu2cvzj3jtecv0m708yjuggzydan,BOTH_EMURGO_SEEDS,14,14,1931678.621189000000,1931678.621189000000
stake1uy8rau50sf2ys82q866aymc334a6psy74um0plg6ptrzf2qaxze4x,BOTH_EMURGO_SEEDS,82,82,1789474.392883000000,1789474.392883000000
stake1ux60qhkvnlvvjpnw7l7eqldc2nrketmyv2cn9nsn8hruc3qgvy3rz,BOTH_EMURGO_SEEDS,7,7,1780580.422023000000,1780580.422023000000
stake1ux953f78ptf5qa94285gn54vask93eeme2sxjh2vmqz4scqhz9nmx,BOTH_EMURGO_SEEDS,6,6,1756118.797226000000,1756118.797226000000
stake1uxq08j00svtpfm3elmgtu35tn9l4lcpcxm6a26cegzsakvgq2tv93,BOTH_EMURGO_SEEDS,47,47,1729480.698487000000,1729480.698487000000
stake1u86jl5trmfr70cjfe6capkl2ptx05l8jflspswgh79el5ygcv8xwh,BOTH_EMURGO_SEEDS,8,8,1696487.963689000000,1696487.963689000000
stake1uyf9g0d9g9tlhppjgds6p3kzxjtxavd36tppy0jfjxn8hlq8thzsj,BOTH_EMURGO_SEEDS,1,1,1658971.585194000000,1658971.585194000000
stake1u8dg8spc3skawcyzemtxz8f0zk5eadxftq35qcd4f7n5hrc82xu8k,BOTH_EMURGO_SEEDS,20,20,1646759.347866000000,1646759.347866000000
stake1u986gmjp5yg3eqtv5qcc3hhgx3zu6wct9l26k7scxeurvqgveu73f,BOTH_EMURGO_SEEDS,10,10,1605872.317759000000,1605872.317759000000
stake1u9nc2zdv49eynm0jstx4n47wv67e5ha4texen8jn0g8x5ssfcu2r5,BOTH_EMURGO_SEEDS,8,8,1588761.567326000000,1588761.567326000000
stake1ux6klt4t304g842tk9l8myk3lj0azhxaw5yjspqwyqcyspqngdfs0,BOTH_EMURGO_SEEDS,1,1,1518501.323441000000,1518501.323441000000
stake1uxd86n6yupwnt60mqgemv5clm2354ldkqrpsevk0magazdcmumu03,BOTH_EMURGO_SEEDS,3,3,1499998.881939000000,1499998.881939000000
stake1uxj6r305sl44epv8fa0kden386kmzt8sxrhdjk4utrtvuccd3tsss,BOTH_EMURGO_SEEDS,58,58,1477212.171564000000,1477212.171564000000
stake1u8cp0ev7xw0sw5753v988lj9tdacmzw9mat6vqv8altl3yqm52e2q,BOTH_EMURGO_SEEDS,2,2,1463158.068183000000,1463158.068183000000
stake1uyjfx2p4zhxyxrhyt8nerun5mll20ktst7m74rpatz5u6dqlm22ng,BOTH_EMURGO_SEEDS,1,1,1399817.533828000000,1399817.533828000000
stake1u8maqjsn3m296ge6ahy8pjw7wx3ncyzl468qth66lk5738q7u2ugp,BOTH_EMURGO_SEEDS,2,2,1392153.849214000000,1392153.849214000000
stake1uxgw0k98jjpvsm6jqgf9r5nw7h9tx39lddt2lw98lplqz8sjqdnwa,BOTH_EMURGO_SEEDS,1,1,1370342.472562000000,1370342.472562000000
stake1uykwh9nr9chunw8uxxz2gcwth9v4r520a4gs9h6fjn8h84g6geqg3,BOTH_EMURGO_SEEDS,7,7,1339994.485589000000,1339994.485589000000
stake1uxfh7xyqvvufh4mc53llhcgq9vzzu2vqyduwmxyu0x0w6tgw6czvx,BOTH_EMURGO_SEEDS,2,2,1329998.000000000000,1329998.000000000000
stake1uxyd5wkdf3w3tu9qs7akf05ee9kcjp764l79zwzqzcgem3q47q6j2,BOTH_EMURGO_SEEDS,2,2,1320218.201999000000,1320218.201999000000
stake1uynp2gzkhx566gnlvyek68ep23schn9vhqcyjpp7wze66tgqz3ss8,BOTH_EMURGO_SEEDS,1,1,1300000.000000000000,1300000.000000000000
stake1u80r7pyw9vqkpw8hyzhnfxjy3m9lzjlykrdh6kp26hv3tnsfea0nz,BOTH_EMURGO_SEEDS,3,3,1294862.758499000000,1294862.758499000000
stake1u9k3vdp2jrtl6g8gha3zhc4as93nkzlcua4r9x699mcwelqp8ealc,BOTH_EMURGO_SEEDS,1,1,1286596.000000000000,1286596.000000000000
stake1u8l40g9me24d5u4ku0tdjpzvggx34rwew72gsnfeqg03agcrkeva9,BOTH_EMURGO_SEEDS,22,22,1255352.498027000000,1255352.498027000000
stake1uyzkk4w5fjce752lauenk24fgt8dalgcxe60yyspcafwnscxssltm,BOTH_EMURGO_SEEDS,1,1,1195990.000000000000,1195990.000000000000
stake1u9hgdwzljcreejdjf5vra4wssdcw8hhymj8ge74nu4u4r0shey23f,BOTH_EMURGO_SEEDS,2,2,1161201.445888000000,1161201.445888000000
stake1u8m9z2cx6m8jhjle82exhw2dqpeasj3nnce5evxfu6m85wgjjj6ld,BOTH_EMURGO_SEEDS,1,1,1158264.217087000000,1158264.217087000000
stake1u8420mdmhajh0eqnlhurcjxwf56h7qs02nkjtprqcm5z9qg72ukr4,BOTH_EMURGO_SEEDS,1,1,1120939.804519000000,1120939.804519000000
stake1u8mycr4ysec0ushvwhjwdm6we4g538hj37f84c7lcc7n6hgrcnud3,BOTH_EMURGO_SEEDS,41,41,1120538.149215000000,1120538.149215000000
stake1uywma333mgeccv3aa2gvrkhz4qtz0cq9sszrnws8pv78gqqq6a65g,BOTH_EMURGO_SEEDS,1,1,1100000.000000000000,1100000.000000000000
stake1u9wxw9y574v9ngskl63effw6qlwl4tg6dr2zrrufhc7anncvvnqkp,BOTH_EMURGO_SEEDS,30,30,1099895.868943000000,1099895.868943000000
stake1u88sx93qufa7cdqnzlemnwcc2vswlpryw7rk6ww92uca4ycjlg0sj,BOTH_EMURGO_SEEDS,1,1,1080269.922473000000,1080269.922473000000
stake1u883gz5955uyrszhq84hrmzh4aahm7c2dqqyk4cszkj53dghqx252,BOTH_EMURGO_SEEDS,7,7,1019741.565275000000,1019741.565275000000
stake1uyw8mjzdrrjdwwyvnzk9yk5mjee8squ5mmwnvdn5w3krwhczd35md,BOTH_EMURGO_SEEDS,4,4,1000394.191620000000,1000394.191620000000
stake1uxsc0fpazfltz4lqqsuyhfswmf9dmafekypqfern46x655seh32k8,BOTH_EMURGO_SEEDS,3,3,1000000.000000000000,1000000.000000000000
stake1ux65aveytgl3jv50th0py2u7ql4926chcvrkv3qtmd2cwqgqmmcw6,BOTH_EMURGO_SEEDS,1,1,999999.805256000000,999999.805256000000
stake1u8v44mr6pf70p98q4med85ed6g3gp4z0xnv9ale4539g6xqpchvdw,BOTH_EMURGO_SEEDS,1,1,998643.817227000000,998643.817227000000
stake1ux2c2u5zuwhtlu5fthgdkv5zx5zrjvcxwfweylxpfx79xec608gjz,BOTH_EMURGO_SEEDS,47,47,959533.540944000000,959533.540944000000
stake1uy0j4fn93q7u7tzlv2w5xhjh4wwmwy5fk68pu5u8ajctllc9lsqzw,BOTH_EMURGO_SEEDS,40,40,953526.296623000000,953526.296623000000
stake1u8qqkf69lzv3f5wtwv9qmcrju8tr555m5ne3ly4wftvc90gjfqs6r,BOTH_EMURGO_SEEDS,4,4,900001.450961000000,900001.450961000000
stake1uy9u05602pcveleq7957fy6w64jcc4fq6n9qyc0ch9w3xsghnea6e,BOTH_EMURGO_SEEDS,1,1,868902.000000000000,868902.000000000000
stake1uxm0kffkl43fu8sqsjsdrs74h87e6gncfdpjjtkg2749x9cue4j4r,BOTH_EMURGO_SEEDS,1,1,861000.000000000000,861000.000000000000
stake1uydhsgmmlxxpg020xguqc3s2x7azd6c78h3alc5k9fcujqccrfsqk,BOTH_EMURGO_SEEDS,25,25,858877.127931000000,858877.127931000000
stake1u9y03sa58el3za7csvhwnnpprejgy3yusctg78uc3v7dewgqvm98g,BOTH_EMURGO_SEEDS,1,1,843553.000000000000,843553.000000000000
stake1u9qagnqksn2rwpzyw4jhsfejuv0j9py0u4mh5phd02e7r8s576mp0,BOTH_EMURGO_SEEDS,42,42,828963.571294000000,828963.571294000000
stake1uxuagl5qujtaujnwj24entd4umuxk30v8gtauyz5lmzjsmcf24dpz,BOTH_EMURGO_SEEDS,2,2,823843.022052000000,823843.022052000000
stake1uya92j595wwjyv79xqcwa0q89rsjyqgq9qs9gktmjm80gxsv7je2p,BOTH_EMURGO_SEEDS,1,1,820064.186200000000,820064.186200000000
stake1u85re0n76p05ld36le8ytuuhdst0lu4mmh8g53hmpqd6txsxxta6n,BOTH_EMURGO_SEEDS,6,6,812299.236805000000,812299.236805000000
stake1uyd2xg59dme04awdsaxl35y667ext7yxgxnt62t8segk80sf4u03r,BOTH_EMURGO_SEEDS,1,1,800000.000000000000,800000.000000000000
stake1u9y75qwjvfdx6732hq82nn8nnymjlm3jpn7rkzchgyq206gplfwuc,BOTH_EMURGO_SEEDS,1,1,799989.000000000000,799989.000000000000
stake1uyda0phn606cee0cfwc8d2y3z2qkv8vey2k9lwuv7qplwtcjq8e0r,BOTH_EMURGO_SEEDS,27,27,765072.960836000000,765072.960836000000
stake1ux6lrlkwtkhdak4lx8gvndkjjfcufj8x07huv7vqa06l77stkamfq,BOTH_EMURGO_SEEDS,1,1,749999.000000000000,749999.000000000000
stake1u9pqm5aa9qwchgw3tfrdxflhts5hnnq0klqj7m3w72wy9qcxx0j4v,BOTH_EMURGO_SEEDS,3,3,749998.000000000000,749998.000000000000
stake1u8jakp3ysv65m7neav7947zz2zmjt79hrsx7y4h6xzlq0gclzatgu,BOTH_EMURGO_SEEDS,6,6,729997.225884000000,729997.225884000000
stake1u9lgyyj355g4wd372x86u3kyf3u5vcvc6flh67u7un4s7us2765lu,BOTH_EMURGO_SEEDS,1,1,720888.827895000000,720888.827895000000
stake1uxy8d4ex0am77a7vm38jvmss0enqfh5wm8xma04x6t5jlecuyqtdf,BOTH_EMURGO_SEEDS,1,1,715599.164398000000,715599.164398000000
stake1u8yv2twwys52kkxymzd2xgsf7c3x8tvvfasd99zjm2k7x7svq7xcg,BOTH_EMURGO_SEEDS,4,4,708915.657156000000,708915.657156000000
stake1u8w3nd95lwj25p8mq5uyfqqmm4324hmq8zgmlp9k64s8qmqs68xxa,BOTH_EMURGO_SEEDS,15,15,708510.795438000000,708510.795438000000
stake1u9mulcnjs763esdyamp8gwjfah8aelkmlaute4gyk6rj55g3h26wv,BOTH_EMURGO_SEEDS,4,4,699998.000000000000,699998.000000000000
stake1u8em8d6zksq9tz86jy76e7ha9ykrnu272mzt3wz7qq5rs5sq8xups,BOTH_EMURGO_SEEDS,1,1,698095.778809000000,698095.778809000000
stake1uxvfpk5d4e6ka836sdfmlagtvj3cpvuvj6e3nqsy6lfcgrqqh30az,BOTH_EMURGO_SEEDS,1,1,691316.722912000000,691316.722912000000
stake1uyqhe8zfcrs8py6xs9klhtx0q96wq3vzyak6z06ccrj4nxga7emtu,BOTH_EMURGO_SEEDS,5,5,671122.271083000000,671122.271083000000
