frontier_kind,frontier,frontier_ada,spend_tx_hash,epoch_no,block_time,frontier_input_count,frontier_input_lovelace,dest_index,dest_type,dest_address,dest_stake_address,dest_lovelace,current_pool,current_drep
stake,stake1u9ua5m029qe3z8tjkmszek0q8dj3hzmxvss8aq05qqghsygg452j2,4036115.0,0df20d217d6074c1642aba44c6eda5acceb1303385d31e8ca2a227b615b4d6f0,477,2024-04-05 07:14:33,1,2000124489197,0,external_stake,addr1qxwvshpk5zvml5dy22wfg6j959x7cqr8v2qdtar4yers0lefwjxl9jshm0mgg7fetc4vqjt4ysjtx9ch2qvl3ly7asrqcvdln7,stake1uy5hfr0jegtaha5y0yu4u2kqf96jgf9nzut4qx0clj0wcpst6ft6g,406000000000,,
stake,stake1uxh5clcr4gjdqhlhfkyljqkfpaqxkc25yfva2cxs5t2w9pc4a8c0h,3334006.0,234ba4daeb6c7a4aec08599c2e7a60028349c04e1e14e1778da0687a635cc25f,356,2022-08-13 07:28:51,1,110000000,0,external_stake,addr1q997wyyn8sqc7dl29q0lav0pswa43eu4ywc8tuxspxka46560r4u86ct2s83qkwcghg3vwuv48ywa4mechpmh8lvel5qtjj0wk,stake1uxd8367rav94grcst8vyt5gk8wx2nj8w6auutsamnlkvl6q4faep2,1500000000000,pool1p9sjhjx0v3k76wvgdqu7jcks2ra48wqlhc6g0mkewd25k3zcymy,
stake,stake1uxh5clcr4gjdqhlhfkyljqkfpaqxkc25yfva2cxs5t2w9pc4a8c0h,3334006.0,20cbd4fe0c90a32f990f1f1e27bdf978c6c01322ee948df60899b32ee8c4047a,493,2024-06-26 09:55:26,2,1322978817092,0,enterprise,DdzFFzCqrhsstddrEqS5KpacUhNapL8wmdVTmyiyjcAJN8RtRW8TFbhKeeNmUnfCozsbjezLz8upuYxQaLhLd3TjFfRgyZj23epCSFzF,,100000000000,,
stake,stake1uxh5clcr4gjdqhlhfkyljqkfpaqxkc25yfva2cxs5t2w9pc4a8c0h,3334006.0,7337eecaf0cece2ea8c154ccec53df08e4638961baf22f51042cdfe883e18c67,438,2023-09-25 03:34:29,2,1537306577213,0,enterprise,addr1v8270s3fm4y4a6xc6kjtkuv0zupqx0kfyadnhcyeeafl8lq4yxp6q,,80000000000,,
stake,stake1uxh5clcr4gjdqhlhfkyljqkfpaqxkc25yfva2cxs5t2w9pc4a8c0h,3334006.0,d097fb180b4aea054ba7e6c5a6fba5f2377f48671018abde6ed3eb681963d2b4,496,2024-07-11 05:45:41,2,1318478644551,0,enterprise,DdzFFzCqrhsstddrEqS5KpacUhNapL8wmdVTmyiyjcAJN8RtRW8TFbhKeeNmUnfCozsbjezLz8upuYxQaLhLd3TjFfRgyZj23epCSFzF,,50000000000,,
stake,stake1uyx7rsxu9rzlhk9hhrv2enh4rz4fp820xuf06qwqj08rekqfh6j2k,3214080.0,22958ce6ea07a5cdd271fa41968306bb577628cf95d0f1e707004631f61f73e6,390,2023-01-27 21:07:29,1,3231107825155,1,external_stake,addr1qykws5pmwjxktdhlkz0pac3cu2guw6fjys2zaanmdew6xr3vapgrkaydvkm0lvy7rm3r3c53ca5nyfq59mm8kmja5v8qvygvru,stake1uykws5pmwjxktdhlkz0pac3cu2guw6fjys2zaanmdew6xrs5lgv4n,31903911219754,pool145dkdplkqke4g0unzkjljeh2wr797d08k2jv822rhmmc68xak38,
stake,stake1uyx7rsxu9rzlhk9hhrv2enh4rz4fp820xuf06qwqj08rekqfh6j2k,3214080.0,14ce91f969db063d65dbc675c5221000c8c4e65e2f8402956e76c4bfd8b78caa,518,2024-10-28 13:29:33,1,10000000,0,external_stake,addr1qx24dk8nxnleln8mwguv23j77klx8y2vmlf5fkgzxtgc7zkgxttz7qh4g2j3h0ml6js2j56qkgx873faqujtc6ws9npq3dwep7,stake1u8yr9430qt659fgmhalafg9f2dqtyrrlg57swf9ud8gzessnr34kz,1045476000000,pool1w7c2j0px43jmudhf48ezp7dy8j7904c9l3wc7809lhh2z026hch,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt
stake,stake1uyx7rsxu9rzlhk9hhrv2enh4rz4fp820xuf06qwqj08rekqfh6j2k,3214080.0,9aea8553affcf9c0c58a9a5689a6dcb401b169a34ade5ae4edd7895765d93291,518,2024-10-28 13:36:52,1,9828427,1,external_stake,addr1qx24dk8nxnleln8mwguv23j77klx8y2vmlf5fkgzxtgc7zkgxttz7qh4g2j3h0ml6js2j56qkgx873faqujtc6ws9npq3dwep7,stake1u8yr9430qt659fgmhalafg9f2dqtyrrlg57swf9ud8gzessnr34kz,1045473655622,pool1w7c2j0px43jmudhf48ezp7dy8j7904c9l3wc7809lhh2z026hch,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt
stake,stake1uyx7rsxu9rzlhk9hhrv2enh4rz4fp820xuf06qwqj08rekqfh6j2k,3214080.0,f6e6baa6bb210e3f4938519544b99d40bf2da3298a155e01557479a84e8cb32e,435,2023-09-11 08:00:13,1,2013603889874,0,external_stake,addr1qxvchq0npgs7gkett3e7t83geww65gclk8m082g4d5tnmhgng7tz2vdz4rj9f4eax6z7j2tdxlqhr468evsrkwnm8x9szv07hq,stake1uyf50939xx323ez56u7ndp0f99kn0st36arukgpm8fannzcc47kx9,999700000000,pool12z39rkzfylvn9wfe8j6x9ucq6g2l4mw4azj70y0gd8ejczznyj3,drep_always_no_confidence
enterprise,addr1wyh9nq6fjw72mqud6w7yfe0h4tv04fxdfgcz9akczxgey8c649vxx,2637603.0,e2c085fc07fdcb0855e022bb02edffd9ed25e872d5f884a98e8bba483a7838a6,400,2023-03-20 06:20:22,1,160000000000,1,enterprise,addr1w93j7t23z99448k7xspzrppjtgun0janh0rcq6k8wt2e8vc2fraw4,,654301255771,,
